Measurement Name :,20230625_SDR710_Run02_Plate04_PR_F1F2,,Generated On :,"25/06/2023, 19:11:43",,,Calibration details for Oxygen,,,Report :,"@m02:IDENTIFICATION
Serial number     : SEBX0007000710      
MUX channel       : ON - 02

PARAMETERS
Sig LED current   : 040
Ref LED current   : 075
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m02:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"25/06/2023, 17:44:35",,,,,,Batch No.:  ,PSt5-1624-01_25°C,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"25/06/2023, 19:11:04",,,,,,O2_cal0 [°],54.76,,Adjustment at ,100, % air saturation,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [°],47.47,,Adjustment at ,33, °C,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-710,,,,,,O2_T0 [°C],24.8,,Adjustment at ,965, mbar,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [°C],24.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],965,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPA Phase values  ,,45.72,45.68,45.93,45.74,46.04,45.77,46.01,45.71,45.94,45.76,46.11,46.52,45.87,45.98,46.29,46.7,45.95,46.92,45.79,46.34,45.79,47.28,46.17,46.01,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
25.06.23 17:44:37,0.03,148.43,153.09,163.36,154.68,154.4,156.09,155.46,154.73,147.67,151,158.08,171.76,151.75,153.26,158.86,163.19,143.97,163.53,151.67,158.53,153.37,150,156.72,155.21,,33,965,33,30.34,
25.06.23 17:44:52,0.28,150.36,155.26,166.64,158.34,157.68,158.05,156.71,157.89,150.62,153.67,160.13,173.95,155.44,155.01,160.95,165.94,147.15,167.21,154.84,161.41,156.31,153.78,160.05,158.48,,33,965,33,29.81,
25.06.23 17:45:07,0.53,153.5,157.69,169.7,160.79,160.46,158.79,158.98,159.36,152.1,156.11,162.17,176.69,158.41,157.01,163.3,168.99,149.12,168.92,156.55,163.26,159.26,156.11,162.63,161,,33,965,33,29.44,
25.06.23 17:45:22,0.78,155.93,159.39,170.72,163.51,162.24,159.53,159.49,162.06,154.08,157.82,164.23,177.52,160.16,157.51,165.14,170.93,151.83,171.2,158.52,165.63,160.74,159.33,164.7,163.8,,33,965,33,29.16,
25.06.23 17:45:37,1.03,157.63,160.61,173.8,164.5,165.56,158.79,160.5,163.04,155.82,158.56,165.52,179.45,162.9,159.02,166.72,173.44,153.82,173.21,160.49,166.69,162.72,161.1,166.78,166.35,,33,965,33,28.99,
25.06.23 17:45:52,1.28,159.83,161.59,175.08,165.99,167.87,159.78,162.53,164.77,157.07,159.54,166.55,180.84,165.16,160.78,168.04,174.56,154.81,174.35,161.73,169.09,164.47,164.35,167.3,167.63,,33,965,33,28.88,
25.06.23 17:46:07,1.53,160.33,163.56,175.08,166.99,169.16,161.75,163.29,165.76,157.82,161.02,167.33,181.67,165.92,161.79,168.31,176.24,156.56,175.5,162.48,169.62,166.46,164.35,168.87,168.4,,33,965,33,28.81,
25.06.23 17:46:22,1.78,161.8,163.31,177.15,168.48,171.49,162.74,163.8,166.75,158.57,162.26,168.11,181.95,167.68,162.3,168.57,176.52,157.31,176.94,163.22,170.15,166.71,165.53,169.91,169.43,,33,965,33,28.78,
25.06.23 17:46:37,2.03,163.03,164.3,177.41,168.98,172.27,162.74,164.05,167.99,159.57,163.25,169.66,182.5,169.2,163.06,169.63,178.21,159.56,178.1,163.47,171.76,167.97,166.42,170.96,170.97,,33,965,33,28.8,
25.06.23 17:46:52,2.28,164.27,165.28,178.45,169.48,173.3,163.73,164.82,168.99,159.57,163.74,169.4,182.5,170.22,162.81,170.42,178.49,159.81,178.39,164.96,172.02,169.22,166.72,171.49,171.49,,33,965,33,28.78,
25.06.23 17:47:08,2.55,165.5,165.78,179.22,170.73,174.6,166.97,165.33,170.24,160.07,164.74,170.97,183.06,171.74,163.82,170.96,179.05,160.57,178.97,165.71,172.83,170.23,168.5,172.01,172.78,,33,965,33,28.78,
25.06.23 17:47:23,2.8,166.5,166.02,179.74,170.99,175.65,168.47,165.58,171.24,161.33,164.98,170.71,183.62,172,164.33,171.22,179.62,159.81,179.54,167.21,172.56,170.73,168.5,172.8,173.3,,33,965,33,28.81,
25.06.23 17:47:38,3.05,167.24,166.27,180.78,170.73,175.39,169.22,165.07,172.49,161.58,165.98,171.23,184.17,173.02,165.85,172.29,180.18,160.31,180.7,166.71,172.83,170.48,168.8,173.59,174.08,,33,965,33,28.81,
25.06.23 17:47:53,3.3,167.49,166.52,181.31,170.99,174.86,169.48,165.58,171.74,162.34,165.73,172.53,183.89,172.76,165.6,172.29,179.62,161.07,180.12,167.46,173.09,170.73,168.5,173.59,173.3,,33,965,33,28.81,
25.06.23 17:48:08,3.55,166.5,166.52,180.78,171.24,176.43,170.48,164.82,172.24,162.59,166.23,172.79,184.45,173.78,165.6,172.55,179.62,161.32,180.99,167.97,172.56,171.49,169.4,173.07,173.3,,33,965,33,28.83,
25.06.23 17:48:23,3.8,167.74,166.76,181.31,170.99,175.91,169.98,165.84,172.99,162.09,166.48,172.79,183.89,174.55,165.09,172.55,179.34,161.57,180.99,168.47,172.83,171.74,168.8,173.33,174.33,,33,965,33,28.84,
25.06.23 17:48:38,4.05,167.99,166.76,180.78,171.74,176.43,168.47,165.33,172.99,162.09,166.98,173.06,185.01,175.06,165.35,173.09,179.05,161.57,181.58,168.22,172.29,172.25,168.5,173.07,173.56,,33,965,33,28.85,
