sample_uid	B2ah	B2aa	4130800_B	B2	C31	C17d	C21	C31al	C21ac	C31a	C31.1	C17i	C17e	C31j	C31.10	C17	C21bk	C17f	C31w	C31.9	C21bm	C31f	C31o	C31p	C17k	C21k	480050_C	C31ae	C31l	C15	C17m	C31b	C21bl	C21aj	C31k	C21ar	C31i	C17n	C15eo	C31g	C31ad	C93a	C3	456047_C	C15sj	C31h	71011_C	C31.5	C31ac	1249193_C	D1	D4	D6	D1ab	D17d	D3h	D17j	D4d	D1dg	D17al	D1r	D5m	D10b	D17e	D17c	15655_D	D17k	D1dh	D17l	946_D	70955_D	D17	D2p	D1.6	10612_D	10616_D	D2.2	15659_D	4130801_D	104877_D
200344	0	0	0	0	12684	10208	3349	2306	1106	1188	1266	660	934	842	608	462	538	520	339	230	414	470	0	0	202	225	0	251	398	0	0	352	0	192	0	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
200349	0	0	0	5	18106	13961	4907	3368	1444	1620	2206	1056	1480	1064	1648	589	627	573	502	0	563	792	396	490	437	0	304	387	599	0	0	619	0	0	0	263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	13	0	0	8	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
200345	0	0	0	0	16660	9978	4230	2921	1374	1561	2016	924	1020	878	1487	505	649	449	346	0	313	719	341	410	279	0	275	263	517	0	0	481	0	0	0	0	0	254	0	0	282	0	0	0	0	0	0	0	0	0	62	68	18	0	5	10	7	0	0	0	5	6	0	0	5	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
200346	0	0	0	0	16193	11718	4097	2557	1334	1513	2415	943	1193	920	1618	565	688	344	512	0	293	790	403	458	337	0	293	353	529	0	0	339	0	0	0	0	0	273	0	0	264	0	0	0	0	0	0	0	0	0	111	61	33	0	6	0	4	0	0	8	5	7	0	0	7	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0
200347	0	0	0	0	16342	15218	5174	3095	1974	1517	1875	1223	1291	1138	945	815	806	672	673	356	463	608	360	405	348	325	299	351	384	0	332	0	0	0	0	0	0	297	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0
200348	0	0	0	0	9944	8697	2979	1556	1232	661	890	903	738	656	465	615	404	519	289	157	177	286	352	328	166	180	242	293	211	0	0	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	39	19	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
200359	0	0	0	0	905	654	214	90	63	49	41	24	49	44	33	13	26	55	13	26	23	18	0	12	19	18	0	11	0	0	0	0	11	0	0	13	0	0	0	12	0	0	0	16	0	0	0	0	11	0	174	118	75	19	0	0	0	0	0	0	0	0	4	0	0	4	0	0	0	0	5	0	0	0	0	0	0	0	0	0
200358	0	0	0	0	3844	2716	933	472	365	201	178	233	172	126	133	192	115	181	79	140	68	62	110	106	73	57	55	62	52	0	85	0	0	0	0	69	72	0	0	0	0	0	0	0	0	55	0	0	0	0	695	561	269	73	89	26	60	30	20	52	44	30	0	41	35	8	20	21	30	16	0	0	0	9	11	9	0	8	0	0
200354	17	0	6	0	5939	3690	1717	1914	868	630	449	285	242	308	170	143	279	126	131	129	111	0	110	117	137	236	102	107	0	0	0	0	132	0	103	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	2344	1556	957	235	39	151	0	192	0	0	0	52	90	25	0	0	0	0	0	0	50	0	53	0	0	0	0	0	0	0
200361	0	0	0	0	6177	4458	1773	875	643	357	412	463	290	267	234	305	214	203	122	203	139	154	196	198	102	115	0	124	87	0	124	0	131	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1894	1389	672	204	171	83	107	0	56	59	102	75	64	78	62	0	50	38	44	53	0	0	0	0	28	24	0	0	0	0
