sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18
R55,197955,-0.0683065773063899,-0.018706097538578197,-0.011450656751168352,0.04755206262711807,0.04599689420598177,-0.04353151541010227,0.0055629673067594115,-0.0023388263095990456,0.01264589009261667,-0.010584052512447522,-0.0019417067739918358,-0.0026907939053059243,0.0,0.0,0.0,0.0,0.0,0.0
R56,197956,-0.11169512589549203,0.018497400649404066,-0.05055334512677315,-0.011593228925607532,0.002219962215491388,0.019855536975804347,0.0034704590179925852,0.009132666415778827,0.0005639651050176947,0.010918314280289481,-0.01751239019821393,-0.011884045766241334,0.0,0.0,0.0,0.0,0.0,0.0
R57,197957,-0.12168592978953581,0.022280496098896978,-0.04770148699586011,-0.013591178141943657,0.0014516553048773064,0.01009794303822693,-0.00010245420408460663,0.00028351190273041046,-0.016454937803309946,0.002547059593830837,0.007792501661982702,0.009892807313562887,0.0,0.0,0.0,0.0,0.0,0.0
R58,197958,-0.043374727483907465,0.029164481871579762,-0.0025211889943853425,0.006980413121708677,0.000609422857843366,-0.007254616440488117,0.001340466415871426,-0.012481086874523028,-0.038403900803460705,-0.006477442794886608,-0.006532732714297594,-0.002583686695973104,0.0,0.0,0.0,0.0,0.0,0.0
R59,197959,-0.06457809226731268,0.010170294122918014,0.018145068567405276,-0.0008111207845384889,-0.025073228899612145,-0.014933567157651276,0.003297194920774054,-0.020625121757027725,0.00531781947719705,-0.01851654855327217,0.017329360616640966,-0.007524652498601314,0.0,0.0,0.0,0.0,0.0,0.0
R60,197960,-0.10941633645361862,-0.00019504896816978135,-0.015217045742135999,0.01745617862453841,0.014278137045714382,0.009158750505081947,-0.018989507550401515,0.0220624371911449,0.013669420506026691,0.00950412053078694,0.007845045160672607,0.004751080266623357,0.0,0.0,0.0,0.0,0.0,0.0
R61,197961,0.18098600368167878,0.12290726763170548,-0.012619713647734945,0.054426070903657336,-0.017792927126928655,-0.005779572327208369,-0.010908137223995919,0.0058061298563222615,0.003212347583294527,0.00421271791328589,-3.585022871968014e-05,-7.247467990596262e-05,0.0,0.0,0.0,0.0,0.0,0.0
R62,197962,0.10765795251475271,-0.05141172556118731,-0.03649594742842475,0.0013835513194444718,0.004374579414844197,-0.02319429046937267,0.02697204627279048,0.013113056402958822,-0.006915309202302101,0.010384225826926531,0.00671141372927889,0.006928287508899819,0.0,0.0,0.0,0.0,0.0,0.0
R63,197963,0.11833478619649083,-0.03265197960646275,-0.04118755078425086,-0.020734885878107172,0.036700074022770764,-0.015353598282579968,-0.012266293526228126,-0.024485518074598613,0.007240405580824779,-0.002755406141770639,-0.01159365298980552,0.00032932410566091137,0.0,0.0,0.0,0.0,0.0,0.0
R64,197964,0.11879508098981084,-0.02534145525288572,0.02719277065427112,-0.055216266610913,-0.004842423141191463,0.012264738031076548,0.01565398068537569,0.011848962230567318,-0.004068449145244839,-0.0012733116666623513,-0.0050648286090354015,-0.0037744551301659977,0.0,0.0,0.0,0.0,0.0,0.0
