sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
R57,197957,0.15598527561601802,0.0951548623768657,0.0025591179841095756,0.027296621300324703,0.002226199355413983,-0.0022565590644566345,-0.0019106163113213137,0.0018411910083165639,0.00015586886742995304,-0.0,0.0,0.0,0.0
R61,197961,-0.03298105082529236,-0.011146158647453799,-0.018662724152638338,0.036300448536555056,0.009620194023847178,-0.0033722468374986,0.00617812056692818,-0.014574617793639076,0.00016774611500710256,-0.0,0.0,0.0,0.0
R62,197962,-0.12129605290095252,-0.028540804422035704,0.015314724027707845,-0.0017790852683292288,0.018958282402907298,-0.018861330032159257,0.009168212976137239,0.004204370532793717,-0.0006412360084443434,-0.0,0.0,0.0,0.0
R63,197963,-0.11500643503350254,0.00792605723045137,-0.02849010259508821,-0.015908160856340788,0.027177957033552785,-0.009993075969749252,-0.02316951073264235,-0.009070905813561075,-0.0007047591818120629,-0.0,0.0,0.0,0.0
R64,197964,-0.027411828435384936,-0.009329047011452422,0.01647071157479541,0.008106157383528559,-0.01985773055063748,0.02290914225536245,-0.003121481922346425,-0.003961609244305883,-0.0030288727704608194,-0.0,0.0,0.0,0.0
R65,197965,-0.17280401744716217,0.02705201967419923,-0.030472589375026456,-0.010797046275499772,0.02122441171113828,0.018034752736653545,0.021806989119131353,0.009216142991381779,0.00019584127258370285,-0.0,0.0,0.0,0.0
R66,197966,-0.0777682083865311,-0.02842874144973093,-0.005745261280730655,0.026508157366994977,-0.0086308719859075,0.00210491772545228,-0.020772193754941163,0.018905791950360223,0.0007973694297795632,-0.0,0.0,0.0,0.0
R67,197967,0.0063704201043064046,0.019528307852057836,-0.013958139689261816,-0.014905055933188676,-0.030135857760790186,-0.0214288025948147,0.0057073223836372625,0.0008721013420670801,0.00025383754757559503,-0.0,0.0,0.0,0.0
R68,197968,0.1271747173681101,-0.011906927260117096,0.03860613477686517,-0.007750158028496281,0.0008244114481263036,-0.014660412330108246,0.007726538809982845,0.00601327228019535,-0.0015499291640463503,-0.0,0.0,0.0,0.0
R69,197969,0.23428965608755775,-0.05754242586175032,-0.05284088655240937,0.0031252970229371634,-0.008434333796005897,0.003708277521117092,0.007164855264870759,-0.0016509478383362767,0.0005776062342861407,-0.0,0.0,0.0,0.0
R70,197970,-0.19674843209446294,0.004485526337216512,0.021613597491796654,-0.007947233163376399,-0.039172435895520476,0.002677852467690387,0.0014182416689209076,-0.007891166101419083,0.0015536728184644326,-0.0,0.0,0.0,0.0
R71,197971,0.08092190023975779,-0.020761717769592715,0.06216403306464757,0.0003254624536882741,0.024771992591894457,0.009820630588162692,-0.0003098328908476579,-0.004468460510990071,0.001859786743702414,-0.0,0.0,0.0,0.0
R72,197972,0.13927405570753928,0.013509048951342252,-0.006558615274767497,-0.042575404538797754,0.0014277814219804815,0.011316853534348538,-0.009886645177509909,0.0005648371971364929,0.00036306809594146265,-0.0,0.0,0.0,0.0
proportion_explained,0,0.8392727623434761,0.060036876925289966,0.04269552769215952,0.019968698073311485,0.01949684466812697,0.008349406178381534,0.006776240672583817,0.003330736284826567,7.290716184385676e-05,0.0,0.0,0.0,0.0
