ITS2 type profile UID		797700	799603	798782	798780	798578	798776
Clade		C	C	D	D	D	D
Majority ITS2 sequence		C31	C31	D1	D1	D1	D1
Associated species		None	None	None	None	None	None
ITS2 profile abundance local		10	8	9	2	1	1
ITS2 profile abundance DB		82	336	86	257	81	7
ITS2 type profile		C31-C17d-C21-C31.1-C31a-C17e-C21ac-C31.10	C31/C17d-C21-C21ac-C31a-C17e-C31.9-C17f	D1/D4-D6-D1ab-D17d-D17j	D1/D4/D1ab-D6-D4d	D1/D4/D6/D1ab	D1/D6-D4-D17d
197960	R60	49044.0	0	0	0	0	0
197955	R55	33649.0	0	0	0	0	0
197956	R56	41522.0	0	0	0	0	0
197957	R57	42931.0	0	0	0	0	211.0
197958	R58	47730.0	0	0	0	0	0
197959	R59	27404.0	0	0	0	0	0
197965	R65	15721.0	0	0	5284.0	0	0
197972	R72	15219.0	0	4437.0	0	0	0
197971	R71	30836.0	0	10098.0	0	0	0
197968	R68	16303.0	0	7442.0	0	0	0
197970	R70	0	2105.0	0	0	386.0	0
197969	R69	0	9079.0	1747.0	0	0	0
197967	R67	0	19556.0	6283.0	0	0	0
197963	R63	0	26290.0	0	11740.0	0	0
197966	R66	0	30297.0	13688.0	0	0	0
197962	R62	0	16605.0	7715.0	0	0	0
197964	R64	0	16430.0	8347.0	0	0	0
197961	R61	0	25174.0	18520.0	0	0	0
Sequence accession / SymPortal UID		62831-49066-41-38924-62833-70819-70818-62837	62831-49066-41-38924-70819-70818-70820-62836	853-854-933-1674-2582-1768	853-854-933-1674-1660	853-854-933-1674	853-854-933-2582
Average defining sequence proportions and [stdev]		0.453[0.029]-0.288[0.028]-0.104[0.007]-0.039[0.008]-0.037[0.010]-0.032[0.006]-0.024[0.005]-0.022[0.010]	0.465[0.020]-0.281[0.035]-0.126[0.024]-0.049[0.013]-0.028[0.006]-0.019[0.003]-0.016[0.006]-0.015[0.003]	0.438[0.020]-0.304[0.017]-0.167[0.010]-0.047[0.004]-0.025[0.014]-0.020[0.008]	0.454[0.015]-0.288[0.010]-0.186[0.006]-0.041[0.004]-0.031[0.008]	0.451[nan]-0.306[nan]-0.194[nan]-0.049[nan]	0.526[nan]-0.289[nan]-0.156[nan]-0.028[nan]
