Date,Run,Plate,SDR,Light_Level,Light_Value,TimeStart,TimeStop,TimeInterval,IntervalStart,IntervalStop,Temperature,Notes
20230621,1,1,641,1,0,16:48,17:18,0:30,0,30,26,Test
20230621,1,1,641,2,50,17:20,17:52,1:02,33,62,26,Test
20230621,1,1,641,3,150,17:54,18:20,1:28,65,88,26,Test
20230621,1,1,641,4,500,18:24,18:50,1:54,91,114,26,Test
20230621,1,1,641,5,900,18:53,19:19,2:20,117,140,26,Test
20230621,1,1,641,6,1400,19:21,19:48,2:47,143,167,26,Test
20230622,2,3,641,1,0,14:20,14:41,0:21,0,21,26,
20230622,2,3,641,2,16,14:43,15:09,0:47,23,47,26,
20230622,2,3,641,3,60,15:11,15:21,0:57,49,57,26,
20230622,2,3,641,4,120,15:23,15:40,1:14,59,74,26,
20230622,2,3,641,5,165,15:42,15:57,1:29,76,89,26,
20230622,2,3,641,6,275,15:59,16:13,1:43,91,103,26,
20230622,2,3,641,7,425,16:15,16:32,2:00,105,120,26,
20230622,2,3,641,8,700,16:34,16:49,2:15,122,135,26,
20230622,2,3,641,9,1100,16:51,17:08,2:32,137,152,26,
20230622,2,3,641,10,1500,17:10,17:28,2:50,154,170,26,
20230622,2,3,641,11,1660,17:30,17:47,3:07,172,187,26,
20230622,2,4,710,1,0,14:20,14:41,0:21,0,21,26,
20230622,2,4,710,2,16,14:43,15:09,0:47,23,47,26,
20230622,2,4,710,3,60,15:11,15:21,0:57,49,57,26,
20230622,2,4,710,4,120,15:23,15:40,1:14,59,74,26,
20230622,2,4,710,5,165,15:42,15:57,1:29,76,89,26,
20230622,2,4,710,6,275,15:59,16:13,1:43,91,103,26,
20230622,2,4,710,7,425,16:15,16:32,2:00,105,120,26,
20230622,2,4,710,8,700,16:34,16:49,2:15,122,135,26,
20230622,2,4,710,9,1100,16:51,17:08,2:32,137,152,26,
20230622,2,4,710,10,1500,17:10,17:28,2:50,154,170,26,
20230622,2,4,710,11,1660,17:30,17:47,3:07,172,187,26,
