Measurement Name :,20230622_SDR641_Run02_Plate03_PI,,Generated On :,"22/06/2023, 17:47:51",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000641      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 045
Ref LED current   : 095
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"22/06/2023, 14:20:28",,,,,,Batch No.:  ,PSt5-1624-01_25°C,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"22/06/2023, 17:47:12",,,,,,O2_cal0 [°],54.76,,Adjustment at ,100, % air saturation,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [°],47.47,,Adjustment at ,25, °C,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-641,,,,,,O2_T0 [°C],24.8,,Adjustment at ,965, mbar,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [°C],24.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],965,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPA Phase values  ,,45.89,45.96,46.18,46.05,45.95,46.22,46.26,46.2,46.13,46.02,46.11,46.23,45.8,46.11,46.28,46.41,46.09,46.67,46.15,46.5,45.87,46.79,46.15,46.27,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
22.06.23 14:20:30,0.03,187.75,190.9,184.06,193,187.4,195.93,192.54,195.94,176.83,193.85,195.44,195.93,184.15,183.63,190.84,190.98,193.24,186.34,192.08,191.16,192.61,188.78,191.81,188.62,,25,965,33,24.47,
22.06.23 14:20:45,0.28,188.55,190.9,184.06,192.45,187.67,196.21,192.82,195.66,176.02,194.12,196,195.08,183.89,183.36,191.4,191.26,193.24,186.34,191.53,191.16,192.88,188.78,191.81,188.9,,25,965,33,24.48,
22.06.23 14:21:00,0.53,187.75,190.63,183.79,192.45,187.13,195.93,191.98,195.38,176.83,194.12,195.44,194.52,183.36,183.36,190.84,189.85,192.69,186.34,191.81,190.59,192.61,188.19,191.53,188.62,,25,965,33,24.51,
22.06.23 14:21:15,0.78,187.21,189.82,184.06,193,186.86,195.09,191.14,195.38,176.02,193.03,195.44,194.24,183.62,182.55,189.72,190.13,192.97,186.05,191.53,190.31,191.8,188.19,192.08,188.34,,25,965,33,24.54,
22.06.23 14:21:30,1.03,186.94,189.55,183.51,192.45,186.32,195.65,191.7,194.55,175.22,193.58,195.16,193.68,182.83,181.73,191.12,188.43,192.42,186.34,191.53,189.45,192.88,187.9,191.26,188.06,,25,965,33,24.54,
22.06.23 14:21:45,1.28,186.68,189.55,184.33,191.08,186.59,195.65,191.42,194.82,174.68,192.75,195.16,193.68,183.36,181.19,190.84,189,192.42,186.05,191.26,189.17,191.26,187.6,192.08,188.34,,25,965,33,24.55,
22.06.23 14:22:00,1.53,186.41,189.28,184.06,191.63,185.52,195.37,190.58,193.71,173.87,192.48,194.89,193.4,182.57,180.65,190.84,188.15,191.87,185.47,190.98,188.88,191,187.31,191.81,187.78,,25,965,33,24.58,
22.06.23 14:22:15,1.78,186.68,189.55,183.51,190.81,186.32,194.53,190.3,192.87,173.87,192.75,195.16,193.68,182.57,180.65,190.84,188.15,192.42,185.76,190.98,188.31,190.73,187.02,191.26,188.34,,25,965,33,24.57,
22.06.23 14:22:30,2.03,186.41,189.55,183.79,191.08,186.86,193.97,190.58,193.71,173.61,192.48,194.61,192.85,182.57,180.92,190.28,188.15,192.42,185.76,190.98,188.03,191.53,187.02,191.26,188.62,,25,965,33,24.58,
22.06.23 14:22:45,2.28,185.87,189.01,183.51,190.54,186.05,193.69,190.02,192.32,173.07,191.93,194.61,192.29,182.04,179.84,190.84,187.59,192.42,185.76,190.43,188.03,191,186.14,189.05,187.23,,25,965,33,24.58,
22.06.23 14:23:00,2.53,185.34,189.01,183.24,191.08,185.78,193.97,190.02,192.32,172.54,191.39,194.06,193.12,181.51,179.84,190.28,187.59,191.59,185.47,189.87,186.61,190.19,185.26,188.77,187.51,,25,965,33,24.59,
22.06.23 14:23:15,2.78,185.34,188.2,182.97,191.36,185.25,194.25,189.19,191.48,172,191.39,193.5,191.73,180.99,179.03,189.72,187.59,192.42,185.76,189.6,186.61,190.19,185.56,189.05,186.67,,25,965,33,24.61,
22.06.23 14:23:30,3.03,185.34,188.47,183.24,190.54,186.32,194.25,189.47,192.59,173.07,191.11,193.78,191.45,181.51,179.3,190.28,186.74,191.32,185.76,189.87,186.89,189.65,184.97,187.95,187.23,,25,965,33,24.59,
22.06.23 14:23:45,3.28,185.34,187.93,182.69,190.54,186.05,193.13,188.63,192.87,173.07,191.39,193.78,190.89,181.25,178.49,189.44,186.46,191.59,185.18,189.32,186.61,189.65,184.68,188.22,187.78,,25,965,33,24.61,
22.06.23 14:24:00,3.53,185.61,187.93,182.69,189.72,186.59,193.13,188.63,191.48,172.8,190.84,193.78,190.34,181.78,178.49,189.44,185.34,190.77,185.18,189.6,186.04,189.11,184.39,187.95,187.51,,25,965,33,24.61,
22.06.23 14:24:15,3.78,185.07,187.93,183.51,190.26,186.59,193.41,188.35,191.76,172.8,190.3,193.78,190.06,180.99,178.76,190,184.5,191.87,185.76,190.15,186.04,189.65,184.39,187.67,187.78,,25,965,33,24.61,
22.06.23 14:24:30,4.03,184.8,187.39,182.97,189.99,186.86,192.85,188.08,190.09,173.07,190.3,193.23,189.5,181.25,177.41,189.44,183.94,191.04,185.47,189.05,185.75,188.31,184.1,187.4,186.4,,25,965,33,24.64,
22.06.23 14:24:45,4.28,184,185.77,181.87,188.9,184.98,192.3,187.8,188.99,172,189.75,192.67,188.95,179.67,177.41,189.16,183.1,190.77,184.61,188.77,184.9,188.31,182.06,187.4,185.56,,25,965,33,24.62,
