,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Class,WT_3C,B_3C,WT_3C,B_0C,WT_6C,B_3C,Blank,Blank,B_6C,B_6C,Blank,Blank,Blank,WT_6C,NB_3C,WT_6C,B_0C,Blank,NB_6C,B_3C,NB_3C,Blank,NB_0C,NB_0C,NB_3C,NB_0C,NB_3C,B_0C,WT_0C,Blank,B_6C,NB_6C,NB_0C,WT_3C,NB_3C,B_6C,B_3C,Blank,B_0C,NB_6C,WT_3C,WT_0C,NB_3C,WT_6C,B_6C,NB_6C,B_6C,WT_6C,NB_6C,WT_0C,B_0C,WT_3C,NB_0C,NB_6C,WT_0C,NB_0C,B_3C,B_0C,WT_0C,WT_6C,WT_3C,B_3C,WT_0C,PBQC,PBQC,PBQC,PBQC,PBQC,PBQC,PBQC,PBQC,PBQC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,File type,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Injection order,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batch ID,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Stdev,Stdev,Stdev,Stdev,Stdev,Stdev,Stdev,Stdev,Stdev,Stdev,Stdev
Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,Post curation result,Fill %,MS/MS assigned,Reference RT,Reference m/z,Formula,Ontology,INCHIKEY,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Comment,Manually modified for quantification,Manually modified for annotation,Isotope tracking parent ID,Isotope tracking weight number,RT similarity,m/z similarity,Simple dot product,Weighted dot product,Reverse dot product,Matched peaks count,Matched peaks percentage,Total score,S/N average,Spectrum reference file name,MS1 isotopic spectrum,MS/MS spectrum,20240423_Mcap_neg_1,20240423_Mcap_neg_10,20240423_Mcap_neg_11,20240423_Mcap_neg_12,20240423_Mcap_neg_13,20240423_Mcap_neg_14,20240423_Mcap_neg_15,20240423_Mcap_neg_16,20240423_Mcap_neg_17,20240423_Mcap_neg_18,20240423_Mcap_neg_19,20240423_Mcap_neg_2,20240423_Mcap_neg_20,20240423_Mcap_neg_21,20240423_Mcap_neg_22,20240423_Mcap_neg_23,20240423_Mcap_neg_24,20240423_Mcap_neg_25,20240423_Mcap_neg_26,20240423_Mcap_neg_27,20240423_Mcap_neg_28,20240423_Mcap_neg_29,20240423_Mcap_neg_3,20240423_Mcap_neg_30,20240423_Mcap_neg_31,20240423_Mcap_neg_32,20240423_Mcap_neg_33,20240423_Mcap_neg_34,20240423_Mcap_neg_35,20240423_Mcap_neg_36,20240423_Mcap_neg_37,20240423_Mcap_neg_38,20240423_Mcap_neg_39,20240423_Mcap_neg_4,20240423_Mcap_neg_40,20240423_Mcap_neg_41,20240423_Mcap_neg_42,20240423_Mcap_neg_43,20240423_Mcap_neg_44,20240423_Mcap_neg_45,20240423_Mcap_neg_46,20240423_Mcap_neg_47,20240423_Mcap_neg_48,20240423_Mcap_neg_49,20240423_Mcap_neg_5,20240423_Mcap_neg_50,20240423_Mcap_neg_51,20240423_Mcap_neg_52,20240423_Mcap_neg_53,20240423_Mcap_neg_54,20240423_Mcap_neg_55,20240423_Mcap_neg_56,20240423_Mcap_neg_57,20240423_Mcap_neg_58,20240423_Mcap_neg_59,20240423_Mcap_neg_6,20240423_Mcap_neg_60,20240423_Mcap_neg_61,20240423_Mcap_neg_62,20240423_Mcap_neg_63,20240423_Mcap_neg_7,20240423_Mcap_neg_8,20240423_Mcap_neg_9,20240423_Mcap_neg_PBQC1_10,20240423_Mcap_neg_PBQC1_20,20240423_Mcap_neg_PBQC1_5,20240423_Mcap_neg_PBQC2,20240423_Mcap_neg_PBQC3,20240423_Mcap_neg_PBQC4,20240423_Mcap_neg_PBQC5,20240423_Mcap_neg_PBQC6,20240423_Mcap_neg_PBQC7,WT_3C,B_3C,B_0C,WT_6C,Blank,B_6C,NB_3C,NB_6C,NB_0C,WT_0C,PBQC,WT_3C,B_3C,B_0C,WT_6C,Blank,B_6C,NB_3C,NB_6C,NB_0C,WT_0C,PBQC
746,0.859,225.16470,FA 14:1,[M-H]-,null,0.61,True,4.660,225.18600,C14H26O2,FA,YWWVWXASSLXJHU-UHFFFAOYSA-N,O=C(O)CCCCCCCC=CCCCC,410,False,True,True,Normalized unit: nmol_per_microL_plasma; Annotation method: Msp20240227103228_conventional_converted_dev_1; Tag: Confirmed,False,False,746,0,0.00,0.91,0.28,0.36,0.75,1.00,2.00,2.20,52.04,20240423_Mcap_neg_57,225.16460:2439109 226.16926:0 227.17393:0,65.03840:4788 68.65091:2153 70.71667:16642 79.95591:4974 80.96393:6118 93.03350:4303 96.95886:6697 97.87331:2066 115.05424:5926 121.19578:2713 134.02573:2317 141.07047:3150 188.19073:2734 225.16432:25272,946325,604054,0,2146172,1295870,2969418,0,0,1648903,0,169662,0,0,0,3137962,1406092,486266,0,1949755,5287416,2176837,0,608632,826658,1191421,1317655,9216376,1036218,491750,0,3858181,2302840,7261940,1532117,3866231,1381250,6511697,0,2975521,7124109,0,1247380,507084,1728525,4118483,1723107,6980599,0,3978234,210739,3708853,1602484,8037767,468337,4214873,6566924,775768,543629,2336036,0,1675498,2637413,4611517,2121777,2575566,352782,1506603,1860972,1180204,1778460,1049278,848220,959403.906641199,3130960.93778018,1816109.79062647,738414.512746219,18851.2997405667,2997902.68569659,3349318.47451862,2924397.01004793,4103262.68056235,2185382.39614328,1474873.47762595,786819.574112711,2378299.90071508,1343992.20837089,821296.125542703,56553.8992217001,2501136.94182671,3125500.48248745,2347754.09065832,3528041.50193717,1880165.61783257,688476.429138284
747,1.180,225.16484,FA 14:1,[M-H]-,null,0.65,True,4.660,225.18600,C14H26O2,FA,YWWVWXASSLXJHU-UHFFFAOYSA-N,O=C(O)CCCCCCCC=CCCCC,410,False,True,True,Normalized unit: nmol_per_microL_plasma; Annotation method: Msp20240227103228_conventional_converted_dev_1; Tag: Confirmed,False,False,747,0,0.00,0.91,0.23,0.32,0.75,1.00,2.00,2.18,9.76,20240423_Mcap_neg_33,225.16484:377158 226.16951:0 227.17418:0,68.08140:2811 72.20612:3452 73.62962:2291 92.62421:2455 112.71190:2159 112.81614:2141 128.59447:2234 225.16487:5226,150318,1542597,208777,678353,306978,981705,0,0,832371,292583,0,0,0,37428,1092316,179557,518292,0,630204,1027796,723030,0,312110,414906,328046,186033,2226511,231161,177163,0,601024,528504,1348325,528399,625050,401027,1556601,0,906382,1144353,41106,249676,244760,349853,1466233,533722,1387909,76129,1069711,285887,1023598,177202,2329781,5468,1101516,1079511,258615,65761,463200,198742,353138,633041,1063155,477482,643858,743254,447846,433823,424860,382049,398991,374813,243156.595966539,1000059.31777335,570591.29066799,191448.00390084,0,830191.19710716,873285.809588914,651993.756354004,945111.064961755,556766.254622669,480775.026143612,172298.970414527,507864.861205668,374802.458671053,123007.783892272,0,498261.923717215,728796.371329435,415839.641472428,819263.496013415,418022.509296891,127269.891618086
862,2.587,227.20154,FA 14:0,[M-H]-,null,0.96,True,5.300,227.20171,C14H28O2,FA,TUNFSRHWOTWDNC-UHFFFAOYSA-N,O=C(O)CCCCCCCCCCCCC,410,False,True,True,Normalized unit: nmol_per_microL_plasma; Annotation method: Msp20240227103228_conventional_converted_dev_1; Tag: Confirmed,False,False,862,0,0.00,1.00,0.75,0.66,0.75,1.00,2.00,2.41,132.58,20240423_Mcap_neg_10,227.20149:4261200 228.20616:626519 229.21083:47305,68.99442:5705 71.80221:4809 84.17894:2210 104.02532:10846 117.20251:2842 193.32755:2754 227.20126:89823,33636399,37298450,25707980,52235266,31340941,39606930,15157556,11663565,54414066,21211901,12456314,16854623,15552155,40735546,58242195,15396685,27566622,67152821,25806973,15166012,41738178,20176273,19017055,33025525,38121226,19589708,78485231,27493807,35334579,29096905,25709501,26326906,58476402,23392498,39707779,27354464,32031991,12529977,41719600,50624333,43720458,44022190,28569104,27837069,20151859,67049872,31168585,33898830,46824285,114860647,48848520,47234717,39805058,12570095,155384361,42791968,19500746,32048600,52339365,51595908,65526795,18593132,69306649,90111061,158698068,64579461,136343817,88632333,90710587,141520784,149933241,95156044,39869807.9272647,27032876.7811112,38318735.6791196,33467496.3114121,22293354.2527629,30001729.0062262,47477285.5708115,38200410.6379597,35450952.7585989,78541298.3916362,112853932.997363,15736994.0074084,10557127.6137707,10846323.815555,12201869.3323183,17657040.5069465,12625656.3743958,17976282.9014618,20062437.5179239,15036986.5004094,47019487.1774499,33704626.3174538
870,8.009,227.20161,FA 14:0,[M-H]-,null,0.83,True,5.300,227.20171,C14H28O2,FA,TUNFSRHWOTWDNC-UHFFFAOYSA-N,O=C(O)CCCCCCCCCCCCC,410,False,True,True,Normalized unit: nmol_per_microL_plasma; Annotation method: Msp20240227103228_conventional_converted_dev_1; Tag: Confirmed,False,False,870,0,0.00,1.00,0.22,0.34,0.75,1.00,2.00,2.23,33.54,20240423_Mcap_neg_4,227.20137:1148573 228.20604:252702 229.21071:0,51.58915:2157 52.81211:2349 57.03336:4391 68.99458:73854 71.21557:2011 77.04745:2261 87.18888:2395 110.71721:2006 112.98452:16700 147.01479:1998 227.20113:30509,65388901,9018762,11343746,14242210,11477273,11821827,15319242,10669056,15977753,24635854,10832663,10111537,12839210,11554191,9854901,16216447,17162346,8904854,14332620,11437239,12839762,10194984,14561330,13034273,19603603,10015985,10602564,9240611,10135142,9475195,12400740,11699379,13093539,11478596,11544105,9113345,11585659,8575739,11759965,11178944,13108399,13373460,6446150,14531355,10686789,14305249,10909594,13740860,11180766,15936169,14590927,10476185,9591003,7588753,10861674,10651526,9630975,14438396,12120151,10330268,17035103,15019198,14441196,13197196,23663998,10011129,11944891,12248382,12581298,12914844,15331078,12419644,21471821.816312,11418943.4219084,13572409.1875334,12975065.9119634,10769164.4923842,13954012.5128058,11815180.8701839,11714285.1326674,11824609.2894982,12811298.5751702,13812495.5508247,21641107.3925139,2102854.39938218,2726646.87841795,2225859.59832851,2113221.10292442,5726870.32385815,4380009.22553249,2496407.35292043,2009942.81066007,2198997.37717894,3943082.99855942
878,8.089,227.20166,FA 14:0,[M-H]-,null,0.15,True,5.300,227.20171,C14H28O2,FA,TUNFSRHWOTWDNC-UHFFFAOYSA-N,O=C(O)CCCCCCCCCCCCC,410,False,True,True,Normalized unit: nmol_per_microL_plasma; Annotation method: Msp20240227103228_conventional_converted_dev_1; Tag: Confirmed,False,False,878,0,0.00,1.00,0.20,0.29,0.75,1.00,2.00,2.21,34.95,20240423_Mcap_neg_18,227.20166:1117204 228.20633:231786 229.21100:0,57.03336:5428 59.01281:2626 68.99464:71274 112.98457:16562 173.07390:2398 174.27628:2109 213.11861:2376 227.20107:25965 227.87973:3207,270759,9018762,11343746,14242210,11477273,11821827,15319242,10669056,15977753,24635854,10832663,10111537,12839210,11554191,9854901,16216447,17162346,8904854,14332620,11437239,12839762,10194984,14561330,13034273,19603603,10015985,10602564,9240611,10135142,9475195,12400740,11699379,13093539,11478596,11544105,9113345,11585659,8575739,11759965,11178944,13108399,13373460,17168956,14531355,10686789,14305249,10909594,13740860,11180766,15936169,14590927,10476185,9591003,393193,10861674,10651526,9630975,14438396,12120151,10330268,17035103,15019198,14441196,13197196,23663998,10011129,11944891,12248382,12581298,12914844,15331078,12419644,10618798.1979156,11418943.4219084,13572409.1875334,12975065.9119634,10769164.4923842,13954012.5128058,13602315.2737382,10515025.1587552,11824609.2894982,12811298.5751702,13812495.5508247,5580934.23041511,2102854.39938218,2726646.87841795,2225859.59832851,2113221.10292442,5726870.32385815,3913967.80448721,5170648.2077951,2009942.81066007,2198997.37717894,3943082.99855942
1020,0.857,233.11844,FA 15:4,[M-H]-,null,1.00,True,4.330,233.15469,C15H22O2,FA,VYNPFWKAZJBFBM-UHFFFAOYSA-N,O=C(O)CC=CCC=CCC=CCC=CCC,410,False,True,True,Normalized unit: nmol_per_microL_plasma; Annotation method: Msp20240227103228_conventional_converted_dev_1; Tag: Confirmed,False,False,1020,0,0.00,0.77,0.32,0.41,0.75,1.00,2.00,2.15,24438.39,20240423_Mcap_neg_2,233.11824:373734 234.12291:49847 235.12758:163008,54.27295:2084 59.01266:3204 69.45489:1924 72.20432:4077 72.21217:3195 75.00745:2458 79.95615:2583 91.67094:2736 121.10078:3504 130.10724:2147 142.10431:2186 233.15456:13874,6383523849,5552012844,7079665528,9309163743,6961071962,11884874178,16715910,8941562,9353416087,6524773583,11721185,2190633,11906044,5725526537,7613361428,8295175323,9558012734,18144272,6871570821,9254544530,8872187257,12776448,4493966258,7832976350,8247711634,7368267460,8711409325,7325641779,7692373359,14301425,7303077987,8005699459,6439842468,7689313917,7335797581,5640948211,9962746258,28628384,7537608067,8351433268,7956200039,6597726798,6211829305,5632962855,7377589613,7225247466,9932236121,8094937521,7220394711,8430640691,9310677558,7474592191,7867019428,5387931131,12389311449,9288606979,5273584850,4654531343,8213479410,8515564768,7728590647,7607350223,9653788002,7301669207,12373281752,4069728489,7453891963,7619669972,7579185807,7793607195,7686605825,7838780216,7385314361.7942,8255852147.14678,7949272537.19365,7204206494.38469,13925095.9045384,7688673600.41018,7832049421.69352,7177046142.45374,7215113157.24139,8829553284.96392,7746268936.24465,572911994.46422,2596378047.85057,1881726613.50289,1297512285.91347,7199868.20782788,1649135535.61292,994699873.090282,1035789708.59176,1620817983.10865,2008190577.62799,2099632511.73234
