Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,Post curation result,Fill %,MS/MS assigned,Reference RT,Reference m/z,Formula,Ontology,INCHIKEY,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Comment,Manually modified for quantification,Manually modified for annotation,Isotope tracking parent ID,Isotope tracking weight number,RT similarity,m/z similarity,Simple dot product,Weighted dot product,Reverse dot product,Matched peaks count,Matched peaks percentage,Total score,S/N average,Spectrum reference file name,MS1 isotopic spectrum,MS/MS spectrum
746,0.859,225.16470,FA 14:1,[M-H]-,null,0.61,True,4.660,225.18600,C14H26O2,FA,YWWVWXASSLXJHU-UHFFFAOYSA-N,O=C(O)CCCCCCCC=CCCCC,410,False,True,True,Normalized unit: Intensity; Annotation method: Msp20240227103228_conventional_converted_dev_1; Tag: Confirmed,False,False,746,0,0.00,0.91,0.28,0.36,0.75,1.00,2.00,2.20,52.04,20240423_Mcap_neg_57,225.16460:2439109 226.16926:0 227.17393:0,65.03840:4788 68.65091:2153 70.71667:16642 79.95591:4974 80.96393:6118 93.03350:4303 96.95886:6697 97.87331:2066 115.05424:5926 121.19578:2713 134.02573:2317 141.07047:3150 188.19073:2734 225.16432:25272
1020,0.857,233.11844,FA 15:4,[M-H]-,null,1.00,True,4.330,233.15469,C15H22O2,FA,VYNPFWKAZJBFBM-UHFFFAOYSA-N,O=C(O)CC=CCC=CCC=CCC=CCC,410,False,True,True,Normalized unit: Intensity; Annotation method: Msp20240227103228_conventional_converted_dev_1; Tag: Confirmed,False,False,1020,0,0.00,0.77,0.32,0.41,0.75,1.00,2.00,2.15,24438.39,20240423_Mcap_neg_2,233.11824:373734 234.12291:49847 235.12758:163008,54.27295:2084 59.01266:3204 69.45489:1924 72.20432:4077 72.21217:3195 75.00745:2458 79.95615:2583 91.67094:2736 121.10078:3504 130.10724:2147 142.10431:2186 233.15456:13874
1419,0.864,243.17546,FA 14:0;O,[M-H]-,null,0.96,True,4.310,243.19659,C14H28O3,OxFA,OVASNIDFAGGBHJ-UHFFFAOYSA-N,O=C(O)CCCCCCC(O)CCCCCC,410,False,True,True,Normalized unit: Intensity; Annotation method: Msp20240227103228_conventional_converted_dev_1; Tag: Confirmed,False,False,1419,0,0.00,0.91,0.33,0.38,0.75,1.00,2.00,2.22,465.09,20240423_Mcap_neg_17,243.17546:15202803 244.18013:2333150 245.18480:491420,55.01777:11201 62.14363:8599 65.03844:16880 69.03344:9897 71.62074:28451 83.04895:14725 91.05405:39748 93.03341:21846 106.04144:408601 107.04926:51206 119.04932:610582 121.02836:42360 132.05736:68112 133.06520:50575 138.03136:19478 157.06502:14790 161.09715:12566 170.19702:9612 175.11186:13539 225.16437:10870 241.15950:19109 243.17535:740773
1718,2.174,251.20186,FA 16:2,[M-H]-,null,0.81,True,5.180,251.20171,C16H28O2,FA,RVEKLXYYCHAMDF-UHFFFAOYSA-N,O=C(O)CCCCCCCC=CCC=CCCC,410,False,True,True,Normalized unit: Intensity; Annotation method: Msp20240227103228_conventional_converted_dev_1; Tag: Confirmed,False,False,1718,0,0.00,1.00,0.32,0.44,0.75,1.00,2.00,2.27,324.39,20240423_Mcap_neg_39,251.20189:305977 252.20656:54342 253.21122:30034,71.87399:5777 71.87748:2699 120.14362:2260 251.20219:5021
1762,2.838,253.21738,FA 16:1,[M-H]-,null,0.97,True,5.710,253.21730,C16H30O2,FA,SECPZKHBENQXJG-UHFFFAOYSA-N,O=C(O)CCCCCCCC=CCCCCCC,410,False,True,True,Normalized unit: Intensity; Annotation method: Msp20240227103228_conventional_converted_dev_1; Tag: Confirmed,False,False,1762,0,0.00,1.00,0.91,0.73,0.75,1.00,2.00,2.46,218.90,20240423_Mcap_neg_PBQC1_10,253.21725:2970814 254.22192:545540 255.22659:1063708,65.66031:2100 72.19463:3465 119.39907:2409 253.21700:83586
2662,1.977,275.20221,FA 18:4,[M-H]-,null,0.88,True,5.210,275.20169,C18H28O2,FA,JIWBIWFOSCKQMA-UHFFFAOYSA-N,O=C(O)CCCCC=CCC=CCC=CCC=CCC,410,False,True,True,Normalized unit: Intensity; Annotation method: Msp20240227103228_conventional_converted_dev_1; Tag: Confirmed,False,False,2662,0,0.00,1.00,0.31,0.45,0.75,1.00,2.00,2.27,124.20,20240423_Mcap_neg_3,275.20178:1084034 276.20645:213364 277.21112:21782,52.80810:2376 59.01269:6360 70.19991:2113 72.21520:2576 200.88121:1977 275.20154:6770
2693,2.513,277.21756,FA 18:3,[M-H]-,null,0.89,True,5.580,277.21729,C18H30O2,FA,DTOSIQBPPRVQHS-UHFFFAOYSA-N,O=C(O)CCCCCCCC=CCC=CCC=CCC,410,False,True,True,Normalized unit: Intensity; Annotation method: Msp20240227103228_conventional_converted_dev_1; Tag: Confirmed,False,False,2693,0,0.00,1.00,0.57,0.63,0.75,1.00,2.00,2.36,351.65,20240423_Mcap_neg_48,277.21768:2839426 278.22235:571972 279.22702:49184,59.01263:10534 71.26759:1956 72.20969:2702 83.04865:3103 277.21634:23944
2725,3.226,279.23312,FA 18:2,[M-H]-,null,0.99,True,6.040,279.23300,C18H32O2,FA,OYHQOLUKZRVURQ-UHFFFAOYSA-N,O=C(O)CCCCCCCC=CCC=CCCCCC,410,False,True,True,Normalized unit: Intensity; Annotation method: Msp20240227103228_conventional_converted_dev_1; Tag: Confirmed,False,False,2725,0,0.00,1.00,0.87,0.72,0.75,1.00,2.00,2.45,254.87,20240423_Mcap_neg_51,279.23331:2209370 280.23797:431452 281.24264:94176,59.01283:3232 60.26228:2234 72.20914:2937 97.81456:2079 279.23285:71756
3068,4.895,283.26471,FA 18:0,[M-H]-,null,0.88,True,6.930,283.26431,C18H36O2,FA,QIQXTHQIDYTFRH-UHFFFAOYSA-N,O=C(O)CCCCCCCCCCCCCCCCC,410,False,True,True,Normalized unit: Intensity; Annotation method: Msp20240227103228_conventional_converted_dev_1; Tag: Confirmed,False,False,3068,0,0.00,1.00,0.94,0.74,0.75,1.00,2.00,2.47,1129.73,20240423_Mcap_neg_38,283.26474:4520796 284.26941:886028 285.27408:90613,55.89691:2685 71.95830:3747 71.96149:4790 95.98168:2857 283.26443:237805
3259,0.858,287.16571,FA 19:5,[M-H]-,null,1.00,True,5.390,287.20169,C19H28O2,FA,FUFAUPPSWATCTQ-UHFFFAOYSA-N,O=C(O)CCC=CCC=CCC=CCC=CCC=CCC,410,False,True,True,Normalized unit: Intensity; Annotation method: Msp20240227103228_conventional_converted_dev_1; Tag: Confirmed,False,False,3259,0,0.00,0.77,0.01,0.03,0.75,1.00,2.00,2.00,22493.54,20240423_Mcap_neg_32,287.16565:406256768 288.17032:81241832 289.17498:9766131,52.01613:120842 59.01278:1173514 69.03342:190410 71.53810:280519 71.54189:296051 75.00765:2093089 77.90801:116789 79.05444:206643 91.05478:154179 93.03352:147660 97.45505:115465 106.04160:863328 107.04916:629770 119.04942:1903957 133.06459:172745 178.01067:124417 215.14320:181064 225.98810:131033 229.15997:506141 287.18246:134812
