,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Class,WT_3C,B_3C,WT_3C,B_0C,WT_6C,B_3C,Blank,Blank,B_6C,B_6C,Blank,Blank,Blank,WT_6C,NB_3C,WT_6C,B_0C,Blank,NB_6C,B_3C,NB_3C,Blank,NB_0C,NB_0C,NB_3C,NB_0C,NB_3C,B_0C,WT_0C,Blank,B_6C,NB_6C,NB_0C,WT_3C,NB_3C,B_6C,B_3C,Blank,B_0C,NB_6C,WT_3C,WT_0C,NB_3C,WT_6C,B_6C,NB_6C,B_6C,WT_6C,NB_6C,WT_0C,B_0C,WT_3C,NB_0C,NB_6C,WT_0C,NB_0C,B_3C,B_0C,WT_0C,WT_6C,WT_3C,B_3C,WT_0C,PBQC,PBQC,PBQC,PBQC,PBQC,PBQC,PBQC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,File type,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Injection order,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batch ID,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Stdev,Stdev,Stdev,Stdev,Stdev,Stdev,Stdev,Stdev,Stdev,Stdev,Stdev
Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,Post curation result,Fill %,MS/MS assigned,Reference RT,Reference m/z,Formula,Ontology,INCHIKEY,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Comment,Manually modified for quantification,Manually modified for annotation,Isotope tracking parent ID,Isotope tracking weight number,RT similarity,m/z similarity,Simple dot product,Weighted dot product,Reverse dot product,Matched peaks count,Matched peaks percentage,Total score,S/N average,Spectrum reference file name,MS1 isotopic spectrum,MS/MS spectrum,20240423_Mcap_pos_1,20240423_Mcap_pos_10,20240423_Mcap_pos_11,20240423_Mcap_pos_12,20240423_Mcap_pos_13,20240423_Mcap_pos_14,20240423_Mcap_pos_15,20240423_Mcap_pos_16,20240423_Mcap_pos_17,20240423_Mcap_pos_18,20240423_Mcap_pos_19,20240423_Mcap_pos_2,20240423_Mcap_pos_20,20240423_Mcap_pos_21,20240423_Mcap_pos_22,20240423_Mcap_pos_23,20240423_Mcap_pos_24,20240423_Mcap_pos_25,20240423_Mcap_pos_26,20240423_Mcap_pos_27,20240423_Mcap_pos_28,20240423_Mcap_pos_29,20240423_Mcap_pos_3,20240423_Mcap_pos_30,20240423_Mcap_pos_31,20240423_Mcap_pos_32,20240423_Mcap_pos_33,20240423_Mcap_pos_34,20240423_Mcap_pos_35,20240423_Mcap_pos_36,20240423_Mcap_pos_37,20240423_Mcap_pos_38,20240423_Mcap_pos_39,20240423_Mcap_pos_4,20240423_Mcap_pos_40,20240423_Mcap_pos_41,20240423_Mcap_pos_42,20240423_Mcap_pos_43,20240423_Mcap_pos_44,20240423_Mcap_pos_45,20240423_Mcap_pos_46,20240423_Mcap_pos_47,20240423_Mcap_pos_48,20240423_Mcap_pos_49,20240423_Mcap_pos_5,20240423_Mcap_pos_50,20240423_Mcap_pos_51,20240423_Mcap_pos_52,20240423_Mcap_pos_53,20240423_Mcap_pos_54,20240423_Mcap_pos_55,20240423_Mcap_pos_56,20240423_Mcap_pos_57,20240423_Mcap_pos_58,20240423_Mcap_pos_59,20240423_Mcap_pos_6,20240423_Mcap_pos_60,20240423_Mcap_pos_61,20240423_Mcap_pos_62,20240423_Mcap_pos_63,20240423_Mcap_pos_7,20240423_Mcap_pos_8,20240423_Mcap_pos_9,20240423_Mcap_pos_PBQC1,20240423_Mcap_pos_PBQC2,20240423_Mcap_pos_PBQC3,20240423_Mcap_pos_PBQC4,20240423_Mcap_pos_PBQC5,20240423_Mcap_pos_PBQC6,20240423_Mcap_pos_PBQC7,WT_3C,B_3C,B_0C,WT_6C,Blank,B_6C,NB_3C,NB_6C,NB_0C,WT_0C,PBQC,WT_3C,B_3C,B_0C,WT_6C,Blank,B_6C,NB_3C,NB_6C,NB_0C,WT_0C,PBQC
82,0.968,202.18030,NAE 9:0,[M+H]+,null,1.00,True,3.500,202.18021,C11H23NO2,NAE,QWJKOSGGYVUJBP-UHFFFAOYSA-N,O=C(NCCO)CCCCCCCC,410,False,True,True,Normalized unit: nmol_per_microL_plasma; Annotation method: Msp20240227103228_conventional_converted_dev_1; Tag: Confirmed,False,False,82,0,0.00,1.00,0.33,0.40,0.75,1.00,2.00,2.26,27.17,20240423_Mcap_pos_48,202.18033:227151 203.18500:43612 204.18966:5242,58.06570:20555 62.06049:4086 65.58381:2074 72.17193:3198 72.18195:2466 86.09674:64298 100.11232:5144 102.09152:13718 116.85796:2348 133.08932:2336 138.77913:2644 142.15926:5890 156.47623:2706 158.97229:2486 202.14322:9693 202.16000:4843 202.17969:48029 202.21704:3778,3514695,4249532,4706539,1836780,2813502,2438102,3113771,4428227,3033916,2075129,2741575,3477303,3765443,2912303,2988873,3020000,2513862,3640946,4630074,5137071,2609908,4211228,3221765,2425863,3518954,4394721,2478369,3097776,6312895,3699714,3171486,3104887,2642547,2725009,3156391,1950425,2613140,3656558,3070149,2891210,3305713,3325586,2329421,2757432,3628814,3002301,3350233,2959623,2657828,3402510,3377311,3765093,3201923,9274203,15094426,2387602,6409881,19984100,4802385,2888762,2842421,2619074,4319432,28700199,29070133,29597537,30375123,30933753,30563810,6965148,3476578.28885866,3911133.1688748,5646662.94816493,2891937.11988526,3637196.11764395,2868333.78914634,2846986.08243542,4260083.67442413,3045736.86690409,6209539.11979596,26600814.600382,720236.601878566,1636166.26944606,7045238.85985097,95551.1611188816,509615.520308696,693051.84862726,453290.779192567,2554831.54523459,755656.716995054,4487785.42505862,8696453.22515129
162,4.722,205.10086,Tryptophan,[M+H]+,null,0.87,True,0.480,205.09715,C11H12N2O2,Others,QIVBCDIJIAJPQS-UHFFFAOYNA-N,NC(CC1=CNC2=C1C=CC=C2)C(O)=O,430,False,True,True,Normalized unit: nmol_per_microL_plasma; Annotation method: Msp20240227103228_conventional_converted_dev_1; Tag: Confirmed,False,False,162,0,0.00,1.00,0.13,1.00,0.09,16.00,0.06,0.82,45.07,20240423_Mcap_pos_PBQC7,205.10085:1743167 206.10551:566987 207.11018:1804429,91.05416:3395,2302785,21157913,3902663,13857350,1337794,17540291,0,0,28455523,3542521,0,0,0,6386771,8203282,1370170,10743939,0,11544147,12575281,7562263,0,11205465,3158765,4813285,10130420,11575493,5744020,4051514,231,24064166,9620093,20629798,3269678,12584909,21123897,27946423,0,32805174,9839901,6998307,3017066,18988688,9010953,11845896,9292310,27055823,3492633,24252715,18080170,28934242,4718084,20729769,2334669,11547180,5487194,14604774,12998943,11739210,14284860,3742347,6217645,3261900,10798251,10904058,11366773,11095190,12776622,11272287,11868076,4155643.87384529,16673721.2726361,17513944.6647805,5980530.1688296,25.698637837084,19347970.8919064,10621319.8249677,11147305.7375275,11890234.9259268,8616173.51766059,11440179.5282496,1603116.20359211,7461098.94171597,10792264.8770975,5045997.19999344,77.095913511252,9734970.50779976,4974273.43701381,7170139.43134423,7420521.39983511,6144359.16763705,685719.646922163
163,5.619,205.10086,Tryptophan,[M+H]+,null,0.77,True,0.480,205.09715,C11H12N2O2,Others,QIVBCDIJIAJPQS-UHFFFAOYNA-N,NC(CC1=CNC2=C1C=CC=C2)C(O)=O,430,False,True,True,Normalized unit: nmol_per_microL_plasma; Annotation method: Msp20240227103228_conventional_converted_dev_1; Tag: Confirmed,False,False,163,0,0.00,1.00,0.13,1.00,0.09,16.00,0.06,0.82,23.07,20240423_Mcap_pos_60,205.10092:1716670 206.10559:492077 207.11026:1268806,91.05450:4736,466423,14838115,985221,9336455,315157,10792814,5244,10644,18669916,2605508,2584,30608,5011,1330065,5021442,329687,5900896,13640,6512685,6884021,3710909,3029,6488246,2224085,2894198,5267633,8081505,3279736,836080,9568,15650425,4868434,12736678,714303,7334232,12213686,18448207,9798,22511057,5976162,2004259,774777,11588574,2124654,7379666,5933724,18156603,688349,14204592,4721044,19832097,1197361,16020116,1189293,2610441,3194174,9672475,8268374,3021946,3368098,870366,3192876,825342,4837673,4719211,5589310,5585727,6859368,5958683,6177442,1039655.65205556,10638084.6967895,11521435.7959525,1359335.09798578,10013.9864845969,12445967.2888681,6438476.93959341,6447481.72914904,7655155.20773906,2131605.18209293,5675344.8537,533179.688527882,5461112.24087258,7806554.82635767,1201865.26268127,8585.67319067228,6390202.56017055,3225986.64320192,4261573.60016625,5518210.83528302,1609526.54454608,748956.258215419
575,6.091,219.17390,RIKEN P-VS1 ID-476 from Cell_HEK293_WT_N_Ctr,[M+H]+,null,0.86,True,3.780,219.18640,null,Unknown,null,null,430,False,True,True,Normalized unit: nmol_per_microL_plasma; Annotation method: Msp20240227103228_conventional_converted_dev_1; Tag: Confirmed,False,False,575,0,0.00,0.97,0.03,0.38,0.08,10.00,0.40,0.78,32.65,20240423_Mcap_pos_42,219.17424:4301640 220.17891:717218 221.18358:136782,55.05490:9357 79.05452:19111 93.07014:18001 105.07001:20817 119.08554:65625 133.10100:29434 147.08006:11791 161.13225:19395 175.14786:9420,4628116,19354048,6371730,65126027,4779226,11099613,340853,341967,35450265,5297123,324831,716958,189884,9512553,36929242,1460283,28944209,555330,16536212,5902765,9335484,318061,20398902,8330694,12879470,10861080,27572623,20175585,26386293,445847,25276365,16083297,7872174,4094793,18623973,17871169,32389342,289539,33823776,18666957,2793461,6355295,9535241,12125283,12105458,23876248,14445193,7159781,9582617,53420037,38606045,8305377,11759908,1861102,34655916,21757289,6567759,14686456,8521962,7080538,6185890,18873708,5922538,13252436,13667220,14375574,13664209,14473151,14510511,14352467,5396561.23687419,15697872.4956557,33560349.7249776,7019610.5052431,391474.300531171,18407595.3863903,19146005.4932481,14434405.3853324,13496674.3867872,22543673.3759852,14042223.9528965,1954300.26826409,10025026.8672174,17768539.5013263,3694088.82005227,158752.280613484,10632237.717179,11094201.1132248,7691906.31769864,6068996.19499416,19234115.9704595,503264.722006844
900,1.056,227.16417,Carnosine,[M+H]+,null,1.00,True,0.409,227.11386,C9H14N4O3,Others,CQOVPNPJLQNMDC-ZETCQYMHSA-N,NCCC(=O)N[C@@H](CC1=CN=CN1)C(O)=O,430,False,True,True,Normalized unit: nmol_per_microL_plasma; Annotation method: Msp20240227103228_conventional_converted_dev_1; Tag: Confirmed,False,False,900,0,0.00,0.61,0.03,0.17,0.11,10.00,0.20,0.52,28.99,20240423_Mcap_pos_12,227.16371:1104137 228.16838:186651 229.17305:51622,69.03393:15614 81.07008:8522 93.07016:11081 109.10119:20288 125.09589:19352 151.11150:10920,8382533,10095063,9483653,6926230,7775825,7707267,9309044,14516407,8674837,8098324,9849279,11517081,11766492,9259781,8799524,9064626,7909365,10154175,9178994,9674540,8511655,11312499,10341417,7147188,9981387,10652851,10163940,10178372,12438067,11954528,11835573,10395760,10766646,8532738,10988890,8553236,10369050,11674303,11219146,10424592,11493289,10761000,9121135,10033528,8650887,10366990,11103201,9865082,9495864,9156050,10464054,12676489,12095115,12635626,13118417,7863912,11809556,13101427,14488922,11399567,7502929,8405509,9283452,9172929,8543904,8894695,9509588,9092072,9104224,7446270,9678605.24993833,9676830.73535974,9966432.2597744,9566401.44881703,11339312.0887559,9486009.73167962,9594421.64571706,10416304.284746,9811188.08870903,11540984.5179349,8823383.35391235,2002237.43443827,1462740.66390624,2243407.41250779,1201654.99470252,1522587.31336213,1567604.6729231,943067.489814528,1208839.0172027,1897763.96948023,2162226.85086484,673765.565835195
1098,1.633,230.24789,NAE 11:0,[M+H]+,null,1.00,True,4.680,230.21150,C13H27NO2,NAE,YDINIJMIEYHHHK-UHFFFAOYSA-N,O=C(NCCO)CCCCCCCCCC,410,False,True,True,Normalized unit: nmol_per_microL_plasma; Annotation method: Msp20240227103228_conventional_converted_dev_1; Tag: Confirmed,False,False,1098,0,0.00,0.78,0.47,0.61,0.75,1.00,2.00,2.22,44.63,20240423_Mcap_pos_7,230.24715:395212 231.25181:63861 232.25648:0,57.07043:6856 58.06571:41576 62.06057:3292 71.10133:11172 73.18227:2210 97.44092:4931 123.13647:2256 230.15903:3853 230.18983:8609 230.24734:76825,8964466,6997003,82016105,13491207,64603999,7060105,9722828,4321710,10149988,33608002,5247570,14990110,8283106,6980190,32666593,7729036,6693230,5482969,6497341,8007870,7894297,4413391,10215936,12421469,9160192,5877189,7393387,4505548,8850799,9466258,5137290,6383817,22531572,6177712,4998905,7330001,6272292,4346495,8390907,13588152,4752311,6330485,8562914,10400082,8478352,5331663,12400888,20612030,9095236,168361687,13111555,19122272,28942805,4984497,194292018,7421554,10381239,6477988,20065746,5380211,4601354,3782206,12186003,16057266,16530981,16448799,16883499,17491830,17187615,17637233,20939036.5173466,7083452.2509302,8778405.91714483,19284258.1229165,7363826.25683772,12850753.3418038,11779381.3895892,7646784.42428131,14568420.882568,68347789.5294464,16891031.9244892,30410280.9194644,2158433.3184946,3715751.08684944,22859598.8329795,3606771.0678753,10463785.0510471,10332348.1716833,3248437.27528951,9167370.76401141,88018257.3947049,581114.56630435
2006,8.375,251.04640,RIKEN P-VS1 ID-688 from Cell_C2C12_WT_N_4h50AA,[M+H]+,null,1.00,True,4.380,251.06870,null,Unknown,null,null,430,False,True,True,Normalized unit: nmol_per_microL_plasma; Annotation method: Msp20240227103228_conventional_converted_dev_1; Tag: Confirmed,False,False,2006,0,0.00,0.90,0.02,1.00,0.01,24.00,0.04,0.63,14.93,20240423_Mcap_pos_52,251.04619:1252771 252.05086:126262 253.05552:0,77.03893:8106,9217143,11602478,10331477,8808657,7776117,9465154,6541929,6298887,10504963,8165231,5725737,5243975,7114980,8640335,11901120,9464856,7831824,11165956,10905690,11107097,9135380,7236280,9087551,8444419,10072957,8872341,10124274,9849935,8834211,8720802,9015654,10834887,13187366,7372859,10855790,11942113,11317537,6989221,14875876,13890247,12047448,9494272,12487709,11477495,7880571,10255507,12617527,10603211,16255679,14308271,12661568,9943124,10898628,10148619,12584731,7703198,11123840,16807551,14416816,11230080,9363265,8328799,8133529,11399396,12388278,13116137,12355343,13379520,13966496,13156691,9712552.68852506,10490817.2504851,11805901.8121196,9865349.04473691,7226418.57596053,10021009.5773583,10762871.760752,12048438.1063079,9698917.12596475,11295304.8971297,12823122.9504486,1531637.44284194,1298158.88646697,3571441.56706157,1485388.02274308,1779497.27095978,1985088.5419879,1249945.94629069,2477725.93063118,2011081.07371799,2820707.06310234,841517.763438183
2393,0.982,258.20587,NAE 13:0,[M+H]+,null,0.94,True,5.780,258.24280,C15H31NO2,NAE,QIGYRHZXILJBGB-UHFFFAOYSA-N,O=C(NCCO)CCCCCCCCCCCC,410,False,True,True,Normalized unit: nmol_per_microL_plasma; Annotation method: Msp20240227103228_conventional_converted_dev_1; Tag: Confirmed,False,False,2393,0,0.00,0.77,0.86,0.71,0.75,1.00,2.00,2.33,5.65,20240423_Mcap_pos_61,258.20663:410346 259.21130:52135 260.21597:34966,50.70205:2393 51.60422:2100 58.06567:8771 58.60592:2315 58.60897:2115 72.39205:5065 72.64487:3263 96.03101:2926 106.06536:2794 113.05994:2052 114.99754:2716 173.39456:2804 180.32449:2430 187.66478:2201 209.24254:2807 258.09607:13754 258.22131:363529,4737621,3823007,4682886,2131633,4260370,3669702,4250075,4771742,4563015,2699932,3657108,4549468,4406578,4517813,4749465,4578196,3706877,4291129,5371291,5349728,4551788,5294262,5061120,3474711,4785235,5151029,3215141,3821713,5670256,5136359,4287537,4991273,4621847,4371688,4878114,3879984,4431410,4367036,5165760,4848517,3749899,4733233,4273138,4509810,4578070,4695987,5541749,4562033,4144001,4505461,4329469,4754631,3876519,5149189,4832318,4323601,4769132,3844461,4315130,2734259,5467793,4088517,4644110,3438582,3295287,3213207,3616797,3447862,3635910,3349632,4627419.6815038,4355249.14682238,3833318.96385263,4193746.725216,4524861.90014532,4258381.06902059,4408813.58567063,4866709.58108088,4418138.04153841,4783418.05224674,3428182.26721786,560905.160947533,630950.020379161,993332.371710191,724277.858354093,493646.849342983,939663.038900164,623166.674669731,424664.086333097,660968.253199492,470606.211187916,157727.263104289
2401,16.316,258.22125,NAE 13:0,[M+H]+,null,1.00,True,5.780,258.24280,C15H31NO2,NAE,QIGYRHZXILJBGB-UHFFFAOYSA-N,O=C(NCCO)CCCCCCCCCCCC,410,False,True,True,Normalized unit: nmol_per_microL_plasma; Annotation method: Msp20240227103228_conventional_converted_dev_1; Tag: Confirmed,False,False,2401,0,0.00,0.91,0.93,0.73,0.75,1.00,2.00,2.42,7.62,20240423_Mcap_pos_15,258.22134:968540 259.22601:176406 260.23068:33831,50.49065:2236 56.59284:2324 58.83437:2528 68.53434:2421 72.23403:4174 72.23763:3482 85.02865:2436 97.44082:2793 106.06535:4736 171.06177:2630 186.05844:7807 217.61240:2759 258.09296:12749 258.22101:742775,9198574,8327180,9469199,4849580,8884416,8103261,7873171,10916430,9213113,6116344,10466237,12370221,9873238,7370627,5297983,8152808,7202285,8947575,7848129,10326141,6911364,13043871,9113389,6020684,8768698,6754355,5000094,6477918,5134941,4969402,5473018,6176339,4983258,8510620,9196902,6119990,5889080,8409212,5066467,4533973,7055022,9912935,7404846,7746127,7009260,7566010,5282180,5861221,6569167,6156584,8508243,6636071,8288084,6278011,4769358,5253157,4110695,9349923,7407920,6247196,9300109,7398965,7122842,11533274,11788703,7191054,7558492,9121956,7993883,6949879,8361599.07283126,7359220.22227345,6909069.44531904,7377065.97253438,9652150.92640874,6535651.02799314,7096647.91831686,6495271.51783219,6735487.78015841,6750763.4189003,8876748.77020044,1225961.22250256,2145179.382695,1812383.29289298,1147564.30019594,2458045.91275865,1445135.18220079,1730136.84384493,1181336.3161866,1663964.07306952,1868663.91076256,2027657.70153221
2959,2.047,269.19382,Michler`s ketone (also known as chemical regent),[M+H]+,null,0.89,True,3.808,269.16483,C17H20N2O,Others,VVBLNCFGVYUYGU-UHFFFAOYSA-N,CN(C)C1=CC=C(C=C1)C(C2=CC=C(C=C2)N(C)C)=O,430,False,True,True,Normalized unit: nmol_per_microL_plasma; Annotation method: Msp20240227103228_conventional_converted_dev_1; Tag: Confirmed,False,False,2959,0,0.00,0.68,0.01,0.39,0.07,14.00,0.14,0.55,8.30,20240423_Mcap_pos_20,269.20865:455582 270.21332:63564 271.21798:37660,55.05492:3089 56.48467:2406 57.07039:4093 57.68762:2153 61.04010:5560 66.07482:2314 69.07028:6986 69.18821:2248 70.97741:14180 71.08577:3416 73.04002:18810 81.07014:3444 83.08563:5936 84.08103:7410 95.08559:3180 97.10114:4401 103.26136:2611 129.85904:2695 135.11609:2398 177.00742:2630 191.02359:5626 210.22047:2762 213.67441:2602 251.19824:2517 269.08139:6368 269.20834:67696 269.25732:45292 269.72632:2259,3974109,19283585,5638901,15541394,3576765,9327025,18965,18473,23416069,2856855,2450174,1675772,5180268,4605477,22079484,2151139,12106730,16268,11831194,5941321,15875439,10035,9980896,5331528,7373028,8507609,26511110,6840932,4189571,42191,14040453,8350121,22667334,5020709,20903485,13777103,30603959,19754,18133921,21374533,6474106,6377700,11382394,15707811,9357031,11273356,16346394,7230416,16632122,21911925,26308410,8014286,27730773,3281161,14384556,11182745,4709689,4009084,18527888,13478363,13096398,7763505,7531352,10376426,10563202,11130708,11325604,12015878,12181396,11687030,7036418.02187182,12938180.5363499,13823411.8478392,7791661.89817106,1047988.94705549,13298984.0862034,17354156.6660964,12123747.970573,14233480.9473249,12153832.1681575,11325749.0019735,3267710.26725506,10087870.947661,8067591.76581064,5568691.34146071,1794625.78904551,6884730.15938761,7158878.91866898,6310987.24480209,8862602.38895259,7197021.40030473,690370.406707541
3017,0.980,270.20581,NAE 14:1,[M+H]+,null,0.89,True,5.560,270.24280,C16H31NO2,NAE,MCFXKJXQXMJHJS-UHFFFAOYSA-N,O=C(NCCO)CCCCCCCC=CCCCC,410,False,True,True,Normalized unit: nmol_per_microL_plasma; Annotation method: Msp20240227103228_conventional_converted_dev_1; Tag: Confirmed,False,False,3017,0,0.00,0.76,0.33,0.50,0.75,1.00,2.00,2.17,6.04,20240423_Mcap_pos_26,270.20605:348509 271.21072:88901 272.21539:322802,58.06572:86447 71.52539:4640 71.52908:6260 72.08115:2787 72.49422:2247 81.06976:3013 86.09679:17600 252.19615:4445 270.07895:2461 270.18604:5033 270.20587:36400 270.24155:44233 270.26736:3104 270.31454:5235,3152811,2705606,3111316,1469934,2967442,2184053,2928340,3271500,2757376,2208869,1933168,2929999,2750778,2958775,2974455,2740246,2113488,2973816,3276275,3195197,2687998,3368945,3275489,2030733,3162714,3490231,2487283,2747573,3344513,3297249,2391318,2970741,2614471,2814138,3097160,2602400,2487524,2678258,3017688,2682586,2760228,2824766,2397888,2708809,2872778,3174786,2894648,2653706,2520804,2639741,2811680,2872400,2581222,3270823,3754554,2647412,3363804,3171787,2931589,2009923,3464228,2584915,3012265,3150720,2965638,2928473,3003327,3197276,3219481,2798580,3029186.85705131,2753516.47151726,2555358.31649901,2673150.12464796,2903561.47046251,2621231.39191649,2801249.81070131,2982669.25610939,2773259.54641425,3084571.29223674,3037642.12717178,266253.845684738,445711.909002127,643393.678065862,350488.623464877,437173.713296413,275617.758658184,323209.219709151,319267.366879434,528309.961340412,402604.250173564,156399.839578134
