Sample,Total Protein ug
L55,12.87
L56,22.32
L57,9.83
L58,24.51
L59,7.74
L60,32.06
L61,22.22
L62,19.27
L63,14.44
L64,26.53
L65,18.07
L66,10.11
L67,10.78
L68,21.67
L69,39.73
L70,19.48
L71,11.03
L72,21.93
L73,19.71
L74,13.90
L75,19.75
L76,11.17
L77,19.45
L78,9.66
L79,8.24
L80,20.08
L81,25.42
L82,17.66
L83,12.13
L84,7.62
L85,9.44
L86,11.12
L87,10.12
L88,7.46
L89,13.31
L90,11.11
L91,33.46
L92,9.92
L93,26.95
L94,16.69
L95,20.95
L96,28.44
L97,20.38
L98,27.68
L99,5.16
L100,14.03
L101,12.94
L102,23.40
L103,20.16
L104,23.11
L105,10.14
L106,12.89
L107,1.62
L108,8.58
