Date,Run,Plate,SDR,Temperature,Light_Level,Light_Value,TimeStart,TimeStop,TimeInterval,IntervalStart,IntervalStop,Notes
20230624,1,1,641,27,1,100,10:11,10:31,00:20,6,24,"Started at 500, then reduced to 100 to do step profile; may need to rerun if values look funny at 27"
20230624,1,1,641,27,2,500,10:33,10:51,00:18,26,42,
20230624,1,1,641,27,3,0,10:53,11:08,00:15,46,63,
20230624,1,2,710,27,1,100,10:11,10:31,00:20,6,24,"remove, sensor error"
20230624,1,2,710,27,2,500,10:33,10:51,00:18,26,42,"remove, sensor error"
20230624,1,2,710,27,3,0,10:53,11:08,00:15,46,63,"remove, sensor error"
20230624,2,3,641,33,1,100,12:12,12:37,00:25,2,22,
20230624,2,3,641,33,2,500,12:39,13:01,00:22,25,44,
20230624,2,3,641,33,3,0,13:03,13:17,00:14,46,65,
20230624,2,4,710,33,1,100,12:12,12:37,00:25,2,22,
20230624,2,4,710,33,2,500,12:39,13:01,00:22,25,44,
20230624,2,4,710,33,3,0,13:03,13:17,00:14,46,65,
20230624,3,5,641,30,1,100,14:39,15:00,00:21,2,21,
20230624,3,5,641,30,2,500,15:02,15:23,00:21,23,41,shortened interval to trim data
20230624,3,5,641,30,3,0,15:25,15:41,00:16,44,62,
20230624,3,6,710,30,1,100,14:39,15:00,00:21,2,21,
20230624,3,6,710,30,2,500,15:02,15:23,00:21,23,42,shortened interval to trim data
20230624,3,6,710,30,3,0,15:25,15:41,00:16,44,62,
20230624,4,7,641,27,1,100,17:01,17:22,00:21,2,18,shortened interval to trim data
20230624,4,7,641,27,2,500,17:24,17:44,00:20,21,40,shortened interval to trim data
20230624,4,7,641,27,3,0,17:48,18:00,00:12,43,59,
20230624,4,8,710,27,1,100,17:01,17:22,00:21,2,18,shortened interval to trim data
20230624,4,8,710,27,2,500,17:24,17:44,00:20,21,40,shortened interval to trim data
20230624,4,8,710,27,3,0,17:48,18:00,00:12,43,59,
