Measurement Name :,20230624_SDR710_Run04_Plate08_PR,,Generated On :,"24/06/2023, 18:00:41",,,Calibration details for Oxygen,,,Report :,"@m02:IDENTIFICATION
Serial number     : SEBX0007000710      
MUX channel       : ON - 02

PARAMETERS
Sig LED current   : 040
Ref LED current   : 075
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m02:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"24/06/2023, 17:00:18",,,,,,Batch No.:  ,PSt5-1624-01_25°C,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"24/06/2023, 18:00:02",,,,,,O2_cal0 [°],54.76,,Adjustment at ,100, % air saturation,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [°],47.47,,Adjustment at ,27, °C,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-710,,,,,,O2_T0 [°C],24.8,,Adjustment at ,965, mbar,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [°C],24.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],965,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPA Phase values  ,,46.06,46.2,45.86,45.82,46.21,46.38,46.27,45.98,46.49,46.22,46.23,46.14,46.13,46.32,46.37,46.44,46.31,46.88,46.36,46.53,45.99,46.82,46.38,46.41,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
24.06.23 17:00:20,0.03,184.97,177.76,182.51,181.5,185.65,190.82,186.15,183.17,197.36,194.78,193.66,191.74,186.81,192.81,191.67,187.69,181.97,189.13,193.93,185.93,193.42,179.55,184.38,204.81,,27,965,33,26.25,
24.06.23 17:00:35,0.28,179.32,184.02,187.54,184.39,191.72,199.62,190.31,181.57,189.08,187.29,196.18,199.78,193.4,191.69,190.83,189.1,188.62,191.8,187.19,196.51,189.62,178.97,193.36,203.08,,27,965,33,26.13,
24.06.23 17:00:50,0.53,176.12,182.65,181.71,180.97,187.3,199.9,187.81,182.1,191.64,184.82,191.99,195.33,187.9,184.72,193.37,185.44,176.76,189.43,193.08,187.91,192.87,174.07,187.74,197.91,,27,965,33,26.06,
24.06.23 17:01:05,0.78,183.89,190.62,191.82,192.1,193.94,193.08,192.54,185.31,194.21,199.26,197.3,199.5,193.95,195.91,198.47,195.92,182.25,193.88,200.18,189.62,199.44,173.21,188.58,197.63,,27,965,33,26.03,
24.06.23 17:01:20,1.03,184.7,190.34,191.02,183.6,195.62,198.47,190.59,183.44,195.64,184.82,191.99,197.83,199.78,208.17,194.21,187.69,182.8,196.87,196.76,189.34,190.97,178.1,188.86,201.06,,27,965,33,25.99,
24.06.23 17:01:35,1.28,182.28,185.66,186.74,185.45,184.28,191.39,195.06,184.78,187.09,182.63,191.99,195.33,198.39,199.87,198.47,189.1,182.52,194.18,189.43,189.34,194.23,176.66,191.95,195.63,,27,965,33,25.99,
