Measurement Name :,20230624_SDR710_Run02_Plate04_PR,,Generated On :,"24/06/2023, 13:20:48",,,Calibration details for Oxygen,,,Report :,"@m02:IDENTIFICATION
Serial number     : SEBX0007000710      
MUX channel       : ON - 02

PARAMETERS
Sig LED current   : 040
Ref LED current   : 075
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m02:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"24/06/2023, 12:12:54",,,,,,Batch No.:  ,PSt5-1624-01_25°C,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"24/06/2023, 13:17:13",,,,,,O2_cal0 [°],54.76,,Adjustment at ,100, % air saturation,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [°],47.47,,Adjustment at ,33, °C,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-710,,,,,,O2_T0 [°C],24.8,,Adjustment at ,965, mbar,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [°C],24.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],965,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPA Phase values  ,,46.02,45.88,45.71,45.72,46,45.92,45.98,46.03,46.2,45.85,46.05,45.98,45.93,46.05,46.09,46.26,46.12,46.62,46.15,46.19,45.76,46.52,46.01,46.14,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
24.06.23 12:12:56,0.03,168.65,170.22,171.49,171.74,163.3,173.28,176.92,170.45,166.77,164.67,180.64,167.9,175.86,179.32,185.99,173.08,163.71,178.98,178.08,175.18,175.78,168.22,179.29,190.38,,33,965,33,31.46,
24.06.23 12:15:11,2.28,189.08,191.73,185.44,194.02,184.27,195.27,186.09,203.71,182.12,188.78,189.13,189.27,199.59,178.53,186.53,169.64,193.59,198.87,188.78,197.33,189.92,187.53,197.39,199.11,,33,965,33,30.28,
24.06.23 12:15:26,2.53,195.52,189.36,183.39,190.11,190.91,167.16,184.25,189.36,182.39,198.03,180.9,197.31,192.9,186.2,197.06,181.38,190.61,198.87,187.97,197.05,184.74,181.11,181.91,228.15,,33,965,33,30.31,
24.06.23 12:15:41,2.78,202.03,185.16,185.44,195.85,173.04,191.28,182.14,184.31,197.9,200.17,190.21,188.48,203.65,189.94,183.33,186.8,195.5,194.26,192.03,201.19,192.01,184.45,178.76,223.25,,33,965,33,30.31,
24.06.23 12:15:56,3.03,188.01,187.78,190.87,195.07,185.59,188.9,178.48,203.71,191.32,193.78,189.94,195.96,200.13,199.67,193.79,188.16,201.8,201.18,194.75,206.48,203.91,185.57,183.76,196.92,,33,965,33,30.34,
24.06.23 12:16:11,3.28,197.68,186.21,190.87,197.69,183.48,195.01,187.15,190.97,199.56,188.52,188.6,194.88,200.4,186.73,196.51,185.44,197.41,205.54,196.39,212.96,199.12,182.22,191.2,191.47,,33,965,33,30.35,
24.06.23 12:16:26,3.53,194.17,187.25,187.51,192.45,185.33,194.47,186.62,201.25,185.89,189.04,200.49,187.42,209.38,197.22,196.78,180.57,194.41,194.26,193.94,210.13,202.84,193.44,179.55,219.25,,33,965,33,30.38,
24.06.23 12:16:41,3.78,195.25,184.38,200.04,207.26,177.71,178.18,187.68,203.43,200.12,194.58,197.76,195.69,203.65,203.23,181.73,179.23,204.01,198,194.75,206.76,202.31,181.39,182.7,199.66,,33,965,33,30.41,
24.06.23 12:16:56,4.03,200.94,188.57,191.65,193.5,182.43,197.68,183.98,206.73,194.33,185.38,202.95,194.08,214.34,186.2,201.16,184.08,208.18,200.89,190.94,210.13,206.06,188.65,187.46,193.91,,33,965,33,30.42,
24.06.23 12:17:11,4.28,203.4,190.41,197.41,196.9,197.36,191.81,183.72,198.8,205.68,193.78,189.94,188.48,202.3,187.53,188.94,176.01,194.41,204.38,194.48,205.09,212.54,199.42,176.68,209.09,,33,965,33,30.42,
24.06.23 12:17:26,4.53,208.07,190.41,185.7,205.65,185.59,191.55,189.54,199.88,203.73,196.17,200.49,203.27,201.21,199.12,198.97,177.89,210.41,199.16,196.67,207.89,203.38,188.09,192,191.2,,33,965,33,30.46,
24.06.23 12:17:41,4.78,197.14,197.85,193.21,203.25,181.11,203.89,183.19,203.43,199.84,203.39,209.57,196.5,202.03,187,191.09,200.02,204.01,199.73,193.12,203.97,203.91,196.85,179.81,206.3,,33,965,33,30.48,
24.06.23 12:17:56,5.03,200.94,186.73,187.25,190.63,168.91,195.01,185.3,205.63,195.98,189.3,194.78,195.15,187.07,186.2,201.16,173.35,188.99,204.09,193.12,194.03,189.4,190.9,172.52,208.53,,33,965,33,30.49,
24.06.23 12:18:11,5.28,201.22,192.26,191.39,199.28,191.98,177.92,178.48,202.61,206.24,206.37,201.31,191.94,199.59,202.68,192.17,179.77,195.77,196.56,190.94,206.21,206.86,180.01,186.14,215.28,,33,965,33,30.5,
24.06.23 12:18:26,5.53,201.22,195.98,192.43,201.13,189.04,198.49,187.68,195.54,197.35,204.2,197.49,201.91,210.21,192.35,196.78,185.17,195.77,194.55,200.52,207.04,201.78,202.57,185.08,208.53,,33,965,33,30.53,
24.06.23 12:18:41,5.78,194.17,196.51,199.25,202.99,197.09,196.61,195.69,198.25,200.67,199.9,189.4,185.83,202.3,193.97,183.33,179.23,196.59,199.73,193.94,219.22,201.78,197.13,181.39,204.63,,33,965,33,30.56,
24.06.23 12:18:56,6.03,196.87,187.52,188.02,192.45,187.98,193.67,185.3,191.51,203.45,210.17,197.76,207.37,209.11,193.97,209.17,180.03,205.4,202.63,187.97,207.32,212.81,188.93,178.5,226.41,,33,965,33,30.56,
24.06.23 12:19:11,6.28,203.13,198.38,188.54,196.9,192.52,191.02,184.77,200.43,207.36,226.78,191.55,193.27,201.21,195.59,193.25,183.54,207.06,202.63,198.59,203.97,213.35,190.34,184.29,220.39,,33,965,33,30.6,
24.06.23 12:19:26,6.53,206.97,196.51,192.43,200.6,178.76,179.99,186.89,213.94,189.14,198.03,192.09,191.67,207.74,195.32,194.88,182.46,201.53,207.88,191.76,199.53,217.72,192.31,186.67,204.36,,33,965,33,30.61,
24.06.23 12:19:41,6.78,200.4,195.98,197.41,198.48,195.74,197.68,194.08,208.94,203.45,199.64,196.14,220.15,208.01,194.51,191.63,172.55,207.62,200.89,193.66,203.69,215.26,204.01,197.11,226.12,,33,965,33,30.63,
24.06.23 12:19:56,7.03,202.85,187.25,195.57,190.11,189.31,194.74,189.01,197.71,204.01,207.99,188.33,191.14,203.92,190.47,186.79,176.55,202.63,203.79,195.03,203.69,224.07,189.77,174.33,207.97,,33,965,33,30.66,
24.06.23 12:20:11,7.28,199.04,183.59,194,196.9,184.27,185.48,180.31,205.91,209.05,212.08,189.67,192.2,198.79,179.32,190.82,184.08,194.41,198,192.85,209.01,216.63,192.31,184.81,220.68,,33,965,33,30.69,
