Accession	Sample Name	SPUID	Organism	Tax ID	BioProject
SAMN40082635	R55	R55	coral metagenome	496922	PRJNA1078313
SAMN40082636	R56	R56	coral metagenome	496922	PRJNA1078313
SAMN40082637	R57	R57	coral metagenome	496922	PRJNA1078313
SAMN40082638	R58	R58	coral metagenome	496922	PRJNA1078313
SAMN40082639	R59	R59	coral metagenome	496922	PRJNA1078313
SAMN40082640	R60	R60	coral metagenome	496922	PRJNA1078313
SAMN40082641	R61	R61	coral metagenome	496922	PRJNA1078313
SAMN40082642	R62	R62	coral metagenome	496922	PRJNA1078313
SAMN40082643	R63	R63	coral metagenome	496922	PRJNA1078313
SAMN40082644	R64	R64	coral metagenome	496922	PRJNA1078313
SAMN40082645	R65	R65	coral metagenome	496922	PRJNA1078313
SAMN40082646	R66	R66	coral metagenome	496922	PRJNA1078313
SAMN40082647	R67	R67	coral metagenome	496922	PRJNA1078313
SAMN40082648	R68	R68	coral metagenome	496922	PRJNA1078313
SAMN40082649	R69	R69	coral metagenome	496922	PRJNA1078313
SAMN40082650	R70	R70	coral metagenome	496922	PRJNA1078313
SAMN40082651	R71	R71	coral metagenome	496922	PRJNA1078313
SAMN40082652	R72	R72	coral metagenome	496922	PRJNA1078313
SAMN40082653	R73	R73	coral metagenome	496922	PRJNA1078313
SAMN40082654	R74	R74	coral metagenome	496922	PRJNA1078313
SAMN40082655	R75	R75	coral metagenome	496922	PRJNA1078313
SAMN40082656	R76	R76	coral metagenome	496922	PRJNA1078313
SAMN40082657	R77	R77	coral metagenome	496922	PRJNA1078313
SAMN40082658	R78	R78	coral metagenome	496922	PRJNA1078313
SAMN40082659	R79	R79	coral metagenome	496922	PRJNA1078313
SAMN40082660	R80	R80	coral metagenome	496922	PRJNA1078313
SAMN40082661	R81	R81	coral metagenome	496922	PRJNA1078313
SAMN40082662	R82	R82	coral metagenome	496922	PRJNA1078313
SAMN40082663	R83	R83	coral metagenome	496922	PRJNA1078313
SAMN40082664	R84	R84	coral metagenome	496922	PRJNA1078313
SAMN40082665	R85	R85	coral metagenome	496922	PRJNA1078313
SAMN40082666	R86	R86	coral metagenome	496922	PRJNA1078313
SAMN40082667	R87	R87	coral metagenome	496922	PRJNA1078313
SAMN40082668	R88	R88	coral metagenome	496922	PRJNA1078313
SAMN40082669	R89	R89	coral metagenome	496922	PRJNA1078313
SAMN40082670	R90	R90	coral metagenome	496922	PRJNA1078313
SAMN40082671	R91	R91	coral metagenome	496922	PRJNA1078313
SAMN40082672	R92	R92	coral metagenome	496922	PRJNA1078313
SAMN40082673	R93	R93	coral metagenome	496922	PRJNA1078313
SAMN40082674	R94	R94	coral metagenome	496922	PRJNA1078313
SAMN40082675	R95	R95	coral metagenome	496922	PRJNA1078313
SAMN40082676	R96	R96	coral metagenome	496922	PRJNA1078313
SAMN40082677	R97	R97	coral metagenome	496922	PRJNA1078313
SAMN40082678	R98	R98	coral metagenome	496922	PRJNA1078313
SAMN40082679	R99	R99	coral metagenome	496922	PRJNA1078313
SAMN40082680	R100	R100	coral metagenome	496922	PRJNA1078313
SAMN40082681	R101	R101	coral metagenome	496922	PRJNA1078313
SAMN40082682	R102	R102	coral metagenome	496922	PRJNA1078313
SAMN40082683	R103	R103	coral metagenome	496922	PRJNA1078313
SAMN40082684	R104	R104	coral metagenome	496922	PRJNA1078313
SAMN40082685	R105	R105	coral metagenome	496922	PRJNA1078313
SAMN40082686	R106	R106	coral metagenome	496922	PRJNA1078313
SAMN40082687	R107	R107	coral metagenome	496922	PRJNA1078313
SAMN40082688	R108	R108	coral metagenome	496922	PRJNA1078313
