sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	assembly	fasta_file
R55	R55	27C_BleachedCladocopium_20230627_R55	RNA-Seq	TRANSCRIPTOMIC	RANDOM PCR	paired	ILLUMINA	Illumina HiSeq X	Standard mRNA-seq from libraries prepared using Zymo Quick MiniPrep Plus DNA/RNA extraction kit at the Putnam Lab (University of Rhode Island) with sequencing at Azenta Life Sciences	fastq	R55_R1_001.fastq.gz	R55_R2_001.fastq.gz				
R56	R56	27C_BleachedCladocopium_20230627_R56	RNA-Seq	TRANSCRIPTOMIC	RANDOM PCR	paired	ILLUMINA	Illumina HiSeq X	Standard mRNA-seq from libraries prepared using Zymo Quick MiniPrep Plus DNA/RNA extraction kit at the Putnam Lab (University of Rhode Island) with sequencing at Azenta Life Sciences	fastq	R56_R1_001.fastq.gz	R56_R2_001.fastq.gz				
R57	R57	27C_BleachedCladocopium_20230627_R57	RNA-Seq	TRANSCRIPTOMIC	RANDOM PCR	paired	ILLUMINA	Illumina HiSeq X	Standard mRNA-seq from libraries prepared using Zymo Quick MiniPrep Plus DNA/RNA extraction kit at the Putnam Lab (University of Rhode Island) with sequencing at Azenta Life Sciences	fastq	R57_R1_001.fastq.gz	R57_R2_001.fastq.gz				
R58	R58	27C_BleachedCladocopium_20230627_R58	RNA-Seq	TRANSCRIPTOMIC	RANDOM PCR	paired	ILLUMINA	Illumina HiSeq X	Standard mRNA-seq from libraries prepared using Zymo Quick MiniPrep Plus DNA/RNA extraction kit at the Putnam Lab (University of Rhode Island) with sequencing at Azenta Life Sciences	fastq	R58_R1_001.fastq.gz	R58_R2_001.fastq.gz				
R59	R59	27C_BleachedCladocopium_20230627_R59	RNA-Seq	TRANSCRIPTOMIC	RANDOM PCR	paired	ILLUMINA	Illumina HiSeq X	Standard mRNA-seq from libraries prepared using Zymo Quick MiniPrep Plus DNA/RNA extraction kit at the Putnam Lab (University of Rhode Island) with sequencing at Azenta Life Sciences	fastq	R59_R1_001.fastq.gz	R59_R2_001.fastq.gz				
R60	R60	27C_BleachedCladocopium_20230627_R60	RNA-Seq	TRANSCRIPTOMIC	RANDOM PCR	paired	ILLUMINA	Illumina HiSeq X	Standard mRNA-seq from libraries prepared using Zymo Quick MiniPrep Plus DNA/RNA extraction kit at the Putnam Lab (University of Rhode Island) with sequencing at Azenta Life Sciences	fastq	R60_R1_001.fastq.gz	R60_R2_001.fastq.gz				
R61	R61	27C_NonBleachedMixed_20230627_R61	RNA-Seq	TRANSCRIPTOMIC	RANDOM PCR	paired	ILLUMINA	Illumina HiSeq X	Standard mRNA-seq from libraries prepared using Zymo Quick MiniPrep Plus DNA/RNA extraction kit at the Putnam Lab (University of Rhode Island) with sequencing at Azenta Life Sciences	fastq	R61_R1_001.fastq.gz	R61_R2_001.fastq.gz				
R62	R62	27C_NonBleachedMixed_20230627_R62	RNA-Seq	TRANSCRIPTOMIC	RANDOM PCR	paired	ILLUMINA	Illumina HiSeq X	Standard mRNA-seq from libraries prepared using Zymo Quick MiniPrep Plus DNA/RNA extraction kit at the Putnam Lab (University of Rhode Island) with sequencing at Azenta Life Sciences	fastq	R62_R1_001.fastq.gz	R62_R2_001.fastq.gz				
R63	R63	27C_NonBleachedMixed_20230627_R63	RNA-Seq	TRANSCRIPTOMIC	RANDOM PCR	paired	ILLUMINA	Illumina HiSeq X	Standard mRNA-seq from libraries prepared using Zymo Quick MiniPrep Plus DNA/RNA extraction kit at the Putnam Lab (University of Rhode Island) with sequencing at Azenta Life Sciences	fastq	R63_R1_001.fastq.gz	R63_R2_001.fastq.gz				
R64	R64	27C_NonBleachedMixed_20230627_R64	RNA-Seq	TRANSCRIPTOMIC	RANDOM PCR	paired	ILLUMINA	Illumina HiSeq X	Standard mRNA-seq from libraries prepared using Zymo Quick MiniPrep Plus DNA/RNA extraction kit at the Putnam Lab (University of Rhode Island) with sequencing at Azenta Life Sciences	fastq	R64_R1_001.fastq.gz	R64_R2_001.fastq.gz				
R65	R65	27C_NonBleachedMixed_20230627_R65	RNA-Seq	TRANSCRIPTOMIC	RANDOM PCR	paired	ILLUMINA	Illumina HiSeq X	Standard mRNA-seq from libraries prepared using Zymo Quick MiniPrep Plus DNA/RNA extraction kit at the Putnam Lab (University of Rhode Island) with sequencing at Azenta Life Sciences	fastq	R65_R1_001.fastq.gz	R65_R2_001.fastq.gz				
R66	R66	27C_NonBleachedMixed_20230627_R66	RNA-Seq	TRANSCRIPTOMIC	RANDOM PCR	paired	ILLUMINA	Illumina HiSeq X	Standard mRNA-seq from libraries prepared using Zymo Quick MiniPrep Plus DNA/RNA extraction kit at the Putnam Lab (University of Rhode Island) with sequencing at Azenta Life Sciences	fastq	R66_R1_001.fastq.gz	R66_R2_001.fastq.gz				
R67	R67	27C_Wildtype_20230627_R67	RNA-Seq	TRANSCRIPTOMIC	RANDOM PCR	paired	ILLUMINA	Illumina HiSeq X	Standard mRNA-seq from libraries prepared using Zymo Quick MiniPrep Plus DNA/RNA extraction kit at the Putnam Lab (University of Rhode Island) with sequencing at Azenta Life Sciences	fastq	R67_R1_001.fastq.gz	R67_R2_001.fastq.gz				
R68	R68	27C_Wildtype_20230627_R68	RNA-Seq	TRANSCRIPTOMIC	RANDOM PCR	paired	ILLUMINA	Illumina HiSeq X	Standard mRNA-seq from libraries prepared using Zymo Quick MiniPrep Plus DNA/RNA extraction kit at the Putnam Lab (University of Rhode Island) with sequencing at Azenta Life Sciences	fastq	R68_R1_001.fastq.gz	R68_R2_001.fastq.gz				
