Measurement Name :,20230626_SDR641_Run05_Plate09_PR,,Generated On :,"26/06/2023, 11:02:40",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000641      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 045
Ref LED current   : 095
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"26/06/2023, 09:24:19",,,,,,Batch No.:  ,PSt5-1624-01_25°C,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"26/06/2023, 11:02:24",,,,,,O2_cal0 [°],54.76,,Adjustment at ,100, % air saturation,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [°],47.47,,Adjustment at ,30, °C,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-641,,,,,,O2_T0 [°C],24.8,,Adjustment at ,965, mbar,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [°C],24.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],965,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPA Phase values  ,,45.89,45.81,45.68,45.65,45.84,45.75,45.66,45.41,46,45.87,45.64,45.56,45.86,45.76,45.74,45.6,45.76,45.94,45.73,46.08,45.74,45.81,45.58,45.48,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
26.06.23 09:24:21,0.03,175.98,179.13,181.24,178.94,183.03,172.5,179.96,180.03,178.79,178.33,179.71,178.98,177.29,173.25,177.36,184.58,178.38,171.26,184.85,179.82,175.31,178.87,179.98,177.25,,30,965,33,27.74,
26.06.23 09:24:36,0.28,176.76,180.17,183.04,179.45,184.08,173.77,181.75,180.53,179.85,178.33,181.24,180.24,178.33,175.04,179.93,185.35,180.19,172.82,186.68,181.69,178.13,178.87,182.53,179.01,,30,965,33,27.54,
26.06.23 09:24:51,0.53,177.28,181.73,185.11,180.47,185.92,175.05,183.55,182.04,181.7,179.63,181.24,182.02,179.63,175.3,180.71,186.38,180.19,174.64,187.46,183.56,178.9,181.73,184.83,179.76,,30,965,33,27.44,
26.06.23 09:25:06,0.78,179.1,182.77,185.88,181.75,187.24,176.59,184.07,182.04,183.83,181.98,183.04,183.81,179.63,176.58,182.26,188.18,183.3,174.9,189.29,184.91,182.78,183.82,184.83,180.27,,30,965,33,27.4,
26.06.23 09:25:21,1.03,180.41,184.87,187.18,182.78,188.56,177.61,185.36,183.04,186.23,181.2,183.55,184.83,182.25,176.58,182.26,190,186.16,175.42,190.08,185.71,184.59,183.82,189.21,181.27,,30,965,33,27.4,
26.06.23 09:25:36,1.28,182.77,185.13,188.22,184.58,189.35,177.61,185.36,182.79,184.89,181.72,183.04,187.39,181.99,177.61,182.52,190.51,186.42,176.72,191.39,185.71,185.38,183.04,189.98,181.53,,30,965,33,27.4,
26.06.23 09:25:51,1.53,184.88,185.65,188.48,185.1,190.41,178.64,186.14,183.55,184.89,183.03,183.81,184.06,181.2,179.15,183.82,192.07,186.95,177.51,191.65,185.98,184.86,184.34,188.43,183.3,,30,965,33,27.4,
26.06.23 09:26:06,1.78,184.88,186.96,189.52,184.58,190.94,178.38,186.4,183.55,185.43,183.03,186.39,185.34,182.77,180.44,184.59,191.29,187.73,178.82,192.18,187.6,185.38,185.65,188.69,183.8,,30,965,33,27.41,
26.06.23 09:26:21,2.03,185.93,186.96,190.31,185.1,192.27,179.41,186.91,184.56,187.84,184.35,184.58,186.37,180.94,180.7,185.9,191.55,187.47,179.34,193.24,188.14,186.68,185.13,188.43,183.04,,30,965,33,27.41,
26.06.23 09:26:36,2.28,185.93,186.7,190.05,186.65,192.01,180.71,187.43,185.31,188.37,184.87,184.58,185.85,181.46,181.74,185.9,192.33,188.26,181.18,193.24,187.33,185.12,185.65,185.86,183.8,,30,965,33,27.43,
26.06.23 09:26:51,2.53,186.73,187.75,191.09,187.17,193.07,180.45,187.17,185.31,189.72,186.46,184.84,186.88,183.03,182.26,186.68,191.55,189.04,181.71,194.56,187.87,185.12,186.96,187.4,182.03,,30,965,33,27.43,
26.06.23 09:27:06,2.78,187.26,186.7,191.09,186.91,193.61,180.71,187.17,185.31,190.79,184.35,185.61,191.78,183.56,179.67,185.38,191.81,188.78,184.35,193.24,188.14,186.42,186.44,188.43,182.03,,30,965,33,27.46,
26.06.23 09:27:21,3.03,187.79,187.23,191.88,186.13,192.81,181.74,187.95,186.83,190.79,184.08,187.17,189.46,182.51,181.48,186.94,190.51,189.57,185.42,194.03,188.95,187.46,186.18,186.37,182.28,,30,965,33,27.47,
26.06.23 09:27:36,3.28,186.73,188.02,190.83,186.13,194.14,180.45,187.95,186.33,190.25,183.03,186.13,189.2,180.68,180.7,186.42,189.74,188.52,183.83,194.03,188.95,185.64,185.91,183.04,181.53,,30,965,33,27.47,
26.06.23 09:27:51,3.53,186.99,187.75,191.35,185.62,193.34,182.26,188.47,187.09,190.79,185.67,186.13,189.46,181.46,180.96,186.16,189.74,188.52,183.3,195.35,188.68,182.78,186.7,183.3,181.53,,30,965,33,27.5,
26.06.23 09:28:06,3.78,187.26,188.02,191.35,185.87,193.34,182.78,188.47,186.83,191.87,185.93,185.61,188.42,181.2,182,187.46,189.22,190.62,182.24,195.35,187.87,182.78,185.65,183.55,180.52,,30,965,33,27.5,
26.06.23 09:28:21,4.03,187.52,187.75,192.14,187.69,194.67,183.3,188.47,186.58,190.79,186.19,184.33,188.42,181.46,182.26,187.99,190,190.89,180.66,194.82,187.87,184.33,186.7,185.86,181.78,,30,965,33,27.51,
26.06.23 09:28:36,4.28,187.26,188.28,192.66,186.65,195.48,183.3,189.25,186.58,192.95,185.4,185.1,189.46,179.63,180.96,187.2,191.55,192.21,180.13,195.88,189.23,183.3,186.44,183.3,180.01,,30,965,33,27.53,
26.06.23 09:28:51,4.53,185.93,188.81,191.88,186.39,196.28,182.26,189.77,185.82,192.95,185.67,186.65,188.42,181.46,181.48,187.72,190.77,189.83,178.03,195.35,187.6,184.59,186.7,184.83,180.52,,30,965,33,27.54,
26.06.23 09:29:06,4.78,184.88,189.6,192.93,187.95,195.48,183.82,191.08,186.33,193.22,185.4,184.84,189.2,183.3,181.22,188.77,190,187.21,177.51,195.09,187.6,183.82,186.44,183.81,179.51,,30,965,33,27.54,
26.06.23 09:29:21,5.03,184.61,188.81,192.93,188.21,195.74,182.78,191.08,187.59,193.5,186.19,183.55,191.78,183.3,180.96,188.51,188.7,186.95,178.56,195.88,187.6,182.78,186.7,182.02,180.27,,30,965,33,27.54,
26.06.23 09:29:36,5.28,184.88,189.34,193.45,186.65,196.01,183.82,191.6,185.82,192.14,185.4,185.36,188.94,183.3,182.52,188.51,188.44,187.47,176.72,196.68,187.33,183.3,186.44,183.81,180.27,,30,965,33,27.57,
26.06.23 09:29:51,5.53,184.61,189.34,193.98,187.95,197.62,184.08,191.08,185.31,192.41,186.19,184.84,188.17,182.77,180.44,189.03,186.38,188.78,176.2,196.68,185.71,184.59,187.23,185.09,180.27,,30,965,33,27.57,
26.06.23 09:30:06,5.78,185.41,190.66,192.66,186.91,196.55,183.56,192.12,185.57,193.77,185.93,183.81,189.97,182.25,179.67,188.77,190,189.04,178.82,196.94,186.25,183.3,185.91,185.34,179.26,,30,965,33,27.58,
26.06.23 09:30:21,6.03,185.67,191.72,193.71,185.36,197.09,183.3,192.12,185.57,193.22,189.37,184.07,186.88,181.99,180.7,188.51,188.96,187.47,179.87,196.41,185.45,183.3,186.96,185.86,178.51,,30,965,33,27.58,
26.06.23 09:30:36,6.28,186.46,191.19,193.19,187.95,196.55,183.82,191.6,185.82,194.31,185.4,183.04,186.62,180.68,180.44,187.99,188.18,184.6,179.87,196.41,185.45,182.26,186.96,184.06,178.51,,30,965,33,27.61,
