Measurement Name :,20230623_SDR710_Run06_Plate12_TPC,,Generated On :,"23/06/2023, 14:21:00",,,Calibration details for Oxygen,,,Report :,"@m02:IDENTIFICATION

Serial number     : SEBX0007000710      

MUX channel       : ON - 02


PARAMETERS

Sig LED current   : 040

Ref LED current   : 075

Frequency         : 060

Sending interval  : 0000

Pulse lenght      : 06

Red REF comp.     : ON

Temperature comp. : ON


FIRMWARE

ver.4.039.A3.ST   : 04/30/07, 09:14:36

@m02:RDY",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"23/06/2023, 13:47:34",,,,,,Batch No.:  ,PSt5-1624-01_25°C,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"23/06/2023, 14:08:54",,,,,,O2_cal0 [°],54.76,,Adjustment at ,100, % air saturation,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [°],47.47,,Adjustment at ,32, °C,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-710,,,,,,O2_T0 [°C],24.8,,Adjustment at ,965, mbar,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [°C],24.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],965,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPA Phase values  ,,46.13,46.09,46.02,46.07,46.13,46.19,46.42,46.34,46.35,46.24,46.34,46.55,46.17,46.32,46.41,46.66,46.29,46.84,46.35,46.65,46.05,47.09,46.4,46.34,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
23.06.23 13:47:36,0.03,172.05,173.38,173.91,176.53,167.35,173.36,182.06,177.37,176.56,175.48,181.45,181.59,184.03,177.1,177.66,177.16,173.07,178.06,174.67,172.69,176.79,179.02,171.68,171.98,,32,965,33,29.27,
23.06.23 13:47:51,0.28,173.9,175.22,174.96,178.11,168.91,175.21,181.51,178.19,179.01,177.62,182.27,182.71,186.46,178.72,180.13,178.28,175.21,180.64,176.29,174.36,179.42,181.1,173.31,173.32,,32,965,33,29,
23.06.23 13:48:06,0.53,177.33,176.27,176,179.43,171.01,176.81,184.82,179.55,180.37,178.7,183.37,183.83,187.82,179.81,181.5,179.69,176.29,182.95,177.65,176.6,181.8,182.29,175.21,175.75,,32,965,33,28.78,
23.06.23 13:48:21,0.78,179.72,177.85,177.84,182.35,174.16,178.14,185.37,181.18,182.28,180.04,185.01,186.08,188.36,181.44,182.88,181.1,178.17,184.4,179.28,178.84,183.93,185.57,176.3,178.19,,32,965,33,28.63,
23.06.23 13:48:36,1.03,180.26,179.97,178.89,182.61,175.22,178.95,186.2,181.73,184.75,181.66,186.39,186.64,188.9,182.53,183.98,182.52,180.61,186.14,180.1,179.69,185.79,187.67,178.21,179.55,,32,965,33,28.52,
