Measurement Name :,Meas-710,,Generated On :,"21/06/2023, 15:26:40",,,Calibration details for Oxygen,,,Report :,"@m02:IDENTIFICATION
Serial number     : SEBX0007000710      
MUX channel       : ON - 02

PARAMETERS
Sig LED current   : 040
Ref LED current   : 075
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m02:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"21/06/2023, 14:44:40",,,,,,Batch No.:  ,PSt5-1624-01_25°C,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"21/06/2023, 15:26:11",,,,,,O2_cal0 [°],54.76,,,,,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [°],47.47,,,,,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-710,,,,,,O2_T0 [°C],24.8,,,,,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [°C],24.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],965,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
21.06.23 14:44:42,0.03,160.69,161.2,166.53,153.68,161.45,161.96,168.83,164.74,151.69,153.68,165,168.06,156.17,164.24,167.29,165,156.42,157.42,163.98,158.93,160.19,161.45,166.27,169.85,,33,965,34,28.8,
21.06.23 14:44:57,0.28,161.96,162.72,168.57,154.67,162.97,163.48,170.11,166.27,153.93,155.42,166.53,169.34,157.17,165.51,169.08,166.02,158.43,158.93,166.27,160.44,162.21,163.22,168.31,172.68,,33,965,34,28.78,
21.06.23 14:45:12,0.53,162.46,163.48,169.08,154.92,164.24,164.49,171.13,166.78,154.17,155.67,167.29,169.85,158.18,166.02,169.85,167.29,159.69,159.43,166.78,161.96,163.48,163.98,169.08,173.71,,33,965,34,28.78,
21.06.23 14:45:27,0.78,163.48,164.24,170.62,155.67,165.76,165.51,171.91,167.29,155.17,156.92,168.57,170.62,158.93,166.78,170.62,168.57,160.95,160.69,168.06,162.46,164.74,164.74,171.13,174.75,,33,965,34,28.8,
21.06.23 14:45:42,1.03,164.49,165.25,171.65,156.17,166.27,166.27,173.2,167.8,155.67,156.67,169.59,170.62,159.69,167.8,171.65,169.08,162.46,161.45,168.83,163.73,165.25,165.76,171.65,175,,33,965,34,28.81,
