Measurement Name :,20230623_SDR710_Run05_Plate10_TPC,,Generated On :,"23/06/2023, 12:43:04",,,Calibration details for Oxygen,,,Report :,"@m02:IDENTIFICATION
Serial number     : SEBX0007000710      
MUX channel       : ON - 02

PARAMETERS
Sig LED current   : 040
Ref LED current   : 075
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m02:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"23/06/2023, 12:24:24",,,,,,Batch No.:  ,PSt5-1624-01_25°C,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"23/06/2023, 12:39:11",,,,,,O2_cal0 [°],54.76,,Adjustment at ,100, % air saturation,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [°],47.47,,Adjustment at ,24, °C,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-710,,,,,,O2_T0 [°C],24.8,,Adjustment at ,965, mbar,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [°C],24.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],965,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPA Phase values  ,,46.87,46.94,46.77,46.65,47.04,47,47.39,47.12,47.04,47,47.05,47.07,46.96,47.09,47.01,47.61,47.02,47.51,47.07,47.62,46.68,47.89,47.18,46.99,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
23.06.23 12:24:26,0.03,220.41,225.54,219.96,220.11,222.88,224.07,238.82,223.02,217.51,225.98,223.85,212.51,231.29,217.88,216.22,231.75,213.72,221.08,219.44,228.37,213.47,223.84,219.27,213.39,,24,965,33,22.68,
23.06.23 12:24:41,0.28,219.79,224.59,215.98,217.68,220.03,225.34,238.49,219.83,214.37,225.98,223.21,212.19,228.43,216.93,215.28,230.72,211.23,221.08,217.23,226.67,213.17,221.75,217.03,212.46,,24,965,33,22.72,
23.06.23 12:24:56,0.53,215.77,228.7,215.98,214.66,221.93,225.98,236.47,220.78,215.31,225.02,221.94,208.76,228.43,216.93,214.97,229.7,210.61,220.41,216.91,225.66,212.27,221.05,215.76,211.83,,24,965,33,22.75,
23.06.23 12:25:11,0.78,217.62,228.07,218.43,215.56,220.03,224.71,234.8,218.55,214.37,223.44,220.68,211.26,227.16,216.3,214.34,228.34,209.36,219.42,216.28,224.98,212.27,220.01,215.44,210.9,,24,965,33,22.78,
23.06.23 12:25:26,1.03,216.69,229.33,217.81,215.86,220.03,222.49,234.13,217.6,213.43,221.23,220.68,206.58,226.53,215.67,214.34,227.33,209.68,219.42,216.28,225.32,212.27,218.63,214.49,211.21,,24,965,33,22.79,
23.06.23 12:25:41,1.28,214.84,225.22,215.67,214.96,220.03,220.29,229.46,215.07,213.43,221.55,219.41,204.72,224.95,216.3,213.4,225.97,209.05,218.76,215.96,224.64,211.36,218.63,213.85,210.9,,24,965,33,22.82,
23.06.23 12:25:56,1.53,214.23,224.59,217.81,214.66,220.66,220.29,227.47,216.97,214.05,221.55,218.78,204.1,223.37,214.72,212.16,223.27,207.51,218.76,215.96,224.3,210.76,217.24,212.58,209.97,,24,965,33,22.84,
23.06.23 12:26:11,1.78,214.84,223.34,213.54,213.15,218.77,221.23,227.47,218.87,211.55,219.66,217.83,204.72,220.54,215.04,210.6,223.94,205.96,218.09,215.33,223.96,210.76,217.94,211.31,209.66,,24,965,33,22.86,
23.06.23 12:26:26,2.03,215.46,223.65,215.67,214.66,218.14,217.77,227.81,214.75,210.62,218.09,217.83,206.27,220.23,214.72,210.29,223.61,206.89,218.09,214.39,222.28,210.76,216.9,210.05,209.36,,24,965,33,22.84,
23.06.23 12:26:41,2.28,216.38,223.34,215.67,212.25,217.51,216.21,229.8,219.19,209.68,218.09,218.46,205.34,218.66,213.46,211.22,222.26,206.27,217.43,214.08,222.28,209.86,215.52,209.73,209.05,,24,965,33,22.88,
23.06.23 12:26:56,2.53,217,221.77,215.98,211.95,217.82,217.46,228.14,216.97,209.37,217.15,217.2,203.17,218.04,214.09,213.4,221.25,208.12,216.77,213.76,222.28,208.66,214.83,209.1,209.05,,24,965,33,22.89,
23.06.23 12:27:11,2.78,217,220.83,214.45,211.65,216.56,215.27,226.15,218.87,208.75,215.58,216.89,201.93,216.79,214.72,209.05,219.9,210.3,216.77,214.71,221.27,208.06,212.77,210.05,208.74,,24,965,33,22.89,
23.06.23 12:27:26,3.03,218.55,219.57,214.45,211.95,217.51,214.64,224.17,219.19,209.06,213.71,215.94,209.07,215.85,213.46,209.36,217.89,211.54,216.77,213.76,219.58,206.57,211.74,209.1,208.43,,24,965,33,22.89,
23.06.23 12:27:41,3.28,216.08,217.39,215.67,211.35,216.88,214.02,225.49,217.92,210.62,212.46,216.89,205.03,215.54,212.84,210.29,217.89,211.23,217.43,213.45,217.91,208.06,210.71,208.16,208.43,,24,965,33,22.91,
23.06.23 12:27:56,3.53,212.99,215.83,213.54,210.75,216.25,214.96,226.48,216.65,209.68,210.29,216.26,203.48,215.85,212.52,211.85,217.22,210.61,217.1,213.13,215.23,206.57,212.08,206.9,207.81,,24,965,33,22.93,
