"Term ID","Discription","Annotated","Significant","Expected","p-value","FDR q-value"
"LION:0002969","monounsaturated fatty acid","70","44","25.38","2.7e-06","0.000391"
"    [#0004] AHexCer 39:1;O3|AHexCer (O-15:0)24:1;O3","","","","","",""
"    [#0008] AHexCer 42:6;O2|AHexCer (O-15:1)27:5;O2","","","","","",""
"    [#0010] AHexCer 43:4;O3|AHexCer (O-18:3)25:1;O3","","","","","",""
"    [#0013] AHexCer 45:4;O2|AHexCer (O-14:1)31:3;O2","","","","","",""
"    [#0029] BA 24:1;O4;T","","","","","",""
"    [#0035] CAR 14:1","","","","","",""
"    [#0043] CAR 21:1","","","","","",""
"    [#0047] CAR 23:1","","","","","",""
"    [#0063] Cer 26:1;O2|Cer 12:0;O2/14:1","","","","","",""
"    [#0064] Cer 26:1;O2|Cer 18:1;O2/8:0","","","","","",""
"    [#0098] Cer 33:1;O4|Cer 18:0;O3/15:1(2OH)","","","","","",""
"    [#0112] Cer 34:1;O3|Cer 18:0;O2/16:1(2OH)","","","","","",""
"    [#0181] Cer 41:2;O4|Cer 18:1;O3/23:1(2OH)","","","","","",""
"    [#0232] DG 15:1","","","","","",""
"    [#0234] DG 16:1","","","","","",""
"    [#0237] DG 17:1","","","","","",""
"    [#0239] DG 18:1","","","","","",""
"    [#0241] DG 19:1","","","","","",""
"    [#0243] DG 20:1","","","","","",""
"    [#0248] DG 21:1","","","","","",""
"    [#0253] DG 22:1","","","","","",""
"    [#0257] DG 23:1","","","","","",""
"    [#0261] DG 24:1","","","","","",""
"    [#0266] DG 25:1","","","","","",""
"    [#0479] FA 14:1","","","","","",""
"    [#0483] FA 16:1","","","","","",""
"    [#0486] FA 17:1","","","","","",""
"    [#0489] FA 18:1","","","","","",""
"    [#0490] FA 18:1;O","","","","","",""
"    [#0497] FA 19:1","","","","","",""
"    [#0500] FA 20:1","","","","","",""
"    [#0507] FA 22:1","","","","","",""
"    [#0532] FAHFA 25:1;O|FAHFA 14:0/11:0;O","","","","","",""
"    [#0565] LPC 18:1","","","","","",""
"    [#0566] LPC 18:1/0:0","","","","","",""
"    [#0569] LPC 19:1","","","","","",""
"    [#0579] LPC 23:1","","","","","",""
"    [#0581] LPC 25:1","","","","","",""
"    [#0622] NAE 15:1","","","","","",""
"    [#0626] NAE 16:1","","","","","",""
"    [#0630] NAE 17:1","","","","","",""
"    [#0634] NAE 18:1","","","","","",""
"    [#0642] NAE 22:1","","","","","",""
"    [#0651] NAE 25:1","","","","","",""
"    [#0670] NAGlySer 17:1;O","","","","","",""
"    [#0672] NAGlySer 19:1;O","","","","","",""
"    [#0674] NAGlySer 21:1;O","","","","","",""
"    [#0677] NAOrn 14:1","","","","","",""
"    [#0679] NATau 15:1","","","","","",""
"    [#0916] SE 24:1;O3/18:5","","","","","",""
"    [#0917] SE 24:1;O3/20:5","","","","","",""
"    [#0918] SE 24:1;O4/13:1","","","","","",""
"    [#0919] SE 24:1;O4/23:1","","","","","",""
"    [#0968] ST 24:1;O5","","","","","",""
