"Term ID","Discription","Annotated","Significant","Expected","p-value","FDR q-value"
"LION:0002948","fatty acid with 16-18 carbons",53,8,1.52,"4.7e-05","0.00573"
"LION:0002882","C16:0",20,5,0.58,"0.00014","0.00854"
"LION:0002955","fatty acid with 16 carbons",23,5,0.66,"0.00029","0.00915"
"LION:0000100","fatty acid with 18 carbons or less",68,8,1.96,"0.00030","0.00915"
"LION:0002923","C18:2",7,3,0.2,"0.00067","0.01586"
"LION:0002968","saturated fatty acid",59,7,1.7,"0.00078","0.01586"
"LION:0002957","fatty acid with 18 carbons",32,5,0.92,"0.00148","0.02579"
"LION:0002966","fatty acid with less than 2 double bonds",87,7,2.5,"0.00792","0.12078"
"LION:0022231","C17:0",6,2,0.17,"0.01105","0.13481"
"LION:0022234","C17:1",6,2,0.17,"0.01105","0.13481"
"LION:0002969","monounsaturated fatty acid",40,4,1.15,"0.02367","0.26252"
"LION:0002956","fatty acid with 17 carbons",12,2,0.35,"0.04378","0.44510"
"LION:0002921","C18:0",15,2,0.43,"0.06612","0.62051"
"LION:0002970","fatty acid with 2 double bonds",35,3,1.01,"0.07435","0.63989"
"LION:0000014","glycerophosphoglycerols [GP04]",3,1,0.09,"0.08392","0.63989"
"LION:0002922","C18:1",3,1,0.09,"0.08392","0.63989"
"LION:0002900","C16:1",4,1,0.12,"0.11037","0.79207"
"LION:0022229","C15:0",5,1,0.14,"0.13609","0.92239"
"LION:0002960","fatty acid with 21 carbons",9,1,0.26,"0.23204","1.00000"
"LION:0002967","polyunsaturated fatty acid",88,4,2.53,"0.24040","1.00000"
"LION:0002954","fatty acid with 15 carbons",11,1,0.32,"0.27612","1.00000"
"LION:0000031","1-alkyl,2-acylglycerophosphocholines [GP0102]",75,3,2.16,"0.36794","1.00000"
"LION:0012086","endosome/lysosome",16,1,0.46,"0.37599","1.00000"
"LION:0002947","fatty acid with 13-15 carbons",19,1,0.55,"0.42944","1.00000"
"LION:0002972","fatty acid with 4 double bonds",20,1,0.58,"0.44627","1.00000"
"LION:0000467","contains ether-bond",90,3,2.59,"0.48971","1.00000"
"LION:0000034","monoacylglycerophosphocholines [GP0105]",23,1,0.66,"0.49395","1.00000"
"LION:0000599","lysoglycerophospholipids",23,1,0.66,"0.49395","1.00000"
"LION:0000010","glycerophosphocholines [GP01]",128,4,3.68,"0.51670","1.00000"
"LION:0000003","glycerophospholipids [GP]",170,5,4.89,"0.56205","1.00000"
"LION:0000623","alkyldiacylglycerols [GL0302]",64,2,1.84,"0.56323","1.00000"
"LION:0002949","fatty acid with 19-21 carbons",31,1,0.89,"0.60270","1.00000"
"LION:0000604","triradylglycerols [GL03]",179,5,5.15,"0.61403","1.00000"
"LION:0000465","neutral intrinsic curvature",107,3,3.08,"0.61486","1.00000"
"LION:0012011","lipid storage",180,5,5.18,"0.61963","1.00000"
"LION:0012084","lipid droplet",180,5,5.18,"0.61963","1.00000"
"LION:0000466","positive intrinsic curvature",34,1,0.98,"0.63741","1.00000"
"LION:0000622","triacylglycerols [GL0301]",115,3,3.31,"0.66700","1.00000"
"LION:0000607","diacylglycerols [GL0201]",118,3,3.39,"0.68532","1.00000"
"LION:0000093","headgroup with negative charge",43,1,1.24,"0.72502","1.00000"
"LION:0000095","headgroup with positive charge / zwitter-ion",167,4,4.8,"0.74348","1.00000"
"LION:0002977","fatty acid with 3-5 double bonds",48,1,1.38,"0.76454","1.00000"
"LION:0000002","glycerolipids [GL]",324,8,9.32,"0.78539","1.00000"
"LION:0000603","diradylglycerols [GL02]",142,3,4.08,"0.80733","1.00000"
"LION:0002976","fatty acid with more than 3 double bonds",55,1,1.58,"0.81087","1.00000"
"LION:0000094","headgroup with neutral charge",332,8,9.55,"0.81354","1.00000"
"LION:0012010","membrane component",336,8,9.66,"0.82669","1.00000"
"LION:0012080","endoplasmic reticulum (ER)",281,6,8.08,"0.87836","1.00000"
"LION:0012441","N-acylsphingosines (ceramides) [SP0201]",120,2,3.45,"0.88428","1.00000"
"LION:0012009","lipid-mediated signalling",289,6,8.31,"0.89759","1.00000"
"LION:0012082","plasma membrane",136,2,3.91,"0.92532","1.00000"
"LION:0000004","sphingolipids [SP]",146,2,4.2,"0.94386","1.00000"
"LION:0000464","negative intrinsic curvature",288,5,8.28,"0.95895","1.00000"
"LION:0002945","fatty acid with more than 18 carbons",102,1,2.93,"0.95906","1.00000"
"LION:0000001","fatty acids [FA]",26,0,0.75,"1.00000","1.00000"
"LION:0000011","glycerophosphoethanolamines [GP02]",25,0,0.72,"1.00000","1.00000"
"LION:0000012","glycerophosphoinositols [GP06]",8,0,0.23,"1.00000","1.00000"
"LION:0000030","diacylglycerophosphocholines [GP0101]",30,0,0.86,"1.00000","1.00000"
"LION:0000038","diacylglycerophosphoethanolamines [GP0201]",4,0,0.12,"1.00000","1.00000"
"LION:0000039","1-alkyl,2-acylglycerophosphoethanolamines [GP0202]",13,0,0.37,"1.00000","1.00000"
"LION:0000040","1-(1z-alkenyl),2-acylglycerophosphoethanolamines [GP0203]",4,0,0.12,"1.00000","1.00000"
"LION:0000043","monoalkylglycerophosphoethanolamines [GP0206]",3,0,0.09,"1.00000","1.00000"
"LION:0000047","diacylglycerophosphoinositols [GP0601]",6,0,0.17,"1.00000","1.00000"
"LION:0000084","ceramide phosphocholines (sphingomyelins) [SP0301]",14,0,0.4,"1.00000","1.00000"
"LION:0000254","C12:0",3,0,0.09,"1.00000","1.00000"
"LION:0000259","C14:0",3,0,0.09,"1.00000","1.00000"
"LION:0000462","C14:1",5,0,0.14,"1.00000","1.00000"
"LION:0000608","1-alkyl,2-acylglycerols [GL0202]",24,0,0.69,"1.00000","1.00000"
