Lipid,VIP
PC O-38:8,3.4052987037352733
ST 27:2;O,3.3975315476258015
MGDG 36:8|MGDG 18:3_18:5,3.0962114971501222
FA 28:7,2.9869565576845574
PC O-40:8,2.936444107828935
DGDG 27:1|DGDG 12:0_15:1,2.8076144828821454
DG 36:5,2.803759815296445
PC O-36:8,2.786969602692806
DGDG 36:6|DGDG 16:1_20:5,2.753466168786868
DG 38:10,2.684705958488859
PC O-29:0|PC O-11:0_18:0,2.668049424208062
DG 34:6|DG 16:1_18:5,2.6509645530621686
Cer 35:6;O2|Cer 20:2;O2/15:4,2.6418590543383464
ST 29:2;O,2.6084633112840128
DGDG 38:8|DGDG 18:3_20:5,2.6009155574460254
DG 29:5,2.5997772911782433
Cer 36:5;O2|Cer 18:3;O2/18:2,2.596425742622505
MGDG O-41:9|MGDG O-19:3_22:6,2.581468425245751
SE 24:1;O3/18:5,2.5787928021451876
LPC 16:0,2.531035693149428
NAGlySer 20:0;O,2.4984685487090217
AHexCer 45:4;O2|AHexCer (O-14:1)31:3;O2,2.4879122431315124
MGDG 38:8|MGDG 18:3_20:5,2.4497649330774367
VAE 6:0,2.437261915310361
LPC 22:6,2.424242984073737
DG 27:6,2.401296149277982
DGDG 36:7|DGDG 16:2_20:5,2.371966402249827
Cer 35:0;O2|Cer 20:0;O2/15:0,2.364848569767299
DGDG 42:11|DGDG 20:5_22:6,2.362256170820285
VAE 21:2,2.348154300620058
Cer 33:4;O2|Cer 12:2;O2/21:2,2.3316660483563267
Cer 35:0;O2|Cer 19:0;O2/16:0,2.3258296618888243
TG 30:0|TG 8:0_10:0_12:0,2.3255105375303105
PC 30:5,2.295361948780932
CL 63:2|CL 15:0_15:0_15:0_18:2,2.2623327497159202
DG 26:5,2.2617452948063317
TG 48:2|TG 16:0_16:1_16:1,2.2508860152480206
Cer 33:7;O2|Cer 13:2;O2/20:5,2.2303490261846455
DG 40:8,2.225379446769413
AHexCer 42:6;O2|AHexCer (O-15:1)27:5;O2,2.2186938099291114
DG 38:3,2.2065579215989426
NAGlySer 17:1;O,2.1886947809537984
DG 24:3,2.183136410533681
Tryptophan,2.177412450392605
PC O-34:5|PC O-19:1_15:4,2.173917884601811
SL 27:2;O2,2.171916259563715
PC 32:5,2.1715490749348585
DG 23:5,2.1674562495661576
Cer 33:5;O2|Cer 12:2;O2/21:3,2.1666375435184224
PC O-36:2|PC O-10:0_26:2,2.163983193397372
DG 23:1,2.1620831941324203
DG O-37:7|DG O-19:3_18:4,2.1506607538003184
DG 51:5,2.148047806546251
PC 30:4,2.145084950566438
PC 45:4,2.142255824005525
TG 52:6|TG 14:0_16:0_22:6,2.119163215846091
Cer 32:7;O2|Cer 16:3;O2/16:4,2.1172224479490103
PC O-37:3,2.1082501628535346
SM 43:9;O2,2.097779500613057
DG 22:0,2.088573606750662
DG 27:5,2.0746853809055756
PC O-36:10,2.06538513260271
Cer 53:3;O2|Cer 19:2;O2/34:1,2.064629795713969
PC O-35:2|PC O-14:0_21:2,2.057542273838453
Cer 34:1;O3|Cer 18:0;O2/16:1(2OH),2.0567394678846647
MGDG 36:7|MGDG 18:3_18:4,2.056323615701913
DG O-35:1|DG O-21:0_14:1,2.040744396311195
DG 37:8,2.0175157615095345
DG 19:2,2.0148058810824088
Cer 32:6;O2|Cer 15:2;O2/17:4,2.011053079265015
DG 40:3,2.009551280642906
DG 30:8,2.000488426970202
DG 25:5,1.9957512003823852
VAE 15:2,1.972526205386829
Cer 31:7;O2|Cer 13:2;O2/18:5,1.9723463111757673
LPE O-20:3,1.9548114969930785
VAE 7:0,1.9425749633658254
MGDG 34:3|MGDG 16:0_18:3,1.9419929911241438
Dioctyl phthalate (also known as the production of plastic),1.9373354212036435
PC 38:6|PC 16:0_22:6,1.936814633557104
PC O-39:9,1.9267675962392306
TG 24:0|TG 8:0_8:0_8:0,1.926089263920291
PC 29:0,1.9228557089959784
Cer 32:6;O2|Cer 13:2;O2/19:4,1.921889367623145
DG 43:11,1.9203895761863932
NAE 28:7,1.9202913985634782
Cer 37:6;O2|Cer 15:0;O2/22:6,1.9133626060121993
DG O-34:4|DG O-18:0_16:4,1.8968920448170659
Cer 40:7;O2|Cer 24:3;O2/16:4,1.8897389809636853
PC O-40:7,1.8833436471018277
Cer 32:2;O2|Cer 17:0;O2/15:2,1.8819533867518434
DGDG 27:3|DGDG 12:0_15:3,1.8811346483787608
FA 22:6,1.8759327193705875
Cer 35:5;O2|Cer 18:2;O2/17:3,1.8595090663035418
CAR 22:6,1.8590994947120818
SHexCer 33:3;O3|SHexCer 18:2;O2/15:1;O,1.8338428098496298
PC O-36:6,1.8332158270548202
