Lipid,VIP
ST 27:2;O,2.6995470775227752
FA 28:7,2.6352159885675883
PC O-36:8,2.5325370500028335
MGDG 36:8|MGDG 18:3_18:5,2.4584142059803797
PC O-38:8,2.445365286971847
Cer 35:6;O2|Cer 20:2;O2/15:4,2.3726704023593217
Cer 36:5;O2|Cer 18:3;O2/18:2,2.315277849493979
DGDG 27:1|DGDG 12:0_15:1,2.3105734824468276
PC O-40:8,2.2991730724600923
DGDG 36:6|DGDG 16:1_20:5,2.2846976163203014
AHexCer 45:4;O2|AHexCer (O-14:1)31:3;O2,2.2634201880142664
PC O-34:5|PC O-19:1_15:4,2.253033505022511
PC O-40:7,2.2375895697745425
DG 38:10,2.2273497213476405
DG 34:6|DG 16:1_18:5,2.2113939890049537
CL 63:2|CL 15:0_15:0_15:0_18:2,2.205330015505271
MGDG O-41:9|MGDG O-19:3_22:6,2.2007624591012895
Cer 34:1;O3|Cer 18:0;O2/16:1(2OH),2.1864851448529428
Cer 35:0;O2|Cer 20:0;O2/15:0,2.1834362058702688
LPC 16:0/0:0,2.18228416509383
MGDG 38:8|MGDG 18:3_20:5,2.180789920357607
PC O-29:0|PC O-11:0_18:0,2.1593499288520763
DGDG 36:7|DGDG 16:2_20:5,2.0858095308883295
SE 24:1;O3/18:5,2.0825381360419417
Cer 33:7;O2|Cer 13:2;O2/20:5,2.080901148053275
LPC 16:0,2.0573835419371598
DG O-37:7|DG O-19:3_18:4,2.0260001416700364
PC O-35:2|PC O-14:0_21:2,2.0207571310128705
VAE 21:2,2.017360218626489
Cer 32:7;O2|Cer 16:3;O2/16:4,2.0084951920897103
LPC 22:6,2.0061790942808955
DG 19:2,1.9644442232932082
AHexCer 42:6;O2|AHexCer (O-15:1)27:5;O2,1.9485922143261007
PC O-37:3,1.9467643191688824
DG 40:8,1.9070826768801756
DGDG 42:11|DGDG 20:5_22:6,1.8941487065628677
HexCer 37:5;O2,1.879614583098832
DG 27:6,1.874941375214489
MGDG 34:3|MGDG 16:0_18:3,1.8718720567444094
PC O-36:6,1.866108443589529
Cer 31:7;O2|Cer 13:2;O2/18:5,1.8647999313579708
VAE 6:0,1.8590534544143846
SL 27:2;O2,1.8586285206935698
DGDG 27:3|DGDG 12:0_15:3,1.8543910103560672
Cer 35:2;O2|Cer 19:0;O2/16:2,1.8475974408872944
PC 30:4,1.837824062216948
PC 36:2,1.823835606154092
Cer 33:5;O2|Cer 12:2;O2/21:3,1.8187709211218415
PC 32:5,1.8164019680469288
DG 23:5,1.8114235465623896
Cer 31:6;O2|Cer 12:1;O2/19:5,1.7978279713635565
PC O-36:2|PC O-10:0_26:2,1.7854272603022394
DG 36:3,1.7781397622327781
Cer 32:6;O2|Cer 15:2;O2/17:4,1.7601915061859932
DG O-35:1|DG O-21:0_14:1,1.75715268342922
DG 22:0,1.7492966540871087
TG 30:0|TG 8:0_10:0_12:0,1.737137200801116
DG 23:1,1.7267680540985972
VAE 15:2,1.709372305190051
NAGlySer 17:1;O,1.7090737718799827
MGDG O-35:3|MGDG O-19:3_16:0,1.707187336094507
Tryptophan,1.6750699096558976
FA 22:6,1.6725862205808697
Cer 53:3;O2|Cer 19:2;O2/34:1,1.6622746444795624
DG 43:11,1.6417651861294227
PC 45:4,1.635888309047692
MGDG 34:5|MGDG 16:1_18:4,1.6287802063202264
FA 22:4,1.616681697378139
LPE O-20:3,1.6062526514517486
DGDG 36:7|DGDG 18:3_18:4,1.6058177278863914
Cer 35:5;O2|Cer 18:2;O2/17:3,1.5926247168149414
DGDG 27:0|DGDG 12:0_15:0,1.591029990450016
TG 50:7|TG 14:0_18:3_18:4,1.5826470207260261
Cer 34:7;O2|Cer 16:3;O2/18:4,1.5737962582678329
LPC 22:0,1.5707273593502675
TG 46:2|TG 14:0_16:1_16:1,1.5641950967580318
Cer 32:6;O2|Cer 13:2;O2/19:4,1.5515088676419146
DG 30:7,1.5390002815586246
PE O-26:2,1.5378293538434078
TG 46:1|TG 14:0_16:0_16:1,1.5246564363548756
SM 43:9;O2,1.5155952067250866
SHexCer 33:3;O3|SHexCer 18:2;O2/15:1;O,1.5075781846064622
PC O-36:10,1.5026554976804314
DG 51:5,1.4955205906623423
DG 30:8,1.4855375925398113
AHexCer 42:2;O3|AHexCer (O-17:0)25:2;O3,1.4804151485107513
DG 40:3,1.4629363739705477
DG 38:3,1.4617116649178516
Cer 34:4;O2|Cer 17:1;O2/17:3,1.4591872022023527
SE 24:2;O4/27:1;O,1.4523081542934735
PC O-42:10,1.4512580036509921
CAR 22:6,1.4492968619750788
DG 28:6,1.43772681225138
DG 37:8,1.4372465026852905
Cer 31:4;O2|Cer 12:2;O2/19:2,1.4370603738291627
FA 30:7,1.4324352690156452
NAE 28:6,1.4288634148954749
NAOrn 14:1,1.427715563549449
PC 32:4,1.4187868390494944
DG 22:2,1.4182852453077153
TG 68:5;O2|TG 16:0_18:2_18:2;O(FA 16:0),1.4167675651536116
TG 48:4|TG 14:0_16:1_18:3,1.4142161876726376
MGDG O-35:4|MGDG O-19:4_16:0,1.4141357209566079
NAE 16:4,1.4125766594038165
SE 28:2/15:4,1.4063804862809302
TG 52:6|TG 14:0_16:0_22:6,1.4035910045874367
TG 52:9|TG 16:2_16:2_20:5,1.3984982102116936
PC O-37:1|PC O-15:0_22:1,1.3934305941055813
PC O-42:5,1.3915529246963763
TG 48:5|TG 14:0_14:0_20:5,1.3889238296932556
DG 28:2,1.3875356435705124
Cer 38:6;O2|Cer 20:2;O2/18:4,1.3868815755681405
MGDG 38:10|MGDG 18:5_20:5,1.385596184511269
TG 63:6;O2|TG 16:0_20:4_9:0;O(FA 18:1),1.3855380425314487
Cer 40:7;O2|Cer 24:3;O2/16:4,1.3836257406959014
PC O-37:1,1.3824887919093012
TG 46:4|TG 14:0_14:0_18:4,1.3740700522990519
FA 34:7,1.3726163996275929
PC 28:3,1.3690559529406419
PC O-41:4,1.3646000548151815
TG 52:8|TG 16:1_18:3_18:4,1.363191218258703
TG 27:1;O|TG 8:0_10:0_9:1;O,1.3577444252015447
TG O-58:6|TG O-22:0_18:3_18:3,1.3427685891318109
TG O-51:8|TG O-21:2_15:3_15:3,1.338993972614719
LPC 22:5,1.3383773375949226
DGDG 38:8|DGDG 16:2_22:6,1.3366679575772253
TG 52:8|TG 16:0_18:4_18:4,1.3359172298097088
VAE 22:4,1.3353811496170964
TG 52:9|TG 16:2_18:3_18:4,1.3283324336736206
Cer 32:2;O2|Cer 17:0;O2/15:2,1.3225658247288976
PC 29:0,1.3220302615559743
