Lipid,VIP
ASG 28:1;O;Hex;FA 16:0,3.994669292912248
TG 42:0|TG 14:0_14:0_14:0,3.6414787613323263
TG 68:5;O2|TG 16:0_18:2_18:2;O(FA 16:0),3.0698651948128237
TG 66:3;O2|TG 17:1_17:1_17:0;O(FA 15:0),3.03999172256539
TG 68:3;O2|TG 16:0_18:2_18:0;O(FA 16:0),2.8941954919745045
TG 68:4;O2|TG 17:1_17:1_17:0;O(FA 17:1),2.8557737836865553
DG 34:2|DG 16:0_18:2,2.59125523858196
Cer 33:1;O3|Cer 18:0;O2/15:1;O,2.5682836852242934
TG 46:2;O3|TG 12:0_16:0_18:2;O3,2.5629971971171073
TG 66:2;O2|TG 16:0_16:0_18:1;O(FA 16:0),2.5330052001061345
TG 64:2;O2|TG 16:0_16:0_16:1;O(FA 16:0),2.5231825781160406
TG O-54:7|TG O-19:4_15:3_20:0,2.3947198511282264
DG 34:8,2.336117106407476
TG 66:1;O2|TG 16:0_16:0_18:0;O(FA 16:0),2.272831536762436
FA 22:6,2.2440911580977376
PC O-40:9,2.225320228791938
PC O-41:11,2.2091775505910833
DG 34:1,2.1593252365207425
TG 44:0|TG 14:0_14:0_16:0,2.14584176730103
Cer 39:2;O3|Cer 18:1;O2/21:1;O,2.1151696405284435
DG 36:9|DG 18:4_18:5,2.0788510839078826
LPC 18:3,2.0673848892176356
BMP 18:2|BMP 8:1_10:1,2.063582075052784
LPC 21:4,2.0531969207856036
TG O-52:6|TG O-22:0_15:3_15:3,2.0491945463789123
Cer 37:4;O2|Cer 15:0;O2/22:4,1.9653599300842841
DG O-37:5|DG O-19:3_18:2,1.928676968600396
TG O-54:7|TG O-14:1_20:3_20:3,1.9252434156839242
TG 64:1;O2|TG 16:0_16:0_18:0;O(FA 14:0),1.9215525708931431
DG 23:3,1.7932402054296452
PC 35:2,1.7839224230244637
DG 30:5,1.7792576370330795
DG 32:5,1.7763506249072962
TG O-54:8|TG O-19:5_15:2_20:1,1.7614807434465705
TG O-51:8|TG O-21:0_15:4_15:4,1.749588497099983
Cer 33:1;O4|Cer 18:0;O3/15:1(2OH),1.7417437495608756
DG 32:1|DG 16:0_16:1,1.7319448536885027
PC O-41:7,1.7045011746546141
SE 24:1;O3/18:5,1.7002123978481165
PC O-29:0|PC O-11:0_18:0,1.6828256928610212
PC O-34:0,1.6813740791527398
SE 24:1;O3/20:5,1.6549020354701316
DG 34:6|DG 16:1_18:5,1.6032540675936973
PG 35:3|PG 16:1_19:2,1.598843547394114
Cer 42:1;O2|Cer 21:0;O2/21:1,1.5969437980726322
DG 29:0,1.596208923473438
VAE 21:2,1.587978863473756
DG O-37:7|DG O-19:3_18:4,1.5849746127712319
DG 36:4,1.5810603161544436
DG 26:2,1.561604810594026
PC O-32:1,1.5467965916608086
Cer 33:6;O2|Cer 18:2;O2/15:4,1.5379123336500735
PE O-33:6,1.5350931114021191
SE 24:1;O4/13:1,1.521291333382779
DG 36:5,1.5192452070549562
PC 44:12|PC 22:6_22:6,1.5040530662032552
TG 50:3;O2|TG 16:0_16:0_18:3;O2,1.5028174951341002
ST 24:1;O5,1.4999800043808373
TG 46:4|TG 14:0_14:0_18:4,1.4872213231578284
PC O-32:0|PC O-16:0_16:0,1.486164895746253
VAE 21:4,1.4810753972219022
PC O-42:9,1.4621677298709934
DG 20:3,1.4609703598839319
PC O-40:4|PC O-18:0_22:4,1.4510661436688004
DG 32:7,1.4471824443122296
DGDG 27:0|DGDG 12:0_15:0,1.4453921867926893
DG 22:4,1.4410156627770776
MGDG 36:9|MGDG 18:4_18:5,1.4338910130852185
Cer 34:5;O2|Cer 18:2;O2/16:3,1.4323669376860526
FA 18:3,1.4297270908471644
PI 42:4|PI 20:0_22:4,1.4210825264461657
Cer 40:7;O2|Cer 22:3;O2/18:4,1.4158151853182093
DG 32:8,1.4097325441866437
DG 42:0,1.3994803867064685
DG O-35:3|DG O-19:3_16:0,1.3980957076819318
DG 34:3,1.3888778424337869
TG 58:4|TG 18:0_18:0_22:4,1.3791849772929292
