"","Lipid","term","df","sumsq","statistic","p.value","adj_pvalues"
"1","AHexCer 40:2;O2|AHexCer (O-16:2)24:0;O2","temperature",2,2.52256513148398e-08,0.575188842855268,0.566967898461924,0.880479652860773
"2","AHexCer 40:2;O2|AHexCer (O-16:2)24:0;O2","parent",2,1.31366460224715e-08,0.299538439279843,0.742730313377884,0.964575248503066
"3","AHexCer 40:2;O2|AHexCer (O-16:2)24:0;O2","temperature:parent",4,1.30315933311689e-07,1.48571527354498,0.223721931840842,0.617289764572135
"4","AHexCer 42:2;O3|AHexCer (O-17:0)25:2;O3","temperature",2,6.59424763798346e-07,7.17885719758162,0.00208072310436988,0.0365506671799192
"5","AHexCer 42:2;O3|AHexCer (O-17:0)25:2;O3","parent",2,7.99897313597181e-07,8.70811789652376,0.000685847051344314,0.0153496211756617
"6","AHexCer 42:2;O3|AHexCer (O-17:0)25:2;O3","temperature:parent",4,4.81127531358536e-07,2.61890819928635,0.048358747592715,0.294697042558979
"7","AHexCer 42:3;O2|AHexCer (O-18:0)24:3;O2","temperature",2,3.95051526395791e-07,3.0673931320408,0.0570946080649695,0.322304160259616
"8","AHexCer 42:3;O2|AHexCer (O-18:0)24:3;O2","parent",2,9.46491944018189e-08,0.734907396789714,0.485614349723206,0.829809925979721
"9","AHexCer 42:3;O2|AHexCer (O-18:0)24:3;O2","temperature:parent",4,8.53813468047904e-08,0.331473414598352,0.855232793034715,0.96927096416875
"10","AHexCer 42:6;O2|AHexCer (O-15:1)27:5;O2","temperature",2,3.60743232199672e-06,7.57280461307291,0.00155451490314969,0.0302412937697351
"11","AHexCer 42:6;O2|AHexCer (O-15:1)27:5;O2","parent",2,1.02334396590502e-05,21.4822710838175,3.75182822042279e-07,4.31289707702238e-05
"12","AHexCer 42:6;O2|AHexCer (O-15:1)27:5;O2","temperature:parent",4,1.18133046170073e-06,1.2399379907118,0.308726482984236,0.708834859062118
"13","AHexCer 43:3;O2|AHexCer (O-15:0)28:3;O2","temperature",2,6.55142204567316e-05,1.51840238362605,0.230842680030934,0.622389272706004
"14","AHexCer 43:3;O2|AHexCer (O-15:0)28:3;O2","parent",2,1.27917498084771e-05,0.296470342843621,0.744980598822697,0.964865004522322
"15","AHexCer 43:3;O2|AHexCer (O-15:0)28:3;O2","temperature:parent",4,8.50420715507931e-05,0.985496608606549,0.425871615184104,0.779053782659763
"16","AHexCer 43:4;O3|AHexCer (O-18:3)25:1;O3","temperature",2,2.12093575918107e-07,0.905983702077421,0.411895668346274,0.76823420699286
"17","AHexCer 43:4;O3|AHexCer (O-18:3)25:1;O3","parent",2,1.34579763990373e-07,0.574873954936671,0.567141698106049,0.880479652860773
"18","AHexCer 43:4;O3|AHexCer (O-18:3)25:1;O3","temperature:parent",4,2.24688213209227e-07,0.479891619383736,0.750286793624513,0.965074859476398
