"gene","loading","abs_loading","rank","cum_abs","cum_abs_prop","var_contrib","cum_var","selected_elbow","selected_80_var"
"DG 40:3",0.144993885837765,0.144993885837765,1,0.144993885837765,0.00641567070706526,0.021023226930335,0.021023226930335,TRUE,TRUE
"DG 38:3",0.140194889193053,0.140194889193053,2,0.285188775030818,0.0126189960312967,0.0196546069558523,0.0406778338861873,TRUE,TRUE
"DGDG 38:8|DGDG 16:2_22:6",-0.136041096432831,0.136041096432831,3,0.421229871463649,0.0186385248707246,0.0185071799186467,0.0591850138048341,TRUE,TRUE
"PC 29:0",-0.118361787403656,0.118361787403656,4,0.539591658867305,0.0238757819308684,0.0140095127173884,0.0731945265222224,TRUE,TRUE
"Cer 32:2;O2|Cer 17:0;O2/15:2",-0.115642175547366,0.115642175547366,5,0.655233834414671,0.0289927019573492,0.0133731127653277,0.0865676392875502,TRUE,TRUE
"FA 20:5",-0.106261396186036,0.106261396186036,6,0.761495230600707,0.0336945424719583,0.0112914843194057,0.0978591236069559,TRUE,TRUE
"DGDG 34:6|DGDG 16:2_18:4",-0.100259428716526,0.100259428716526,7,0.861754659317233,0.0381308087062699,0.0100519530465642,0.10791107665352,TRUE,TRUE
"Cer 33:5;O2|Cer 12:2;O2/21:3",-0.0994205960403419,0.0994205960403419,8,0.961175255357575,0.0425299583808202,0.00988445491701684,0.117795531570537,TRUE,TRUE
"Cer 44:3;O2|Cer 25:0;O2/19:3",-0.0971392140834613,0.0971392140834613,9,1.05831446944104,0.046828161761616,0.00943602691275252,0.12723155848329,TRUE,TRUE
"LPC 19:1",-0.0957428540250194,0.0957428540250194,10,1.15405732346606,0.0510645791831509,0.00916669409685617,0.136398252580146,TRUE,TRUE
"DG 32:8",-0.094050733878677,0.094050733878677,11,1.24810805734473,0.0552261238913089,0.00884554054311772,0.145243793123263,TRUE,TRUE
"Cer 33:5;O2|Cer 12:0;O2/21:5",-0.0936649619500605,0.0936649619500605,12,1.34177301929479,0.0593705990130651,0.00877312509710628,0.15401691822037,TRUE,TRUE
"PE O-26:2",-0.0915497676856363,0.0915497676856363,13,1.43332278698043,0.063421481292588,0.00838135996329397,0.162398278183664,TRUE,TRUE
"NAE 15:4",-0.0901797964057449,0.0901797964057449,14,1.52350258338617,0.0674117452601101,0.0081323956797816,0.170530673863445,TRUE,TRUE
"TG O-55:11|TG O-19:3_18:4_18:4",-0.0896153070764339,0.0896153070764339,15,1.61311789046261,0.0713770317767998,0.00803090326240355,0.178561577125849,TRUE,TRUE
"FA 18:4",-0.088242774019816,0.088242774019816,16,1.70136066448242,0.0752815866283234,0.0077867871667123,0.186348364292561,TRUE,TRUE
"DG 40:5",-0.0873165948322159,0.0873165948322159,17,1.78867725931464,0.079145160022946,0.00762418773309336,0.193972552025655,TRUE,TRUE
"TG 54:11|TG 18:3_18:4_18:4",-0.0847628835040794,0.0847628835040794,18,1.87344014281872,0.0828957371290178,0.00718474641992614,0.201157298445581,TRUE,TRUE
"DGDG 40:10|DGDG 18:4_22:6",-0.0841526658048846,0.0841526658048846,19,1.9575928086236,0.086619313401261,0.0070816711620686,0.208238969607649,TRUE,TRUE
"Cer 34:0;O2|Cer 16:0;O2/18:0",-0.0830890125298675,0.0830890125298675,20,2.04068182115347,0.090295825280964,0.00690378400318848,0.215142753610838,TRUE,TRUE
"Cer 35:5;O2|Cer 18:2;O2/17:3",-0.0825841756854707,0.0825841756854707,21,2.12326599683894,0.0939499992052717,0.00682014607364869,0.221962899684487,TRUE,TRUE
"PC 30:3",-0.0802519681676791,0.0802519681676791,22,2.20351796500662,0.0975009779129795,0.00644037839478617,0.228403278079273,TRUE,TRUE
"Cer 36:5;O2|Cer 18:3;O2/18:2",-0.0790417405274807,0.0790417405274807,23,2.2825597055341,0.100998406624594,0.00624759674561358,0.234650874824886,TRUE,TRUE
"Cer 30:4;O2|Cer 16:3;O2/14:1",-0.0788448810226925,0.0788448810226925,24,2.36140458655679,0.104487124722303,0.00621651526348253,0.240867390088369,TRUE,TRUE
"VAE 19:1",-0.0780268162421506,0.0780268162421506,25,2.43943140279894,0.107939645195411,0.00608818405288634,0.246955574141255,TRUE,TRUE
"LPC 28:1",0.0761579738595841,0.0761579738595841,26,2.51558937665853,0.111309473372491,0.00580003698239709,0.252755611123652,TRUE,TRUE
