"gene","loading","abs_loading","rank","cum_abs","cum_abs_prop","var_contrib","cum_var","selected_elbow","selected_25_var"
"DG 45:11",0.082770912553777,0.082770912553777,1,0.082770912553777,0.00328825837641248,0.00685102396498501,0.00685102396498502,TRUE,TRUE
"PC O-36:4;O2|PC O-18:1_18:3;O2",0.0794093299256912,0.0794093299256912,2,0.162180242479468,0.00644297041518341,0.00630584167924728,0.0131568656442323,TRUE,TRUE
"DG 36:8",0.0758051492605398,0.0758051492605398,3,0.237985391740008,0.00945449837035989,0.00574642065441271,0.018903286298645,TRUE,TRUE
"Cer 34:2;O2|Cer 18:2;O2/16:0",0.0753902672406391,0.0753902672406391,4,0.313375658980647,0.0124495442156373,0.00568369239461498,0.02458697869326,TRUE,TRUE
"MGDG 38:9|MGDG 18:4_20:5",0.0743013797662664,0.0743013797662664,5,0.387677038746914,0.0154013315870365,0.00552069503517094,0.030107673728431,TRUE,TRUE
"PC O-38:4|PC O-20:0_18:4",0.0742261374067683,0.0742261374067683,6,0.461903176153682,0.0183501297885541,0.00550951947432845,0.0356171932027594,TRUE,TRUE
"DMPE 40:10|DMPE 20:5_20:5",0.0740584697496246,0.0740584697496246,7,0.535961645903306,0.0212922670199187,0.00548465694165606,0.0411018501444155,TRUE,TRUE
"DG 44:8",0.0736312138028592,0.0736312138028592,8,0.609592859706166,0.0242174305596509,0.00542155564608236,0.0465234057904979,TRUE,TRUE
"PC 35:1",0.0732787294985121,0.0732787294985121,9,0.682871589204678,0.0271285908773506,0.00536977219691611,0.051893177987414,TRUE,TRUE
"PC O-35:5",0.0730708048521908,0.0730708048521908,10,0.755942394056868,0.0300314909265715,0.00533934252174694,0.0572325205091609,TRUE,TRUE
"MGDG 30:0|MGDG 14:0_16:0",0.072632818823673,0.072632818823673,11,0.828575212880541,0.0329169910078255,0.00527552637027251,0.0625080468794335,TRUE,TRUE
"SE 29:1/16:0",0.0725782789444253,0.0725782789444253,12,0.901153491824967,0.0358003243712163,0.0052676065745348,0.0677756534539683,TRUE,TRUE
"TG 30:0|TG 8:0_10:0_12:0",0.0715722580622794,0.0715722580622794,13,0.972725749887246,0.038643691320193,0.00512258812413352,0.0728982415781018,TRUE,TRUE
"TG 54:6|TG 16:0_16:0_22:6",0.071338896041061,0.071338896041061,14,1.04406464592831,0.041477787444464,0.00508923808835731,0.0779874796664591,TRUE,TRUE
"PC O-42:9",0.070866631564711,0.070866631564711,15,1.11493127749302,0.0442931218132786,0.00502207946932849,0.0830095591357876,TRUE,TRUE
"PEtOH 35:9",0.0705457005861753,0.0705457005861753,16,1.18547697807919,0.0470957064860242,0.00497669587119429,0.0879862550069819,TRUE,TRUE
"DG 38:9",0.0696681843571122,0.0696681843571122,17,1.25514516243631,0.0498634298771718,0.00485365591161657,0.0928399109185985,TRUE,TRUE
"AHexCer 61:3;O2|AHexCer (O-24:0)37:3;O2",0.0695668779174435,0.0695668779174435,18,1.32471204035375,0.0526271286449518,0.00483955050318049,0.097679461421779,TRUE,TRUE
"VAE 17:1",0.0695532459279449,0.0695532459279449,19,1.39426528628169,0.0553902858516655,0.00483765401911318,0.102517115440892,TRUE,TRUE
"PC 37:1",0.0688506815586523,0.0688506815586523,20,1.46311596784035,0.0581255321280655,0.00474041635109095,0.107257531791983,TRUE,TRUE
"DG 17:0",0.068794922886257,0.068794922886257,21,1.5319108907266,0.0608585632673369,0.00473274141492604,0.111990273206909,TRUE,TRUE
"SM 44:9;O2",0.0684557217613924,0.0684557217613924,22,1.600366612488,0.0635781188883893,0.00468618584187318,0.116676459048782,TRUE,TRUE
"MGDG 40:10|MGDG 18:4_22:6",0.0683192091350461,0.0683192091350461,23,1.66868582162304,0.0662922512420979,0.00466751433683817,0.121343973385621,TRUE,TRUE
"DGDG 40:10|DGDG 20:5_20:5",0.0681112947281708,0.0681112947281708,24,1.73679711635121,0.0689981237341125,0.00463914846954774,0.125983121855168,TRUE,TRUE
"PC O-40:9",0.0680740811094096,0.0680740811094096,25,1.80487119746062,0.0717025178324518,0.00463408051889048,0.130617202374059,TRUE,TRUE
"DGDG 27:0|DGDG 12:0_15:0",0.067744358443266,0.067744358443266,26,1.87261555590389,0.0743938129654012,0.0045892981008897,0.135206500474948,TRUE,TRUE
"Cer 34:2;O3|Cer 18:2;O2/16:0;O",0.0669272295728154,0.0669272295728154,27,1.9395427854767,0.0770526458387238,0.00447925405829233,0.139685754533241,TRUE,TRUE
"DG 47:13",0.0669036691844171,0.0669036691844171,28,2.00644645466112,0.079710542723278,0.00447610095033793,0.144161855483579,TRUE,TRUE
"MGDG 36:8|MGDG 18:4_18:4",0.0662403444093557,0.0662403444093557,29,2.07268679907048,0.0823420875575698,0.00438778322747006,0.148549638711049,TRUE,TRUE
"FA 18:2;O2",0.0661313541393689,0.0661313541393689,30,2.13881815320985,0.0849693025112649,0.00437335600030662,0.152922994711355,TRUE,TRUE
"AHexCer 43:5;O2|AHexCer (O-14:0)29:5;O2",0.0654315162854383,0.0654315162854383,31,2.20424966949528,0.0875687148515261,0.00428128332341158,0.157204278034767,TRUE,TRUE
"DG 38:6",0.0652364974769494,0.0652364974769494,32,2.26948616697223,0.0901603796363866,0.00425580060306003,0.161460078637827,TRUE,TRUE
"DG 32:0",0.0651888858806726,0.0651888858806726,33,2.33467505285291,0.092750152944816,0.00424959084236336,0.16570966948019,TRUE,TRUE
"MGDG 36:9|MGDG 18:4_18:5",0.0650048851638621,0.0650048851638621,34,2.39967993801677,0.0953326164160134,0.0042256350951669,0.169935304575357,TRUE,TRUE
"TG 56:10|TG 16:0_20:5_20:5",0.0642037360663244,0.0642037360663244,35,2.46388367408309,0.0978832524595619,0.00412211972487425,0.174057424300232,TRUE,TRUE
"Cer 37:5;O2|Cer 21:3;O2/16:2",0.0642018092892411,0.0642018092892411,36,2.52808548337233,0.10043381195761,0.00412187231601208,0.178179296616244,TRUE,TRUE
"TG 52:6|TG 14:0_16:0_22:6",0.0641635666476331,0.0641635666476331,37,2.59224905001997,0.102982852181765,0.00411696328494526,0.182296259901189,TRUE,TRUE
"Cer 31:4;O2|Cer 12:2;O2/19:2",0.0639509726100013,0.0639509726100013,38,2.65620002262997,0.105523446635498,0.00408972689776513,0.186385986798954,TRUE,TRUE
"MGDG 38:10|MGDG 18:5_20:5",0.0638888755369257,0.0638888755369257,39,2.72008889816689,0.108061574145055,0.00408178841737278,0.190467775216327,TRUE,TRUE
"PC 40:8;O3|PC 22:6_18:2;O3",0.0638524436669687,0.0638524436669687,40,2.78394134183386,0.110598254317645,0.00407713456224341,0.19454490977857,TRUE,TRUE
"Cer 34:4;O3|Cer 20:3;O2/14:1;O",0.0635665621330065,0.0635665621330065,41,2.84750790396687,0.113123577211213,0.00404070782140938,0.19858561759998,TRUE,TRUE
"LPC 26:2",0.0629498557073312,0.0629498557073312,42,2.9104577596742,0.115624400072011,0.00396268433357382,0.202548301933553,TRUE,TRUE
"SM 48:11;O2",0.0629402154777156,0.0629402154777156,43,2.97339797515192,0.118124839953272,0.00396147072438126,0.206509772657935,TRUE,TRUE
"DG O-34:2|DG O-20:1_14:1",0.0626861634156586,0.0626861634156586,44,3.03608413856757,0.120615187051992,0.00392955508377466,0.210439327741709,TRUE,TRUE
"DG 43:11",0.0623918617833465,0.0623918617833465,45,3.09847600035092,0.123093842364579,0.00389274441679221,0.214332072158502,TRUE,TRUE
"DG O-36:2|DG O-20:1_16:1",0.0621793514559601,0.0621793514559601,46,3.16065535180688,0.125564055232319,0.0038662717474838,0.218198343905985,TRUE,TRUE
"DG 15:0",0.0621616917502799,0.0621616917502799,47,3.22281704355716,0.12803356652902,0.00386407592125682,0.222062419827242,TRUE,TRUE
"PC 30:0",0.0619382668246366,0.0619382668246366,48,3.2847553103818,0.130494201774213,0.00383634889723988,0.225898768724482,TRUE,TRUE
"SM 34:0;O3",0.0615986814799223,0.0615986814799223,49,3.34635399186172,0.132941346237199,0.00379439756006492,0.229693166284547,TRUE,TRUE
"Cer 39:5;O2|Cer 21:2;O2/18:3",0.0613701049644616,0.0613701049644616,50,3.40772409682618,0.135379409990328,0.00376628978334903,0.233459456067896,TRUE,TRUE
"PC 36:4",0.0610297387579611,0.0610297387579611,51,3.46875383558414,0.13780395193978,0.00372462901286498,0.237184085080761,TRUE,TRUE
"PE O-32:0",0.0609205020912544,0.0609205020912544,52,3.5296743376754,0.14022415421998,0.00371130757505053,0.240895392655812,TRUE,TRUE
