"Term ID","Discription","Annotated","Significant","Expected","p-value","FDR q-value"
"LION:0000623","alkyldiacylglycerols [GL0302]",64,9,3.68,"0.0076","0.927"
"LION:0000094","headgroup with neutral charge",332,25,19.1,"0.0458","1.000"
"LION:0000002","glycerolipids [GL]",324,24,18.64,"0.0639","1.000"
"LION:0000607","diacylglycerols [GL0201]",118,10,6.79,"0.1238","1.000"
"LION:0012011","lipid storage",180,14,10.35,"0.1260","1.000"
"LION:0012084","lipid droplet",180,14,10.35,"0.1260","1.000"
"LION:0002977","fatty acid with 3-5 double bonds",48,5,2.76,"0.1340","1.000"
"LION:0002961","fatty acid with 22 carbons",23,3,1.32,"0.1407","1.000"
"LION:0002931","C22:0",3,1,0.17,"0.1630","1.000"
"LION:0002936","C22:5",3,1,0.17,"0.1630","1.000"
"LION:0022236","C17:2",3,1,0.17,"0.1630","1.000"
"LION:0000603","diradylglycerols [GL02]",142,11,8.17,"0.1741","1.000"
"LION:0002976","fatty acid with more than 3 double bonds",55,5,3.16,"0.2023","1.000"
"LION:0000604","triradylglycerols [GL03]",179,13,10.3,"0.2065","1.000"
"LION:0000038","diacylglycerophosphoethanolamines [GP0201]",4,1,0.23,"0.2113","1.000"
"LION:0001738","high transition temperature",4,1,0.23,"0.2113","1.000"
"LION:0080970","average bilayer thickness",4,1,0.23,"0.2113","1.000"
"LION:0002921","C18:0",15,2,0.86,"0.2116","1.000"
"LION:0002945","fatty acid with more than 18 carbons",102,8,5.87,"0.2210","1.000"
"LION:0012086","endosome/lysosome",16,2,0.92,"0.2334","1.000"
"LION:0002958","fatty acids with 19 carbons",5,1,0.29,"0.2569","1.000"
"LION:0002962","fatty acid with 23 carbons",5,1,0.29,"0.2569","1.000"
"LION:0002949","fatty acid with 19-21 carbons",31,3,1.78,"0.2614","1.000"
"LION:0002964","fatty acid with 25 carbons",6,1,0.35,"0.3000","1.000"
"LION:0080977","low lateral diffusion",6,1,0.35,"0.3000","1.000"
"LION:0002971","fatty acid with 3 double bonds",20,2,1.15,"0.3214","1.000"
"LION:0002972","fatty acid with 4 double bonds",20,2,1.15,"0.3214","1.000"
"LION:0002950","fatty acid with 22-24 carbons",51,4,2.93,"0.3362","1.000"
"LION:0002935","C22:4",7,1,0.4,"0.3405","1.000"
"LION:0002973","fatty acid with 5 double bonds",8,1,0.46,"0.3788","1.000"
"LION:0080978","average lateral diffusion",8,1,0.46,"0.3788","1.000"
"LION:0002967","polyunsaturated fatty acid",88,6,5.06,"0.3949","1.000"
"LION:0002960","fatty acid with 21 carbons",9,1,0.52,"0.4149","1.000"
"LION:0002968","saturated fatty acid",59,4,3.39,"0.4457","1.000"
"LION:0000001","fatty acids [FA]",26,2,1.5,"0.4482","1.000"
"LION:0001742","fatty acids and conjugates [FA01]",26,2,1.5,"0.4482","1.000"
"LION:0002956","fatty acid with 17 carbons",12,1,0.69,"0.5114","1.000"
"LION:0002957","fatty acid with 18 carbons",32,2,1.84,"0.5614","1.000"
"LION:0000100","fatty acid with 18 carbons or less",68,4,3.91,"0.5626","1.000"
"LION:0000084","ceramide phosphocholines (sphingomyelins) [SP0301]",14,1,0.81,"0.5668","1.000"
"LION:0002966","fatty acid with less than 2 double bonds",87,5,5,"0.5758","1.000"
"LION:0002948","fatty acid with 16-18 carbons",53,3,3.05,"0.6025","1.000"
"LION:0000464","negative intrinsic curvature",288,16,16.56,"0.6294","1.000"
"LION:0002959","fatty acid with 20 carbons",17,1,0.98,"0.6387","1.000"
"LION:0000031","1-alkyl,2-acylglycerophosphocholines [GP0102]",75,4,4.31,"0.6443","1.000"
"LION:0002947","fatty acid with 13-15 carbons",19,1,1.09,"0.6800","1.000"
"LION:0002951","fatty acid with more than 24 carbons",20,1,1.15,"0.6989","1.000"
"LION:0012010","membrane component",336,18,19.33,"0.7145","1.000"
"LION:0000093","headgroup with negative charge",43,2,2.47,"0.7249","1.000"
"LION:0012009","lipid-mediated signalling",289,15,16.62,"0.7494","1.000"
"LION:0000465","neutral intrinsic curvature",107,5,6.15,"0.7635","1.000"
"LION:0000608","1-alkyl,2-acylglycerols [GL0202]",24,1,1.38,"0.7641","1.000"
"LION:0000011","glycerophosphoethanolamines [GP02]",25,1,1.44,"0.7781","1.000"
"LION:0000467","contains ether-bond",90,4,5.18,"0.7847","1.000"
"LION:0000030","diacylglycerophosphocholines [GP0101]",30,1,1.73,"0.8368","1.000"
"LION:0012081","mitochondrion",30,1,1.73,"0.8368","1.000"
"LION:0002970","fatty acid with 2 double bonds",35,1,2.01,"0.8802","1.000"
"LION:0000095","headgroup with positive charge / zwitter-ion",167,7,9.61,"0.8815","1.000"
"LION:0000010","glycerophosphocholines [GP01]",128,5,7.36,"0.8877","1.000"
"LION:0002969","monounsaturated fatty acid",40,1,2.3,"0.9123","1.000"
"LION:0012082","plasma membrane",136,5,7.82,"0.9181","1.000"
"LION:0000622","triacylglycerols [GL0301]",115,4,6.61,"0.9201","1.000"
"LION:0012441","N-acylsphingosines (ceramides) [SP0201]",120,4,6.9,"0.9358","1.000"
"LION:0000004","sphingolipids [SP]",146,5,8.4,"0.9461","1.000"
"LION:0000003","glycerophospholipids [GP]",170,6,9.78,"0.9517","1.000"
"LION:0012080","endoplasmic reticulum (ER)",281,10,16.16,"0.9865","1.000"
"LION:0000012","glycerophosphoinositols [GP06]",8,0,0.46,"1.0000","1.000"
"LION:0000014","glycerophosphoglycerols [GP04]",3,0,0.17,"1.0000","1.000"
"LION:0000034","monoacylglycerophosphocholines [GP0105]",23,0,1.32,"1.0000","1.000"
"LION:0000039","1-alkyl,2-acylglycerophosphoethanolamines [GP0202]",13,0,0.75,"1.0000","1.000"
"LION:0000040","1-(1z-alkenyl),2-acylglycerophosphoethanolamines [GP0203]",4,0,0.23,"1.0000","1.000"
"LION:0000043","monoalkylglycerophosphoethanolamines [GP0206]",3,0,0.17,"1.0000","1.000"
