"Term ID","Discription","Annotated","Significant","Expected","p-value","FDR q-value"
"LION:0002965","fatty acid with 26 carbons",14,2,0.31,"0.036","1"
"LION:0000464","negative intrinsic curvature",288,10,6.4,"0.060","1"
"LION:0012009","lipid-mediated signalling",289,10,6.42,"0.062","1"
"LION:0002936","C22:5",3,1,0.07,"0.065","1"
"LION:0002951","fatty acid with more than 24 carbons",20,2,0.44,"0.070","1"
"LION:0002958","fatty acids with 19 carbons",5,1,0.11,"0.107","1"
"LION:0002982","C26:2",5,1,0.11,"0.107","1"
"LION:0080969","low bilayer thickness",5,1,0.11,"0.107","1"
"LION:0000001","fatty acids [FA]",26,2,0.58,"0.111","1"
"LION:0001742","fatty acids and conjugates [FA01]",26,2,0.58,"0.111","1"
"LION:0012441","N-acylsphingosines (ceramides) [SP0201]",120,5,2.67,"0.112","1"
"LION:0002923","C18:2",7,1,0.16,"0.146","1"
"LION:0001737","average transition temperature",8,1,0.18,"0.165","1"
"LION:0002973","fatty acid with 5 double bonds",8,1,0.18,"0.165","1"
"LION:0080978","average lateral diffusion",8,1,0.18,"0.165","1"
"LION:0012082","plasma membrane",136,5,3.02,"0.169","1"
"LION:0002970","fatty acid with 2 double bonds",35,2,0.78,"0.180","1"
"LION:0002945","fatty acid with more than 18 carbons",102,4,2.27,"0.181","1"
"LION:0080973","below average bilayer thickness",9,1,0.2,"0.184","1"
"LION:0000004","sphingolipids [SP]",146,5,3.24,"0.209","1"
"LION:0002969","monounsaturated fatty acid",40,2,0.89,"0.222","1"
"LION:0000093","headgroup with negative charge",43,2,0.96,"0.247","1"
"LION:0000039","1-alkyl,2-acylglycerophosphoethanolamines [GP0202]",13,1,0.29,"0.255","1"
"LION:0012080","endoplasmic reticulum (ER)",281,8,6.24,"0.258","1"
"LION:0000607","diacylglycerols [GL0201]",118,4,2.62,"0.260","1"
"LION:0002967","polyunsaturated fatty acid",88,3,1.96,"0.310","1"
"LION:0002947","fatty acid with 13-15 carbons",19,1,0.42,"0.351","1"
"LION:0000603","diradylglycerols [GL02]",142,4,3.16,"0.390","1"
"LION:0000034","monoacylglycerophosphocholines [GP0105]",23,1,0.51,"0.408","1"
"LION:0000599","lysoglycerophospholipids",23,1,0.51,"0.408","1"
"LION:0002961","fatty acid with 22 carbons",23,1,0.51,"0.408","1"
