"gene","loading","abs_loading","rank","cum_abs","cum_abs_prop","var_contrib","cum_var","selected_elbow","selected_25_var"
"MGDG 36:8|MGDG 18:3_18:5",0.10596294056969,0.10596294056969,1,0.10596294056969,0.00467477656001473,0.0112281447741757,0.0112281447741757,TRUE,TRUE
"MGDG 38:8|MGDG 18:3_20:5",0.100126134820185,0.100126134820185,2,0.206089075389875,0.00909205023688513,0.0100252428740298,0.0212533876482056,TRUE,TRUE
"PC 45:4",0.0911394918262028,0.0911394918262028,3,0.297228567216078,0.0131128593781771,0.00830640697033849,0.0295597946185441,TRUE,TRUE
"PG 36:1|PG 16:0_20:1",0.090635126509429,0.090635126509429,4,0.387863693725507,0.0171114173895187,0.0082147261573802,0.0377745207759243,TRUE,TRUE
"Cer 35:6;O2|Cer 20:2;O2/15:4",0.0895012915970601,0.0895012915970601,5,0.477364985322567,0.0210599539042618,0.00801048119754198,0.0457850019734662,TRUE,TRUE
"HexCer 37:5;O2",0.0887309469538247,0.0887309469538247,6,0.566095932276392,0.0249745050552356,0.00787318094732245,0.0536581829207887,TRUE,TRUE
"PC O-38:8",0.0874047995548843,0.0874047995548843,7,0.653500731831276,0.0288305504423795,0.0076395989852295,0.0612977819060182,TRUE,TRUE
"PC O-40:7",0.0872711858390121,0.0872711858390121,8,0.740771917670288,0.0326807011812276,0.00761625987774738,0.0689140417837656,TRUE,TRUE
"MGDG 34:3|MGDG 16:0_18:3",0.0872275220482441,0.0872275220482441,9,0.827999439718532,0.0365289256006992,0.00760864060267691,0.0765226823864425,TRUE,TRUE
"ST 27:2;O",0.0868148952982626,0.0868148952982626,10,0.914814335016795,0.0403589461288058,0.0075368260456483,0.0840595084320908,TRUE,TRUE
"FA 28:7",-0.085251218543247,0.085251218543247,11,1.00006555356004,0.0441199817891606,0.00726777026310846,0.0913272786951992,TRUE,TRUE
"AHexCer 45:4;O2|AHexCer (O-14:1)31:3;O2",0.0831824060408178,0.0831824060408178,12,1.08324795960086,0.0477897474626556,0.00691931267473947,0.0982465913699387,TRUE,TRUE
"DGDG 27:1|DGDG 12:0_15:1",0.0823829229179612,0.0823829229179612,13,1.16563088251882,0.0514242422674605,0.00678694598850673,0.105033537358445,TRUE,TRUE
"PC O-40:8",0.0812155639223585,0.0812155639223585,14,1.24684644644118,0.0550072365906778,0.00659596782322671,0.111629505181672,TRUE,TRUE
"PC O-36:2|PC O-10:0_26:2",0.0808897489271756,0.0808897489271756,15,1.32773619536835,0.0585758569045086,0.00654315148150151,0.118172656663174,TRUE,TRUE
"Cer 37:3;O3|Cer 19:3;O2/18:0(2OH)",0.0799690939206513,0.0799690939206513,16,1.40770528928901,0.0621038605987814,0.00639505598248995,0.124567712645664,TRUE,TRUE
"Cer 32:7;O2|Cer 16:3;O2/16:4",0.079391558064504,0.079391558064504,17,1.48709684735351,0.0656063850918507,0.00630301949190951,0.130870732137573,TRUE,TRUE
"MGDG O-41:9|MGDG O-19:3_22:6",0.0793032984970208,0.0793032984970208,18,1.56640014585053,0.0691050158296595,0.00628901315250758,0.137159745290081,TRUE,TRUE
"PC O-35:5",0.0782460885050243,0.0782460885050243,19,1.64464623435556,0.0725570055393595,0.00612245036633609,0.143282195656417,TRUE,TRUE
"DGDG 36:7|DGDG 18:3_18:4",0.077997761819856,0.077997761819856,20,1.72264399617541,0.075998039798401,0.00608365084890698,0.149365846505324,TRUE,TRUE
"DG O-37:7|DG O-19:3_18:4",0.0770341249735327,0.0770341249735327,21,1.79967812114894,0.0793965612042001,0.00593425641043785,0.155300102915762,TRUE,TRUE
"MGDG O-35:3|MGDG O-19:3_16:0",0.0769592922202676,0.0769592922202676,22,1.87663741336921,0.0827917812067067,0.00592273265904454,0.161222835574806,TRUE,TRUE
"SM 43:9;O2",0.0769110925549854,0.0769110925549854,23,1.9535485059242,0.0861848747802538,0.00591531615800154,0.167138151732808,TRUE,TRUE
"AHexCer 42:6;O2|AHexCer (O-15:1)27:5;O2",0.0766269475859258,0.0766269475859258,24,2.03017545351012,0.0895654327046969,0.00587168909633621,0.173009840829144,TRUE,TRUE
"VAE 21:2",0.0764619184492166,0.0764619184492166,25,2.10663737195934,0.0929387100239034,0.00584642497293465,0.178856265802079,TRUE,TRUE
"FA 18:0",0.0763086190618466,0.0763086190618466,26,2.18294599102119,0.0963052242202776,0.00582300534312603,0.184679271145205,TRUE,TRUE
"DG 43:11",0.0761856648180946,0.0761856648180946,27,2.25913165583928,0.0996663140332441,0.00580425552377506,0.19048352666898,TRUE,TRUE
"PC 34:1|PC 16:0_18:1",0.0760792162675617,0.0760792162675617,28,2.33521087210684,0.103022707645952,0.00578804714788643,0.196271573816866,TRUE,TRUE
"NAGlySer 17:2;O",0.0756267321935458,0.0756267321935458,29,2.41083760430039,0.106359138978154,0.00571940262227429,0.20199097643914,TRUE,TRUE
"AHexCer 42:2;O3|AHexCer (O-17:0)25:2;O3",0.0752715204329595,0.0752715204329595,30,2.48610912473335,0.10967989940123,0.00566580178828944,0.20765677822743,TRUE,TRUE
"Cer 33:7;O2|Cer 13:2;O2/20:5",0.0746044234711749,0.0746044234711749,31,2.56071354820452,0.112971229447768,0.00556582000146639,0.213222598228896,TRUE,TRUE
"Cer 36:5;O2|Cer 18:3;O2/18:2",-0.074558104063737,0.074558104063737,32,2.63527165226826,0.11626051601685,0.00555891088157904,0.218781509110475,TRUE,TRUE
"DGDG 36:6|DGDG 16:1_20:5",0.073803528447609,0.073803528447609,33,2.70907518071587,0.119516512905746,0.00544696081131704,0.224228469921792,TRUE,TRUE
"DG 47:13",0.073699314332262,0.073699314332262,34,2.78277449504813,0.122767912171162,0.00543158893304556,0.229660058854838,TRUE,TRUE
"DG 23:5",0.0735754466193847,0.0735754466193847,35,2.85634994166751,0.126013846753571,0.00541334634524192,0.23507340520008,TRUE,TRUE
"PC O-41:11",0.0733410997200402,0.0733410997200402,36,2.92969104138755,0.129249442632788,0.00537891690814488,0.240452322108225,TRUE,TRUE
"Cer 35:2;O2|Cer 19:0;O2/16:2",0.0731923568376214,0.0731923568376214,37,3.00288339822518,0.13247847640891,0.0053571210994457,0.24580944320767,TRUE,TRUE
"MGDG 36:8|MGDG 18:4_18:4",0.0712445047455009,0.0712445047455009,38,3.07412790297068,0.135621576619451,0.0050757794564317,0.250885222664102,TRUE,TRUE
