"","ontology","mean"
"1","FA",62.6353970531966
"2","TG",6.93386720013221
"3","EtherPE",5.9589483765158
"4","Others",5.57562489942473
"5","DG",4.06063015558436
"6","Cer_NS",2.32874261569546
"7","EtherPC",2.28320686145189
"8","VAE",1.64275277849563
"9","OxPI",1.49732152854896
"10","Cer_NDS",0.826210161488993
"11","PA",0.649681703564197
"12","HBMP",0.631829312109013
"13","EtherDG",0.557865277133244
"14","EtherTG",0.406630023888408
"15","PC",0.36531849461366
"16","AHexCer",0.341606328653977
"17","MGDG",0.330743285377623
"18","LPC",0.319093347231493
"19","OxFA",0.223991488153531
"20","DGDG",0.180491138382278
"21","NAE",0.17948917245382
"22","EtherOxPC",0.173979290205565
"23","Cer_HS",0.107423118810172
"24","ST",0.104234702244235
"25","SM",0.0986767781373381
"26","KDCAE",0.0984195596761624
"27","OxTG",0.0976672943034592
"28","TG_EST",0.0893272361281409
"29","AHexCS",0.0785080798376049
"30","Cer_AS",0.0729619293813647
"31","SL",0.0689395619423984
"32","DMPE",0.0681264944774883
"33","HexCer_HS",0.067773146200357
"34","Cer_EOS",0.0675746185406045
"35","CL",0.0642926660473548
"36","Cer_ADS",0.0602695700355398
"37","PE",0.0529464535005043
"38","ASM",0.0527815617320672
"39","SHexCer",0.0524838961134074
"40","CASE",0.050338980512516
"41","NAGlySer",0.0440065427197336
"42","Cer_HDS",0.0427336056447632
"43","CAR",0.0403558604716879
"44","HexCer_AP",0.0399019529648841
"45","EtherLPE",0.0382683101018947
"46","HexCer_NDS",0.0271704456131557
"47","DCAE",0.0249699368811447
"48","EtherPI",0.0243101037754794
"49","Cer_AP",0.0218424091297355
"50","BileAcid",0.0214638474713247
"51","FAHFA",0.0202568616179554
"52","LCAE",0.01824092506698
"53","MG",0.0170351649872105
"54","AHexCAS",0.0160216199032086
"55","PI",0.0150922799070742
"56","EtherMGDG",0.013494613812998
"57","Cer_NP",0.0130048877088728
"58","PG",0.0122356657812107
"59","EtherDGDG",0.0105432590270771
"60","SISE",0.0103061282333354
"61","NAGly",0.0100082433457573
"62","OxPC",0.00930699971323522
"63","OxPE",0.00764097244616067
"64","BMP",0.00729518567281643
"65","KLCAE",0.0068183754782393
"66","NAOrn",0.00666092717434333
"67","PS",0.00588952458848604
"68","PEtOH",0.00580365892359867
"69","DEGSE",0.00517233343437998
"70","CE",0.00399096764827377
"71","AHexSIS",0.00245851142469744
"72","BRSE",0.00153373940807564
