.
ASG 28:1;O;Hex;FA 16:0
TG 46:2;O3|TG 12:0_16:0_18:2;O3
TG 42:0|TG 14:0_14:0_14:0
TG 68:5;O2|TG 16:0_18:2_18:2;O(FA 16:0)
TG 66:3;O2|TG 17:1_17:1_17:0;O(FA 15:0)
TG 68:4;O2|TG 17:1_17:1_17:0;O(FA 17:1)
TG 68:3;O2|TG 16:0_18:2_18:0;O(FA 16:0)
TG 66:2;O2|TG 16:0_16:0_18:1;O(FA 16:0)
DG 34:2|DG 16:0_18:2
TG 64:2;O2|TG 16:0_16:0_16:1;O(FA 16:0)
DG 34:8
TG 66:1;O2|TG 16:0_16:0_18:0;O(FA 16:0)
Cer 33:1;O3|Cer 18:0;O2/15:1;O
PC O-40:9
TG 44:0|TG 14:0_14:0_16:0
BMP 18:2|BMP 8:1_10:1
Cer 39:2;O3|Cer 18:1;O2/21:1;O
LPC 21:4
PC O-30:0
DG 36:9|DG 18:4_18:5
TG O-52:6|TG O-22:0_15:3_15:3
TG O-54:7|TG O-19:4_15:3_20:0
PC O-41:11
