Metabolite,VIP
Phenylalanine-2TMS,1.5367732947993658
Inositol-6TMS(3)-Scyllo,1.5164183266633449
Glycolic acid-2TMS,1.4621388062723961
Adenosine-4TMS,1.4298533535844922
Inositol-6TMS(2)-myo,1.4292879402982734
Glucose-meto-5TMS(2),1.3024740480619001
Leucine-2TMS,1.3017538370401172
Allose-meto-5TMS(2),1.2498930481729111
1-Propylamine-2TMS,1.1936378870630857
Glutaric acid-2TMS,1.1826203093817313
Isoleucine-2TMS,1.177983827607055
Norvaline-2TMS,1.1456930426575893
Glucose-meto-5TMS(1),1.1220201972758386
Proline-2TMS,1.1128308717226747
Valine-2TMS,1.107817337951368
Serine-3TMS,1.0757993584322356
Threonine-3TMS,1.0519439234681558
Glyceric acid-3TMS,1.0341167644355325
