Metabolite,VIP
Norvaline-2TMS,1.9295704470387638
Valine-2TMS,1.8037744525959059
Leucine-2TMS,1.69196237509105
Isoleucine-2TMS,1.6369216311219892
Docosahexaenoic acid-TMS,1.6033164585531852
Butyric acid-TMS,1.5987630776965376
Proline-2TMS,1.5655766564605769
Sarcosine-2TMS,1.511422780904897
1-Propylamine-2TMS,1.444590713499362
Glucose-meto-5TMS(1),1.3126270348777456
Threonine-3TMS,1.2698625964512338
Decanoic acid-TMS,1.1588839730192622
Hydroxylamine-3TMS,1.0296049926882314
Caproic acid-TMS,1.027485903457266
Stearic acid-TMS,1.0139172878202332
