"","Metabolite","term","df","sumsq","statistic","p.value","adj_pvalues"
"1","1-Butylamine-2TMS","temperature",2,1.2234144311325e-07,0.485669736931545,0.618619124483183,0.87169058449903
"2","1-Butylamine-2TMS","parent",2,1.71658814385604e-08,0.0681449303711931,0.934225753117114,0.973097708103639
"3","1-Butylamine-2TMS","temperature:parent",4,8.2393515956561e-07,1.63542444004219,0.182772326044579,0.708242763422745
"4","1-Propylamine-2TMS","temperature",2,3.82473766842715e-06,0.242868007767725,0.785443690390013,0.973097708103639
"5","1-Propylamine-2TMS","parent",2,7.34790913244708e-06,0.466586785019837,0.63027692295033,0.87486199752807
"6","1-Propylamine-2TMS","temperature:parent",4,2.47034886232842e-05,0.784326610995641,0.541669354660011,0.870222233997532
"7","1,6-Anhydroglucose-3TMS","temperature",2,3.40269928029351e-08,0.503012916992793,0.608219840966017,0.870222233997532
"8","1,6-Anhydroglucose-3TMS","parent",2,3.44207414973526e-09,0.0508833610008134,0.950446653002084,0.975258078990082
"9","1,6-Anhydroglucose-3TMS","temperature:parent",4,1.82118663041825e-07,1.34610837440201,0.2684940514459,0.734410199543197
"10","2-Aminopimelic acid-3TMS","temperature",2,4.04358338061643e-09,0.552779847932453,0.5793820503758,0.870222233997532
"11","2-Aminopimelic acid-3TMS","parent",2,9.19891303708824e-10,0.125754146041878,0.882154733146628,0.973097708103639
"12","2-Aminopimelic acid-3TMS","temperature:parent",4,1.91700184730783e-08,1.31032291150567,0.281371696221108,0.747644792816088
"13","3-Hydroxybutyric acid-2TMS","temperature",2,1.18133777041227e-06,0.427302214321674,0.65500563767264,0.889277727059204
"14","3-Hydroxybutyric acid-2TMS","parent",2,5.97207573476454e-08,0.0216016219025238,0.978640635078575,0.978652229714717
"15","3-Hydroxybutyric acid-2TMS","temperature:parent",4,1.05945738709046e-05,1.91608403126407,0.125057678962779,0.708242763422745
"16","4-Deoxyerythronic acud","temperature",2,6.3559522388616e-07,0.131880650837581,0.87679872195256,0.973097708103639
"17","4-Deoxyerythronic acud","parent",2,9.1984768588296e-07,0.190860640430828,0.826943865828999,0.973097708103639
"18","4-Deoxyerythronic acud","temperature:parent",4,1.22507713726774e-05,1.27096589242187,0.296179465136672,0.767486975230651
"19","Adenosine-4TMS","temperature",2,2.32060164843233e-09,0.162319140674251,0.850688315158733,0.973097708103639
"20","Adenosine-4TMS","parent",2,3.59178945244126e-08,2.51234923407453,0.092914156786394,0.705797998034947
"21","Adenosine-4TMS","temperature:parent",4,2.46829414465126e-08,0.863248944000657,0.493676979983999,0.866263379971923
"22","Alanine-2TMS","temperature",2,4.16068922436822e-06,1.42729803032518,0.251096145537754,0.734410199543197
"23","Alanine-2TMS","parent",2,3.98524915810574e-06,1.36711442912036,0.265694485241153,0.734410199543197
"24","Alanine-2TMS","temperature:parent",4,1.05869325596858e-05,1.81589000941539,0.143267209011699,0.708242763422745
"25","Allose-meto-5TMS(2)","temperature",2,1.18257152370913e-07,0.342449987230394,0.711947326735459,0.951265670811292
"26","Allose-meto-5TMS(2)","parent",2,1.00978053292117e-06,2.92413036904318,0.0644638196899395,0.690240779089083
"27","Allose-meto-5TMS(2)","temperature:parent",4,1.44366207037966e-06,2.09028396022885,0.0986599352091861,0.705797998034947
"28","Benzoic acid-TMS","temperature",2,1.0270954775668e-06,0.583703099517902,0.562187317955994,0.870222233997532
"29","Benzoic acid-TMS","parent",2,4.02185607600739e-07,0.228563936718117,0.796635885358875,0.973097708103639
"30","Benzoic acid-TMS","temperature:parent",4,7.44211338575896e-06,2.11469368968605,0.0954313040975826,0.705797998034947
"31","Butyric acid-TMS","temperature",2,0.00539352744222016,3.84929986282304,0.0289840158794406,0.690240779089083
"32","Butyric acid-TMS","parent",2,0.000109158650683,0.0779053010485949,0.925182284960235,0.973097708103639
"33","Butyric acid-TMS","temperature:parent",4,0.00423971245088239,1.51291754148125,0.215332020365916,0.715427604316162
"34","Caproic acid-TMS","temperature",2,6.01001129332338e-06,1.55185149988857,0.223486814131152,0.716699093593005
"35","Caproic acid-TMS","parent",2,8.2520860482547e-07,0.213078004119893,0.808941187044481,0.973097708103639
"36","Caproic acid-TMS","temperature:parent",4,1.62110815255476e-05,2.09294042493601,0.0983033782127819,0.705797998034947
"37","Citric acid-4TMS","temperature",2,2.72015747773034e-09,0.412360128002797,0.664676026266785,0.89586768757697
"38","Citric acid-4TMS","parent",2,2.78572940898844e-10,0.0422300453218652,0.958688930171925,0.975258078990082
"39","Citric acid-4TMS","temperature:parent",4,1.61963494573681e-08,1.22763641261515,0.313288204197341,0.772760079412398
"40","Cysteine-3TMS","temperature",2,4.3762547409458e-08,0.878009636123651,0.422927156988961,0.845586790907218
"41","Cysteine-3TMS","parent",2,4.24622485720176e-08,0.851921691598137,0.4336678653525,0.845586790907218
"42","Cysteine-3TMS","temperature:parent",4,7.95120304258597e-08,0.797626429838198,0.533366842274878,0.870222233997532
"43","Decanoic acid-TMS","temperature",2,2.21772923575286e-08,0.299812053744655,0.742493706390734,0.973097708103639
"44","Decanoic acid-TMS","parent",2,3.86774606327858e-08,0.522875773967377,0.596534085254626,0.870222233997532
"45","Decanoic acid-TMS","temperature:parent",4,3.65751840132619e-07,2.47227679067462,0.0586008684625953,0.690240779089083
"46","Deoxyinosine-2TMS","temperature",2,1.72710486834718e-06,1.24862636904798,0.297091732347349,0.767486975230651
"47","Deoxyinosine-2TMS","parent",2,1.10864763316722e-07,0.080150701565677,0.92311480169841,0.973097708103639
"48","Deoxyinosine-2TMS","temperature:parent",4,7.29853012483701e-06,2.6382697820439,0.0467485707683237,0.690240779089083
"49","Docosahexaenoic acid-TMS","temperature",2,5.75920929627116e-10,0.626543978745511,0.539243358468891,0.870222233997532
"50","Docosahexaenoic acid-TMS","parent",2,2.00020025906264e-09,2.17601647054625,0.125832049304585,0.708242763422745
"51","Docosahexaenoic acid-TMS","temperature:parent",4,1.4569113429882e-09,0.792486418323348,0.53656542225475,0.870222233997532
"52","Eicosapentaenoic acid-TMS","temperature",2,7.95853721686711e-10,1.10423574340391,0.340679174794713,0.772760079412398
"53","Eicosapentaenoic acid-TMS","parent",2,4.99583402341522e-10,0.693164880234119,0.505490775842159,0.870222233997532
"54","Eicosapentaenoic acid-TMS","temperature:parent",4,1.41490197672096e-09,0.981578205600935,0.427667099368463,0.845586790907218
"55","Elaidic acid-TMS","temperature",2,2.82272277894717e-09,0.0803833234691414,0.922900888470359,0.973097708103639
"56","Elaidic acid-TMS","parent",2,2.30822762372284e-09,0.0657319270251985,0.93647575134705,0.973097708103639
"57","Elaidic acid-TMS","temperature:parent",4,1.32869027044835e-07,1.89187086660326,0.129238850119496,0.708242763422745
"58","Glucose-meto-5TMS(2)","temperature",2,3.57937837727315e-07,2.06357953435942,0.139392593499311,0.708242763422745
"59","Glucose-meto-5TMS(2)","parent",2,4.53336689619568e-07,2.61357201242824,0.0848796533046945,0.705797998034947
"60","Glucose-meto-5TMS(2)","temperature:parent",4,8.53071222948564e-07,2.459058712827,0.0596660351020167,0.690240779089083
"61","Glutaric acid-2TMS","temperature",2,5.08642016507564e-10,1.04566435322135,0.360223124279843,0.782499931417398
"62","Glutaric acid-2TMS","parent",2,3.01023339155508e-10,0.618842653628664,0.543294496045835,0.870222233997532
"63","Glutaric acid-2TMS","temperature:parent",4,1.7792740609596e-09,1.82891247653071,0.140761580734873,0.708242763422745
"64","Glyceric acid-3TMS","temperature",2,3.02656557655352e-08,1.21579855689102,0.306460637582137,0.772760079412398
"65","Glyceric acid-3TMS","parent",2,3.91430526954893e-08,1.57241155943094,0.219243943258179,0.715427604316162
"66","Glyceric acid-3TMS","temperature:parent",4,5.82445116892549e-08,1.16986715581522,0.337459207380616,0.772760079412398
"67","Glycerol-3TMS","temperature",2,6.1533107337457e-05,1.77351025047594,0.181926610821694,0.708242763422745
"68","Glycerol-3TMS","parent",2,5.94762936380422e-06,0.171422866472363,0.843038133334857,0.973097708103639
"69","Glycerol-3TMS","temperature:parent",4,0.000105490390814722,1.5202246199806,0.213245051193737,0.715427604316162
"70","Glycine-2TMS","temperature",2,1.20004883592393e-08,0.215120803777864,0.807306629469786,0.973097708103639
"71","Glycine-2TMS","parent",2,5.57427254284138e-09,0.0999244325727534,0.905115297580835,0.973097708103639
"72","Glycine-2TMS","temperature:parent",4,6.96353234883976e-08,0.624141547898859,0.64780628240635,0.889277727059204
"73","Glycolic acid-2TMS","temperature",2,1.25280771678666e-05,1.13420783679405,0.331110497752477,0.772760079412398
"74","Glycolic acid-2TMS","parent",2,4.77950284660778e-06,0.432704038454222,0.651545959006269,0.889277727059204
"75","Glycolic acid-2TMS","temperature:parent",4,3.79097347601673e-05,1.7160461928687,0.163972044104627,0.708242763422745
"76","Hydroxylamine-3TMS","temperature",2,5.92457863275565e-05,0.249073171847098,0.780639762504491,0.973097708103639
"77","Hydroxylamine-3TMS","parent",2,3.04317826215031e-05,0.127937210261545,0.880242303892026,0.973097708103639
"78","Hydroxylamine-3TMS","temperature:parent",4,0.00118829662220571,2.49783847201895,0.0565950406743561,0.690240779089083
"79","Inositol-6TMS(2)-myo","temperature",2,4.41340744281987e-08,1.11403044666069,0.337520750718132,0.772760079412398
"80","Inositol-6TMS(2)-myo","parent",2,1.18651423720071e-07,2.99499423690964,0.060570902339467,0.690240779089083
"81","Inositol-6TMS(2)-myo","temperature:parent",4,1.27958602354658e-07,1.61496282387376,0.187863133985915,0.713113120844495
"82","Inositol-6TMS(3)-Scyllo","temperature",2,1.09131768888077e-06,1.401182122456,0.257325027168929,0.734410199543197
"83","Inositol-6TMS(3)-Scyllo","parent",2,2.32981909192814e-06,2.99133872146282,0.0607655741915972,0.690240779089083
"84","Inositol-6TMS(3)-Scyllo","temperature:parent",4,1.62253279857592e-06,1.04161417597596,0.396950140023666,0.823526011612391
