Plate,well,code,Gradient_Temperature,Symbiont,Rdark26,QYdark26,NPQdark26,NPlight26,QYlight26,NPQlight26,LEDRgradient,QYgradient,NPQgradient
C-Cold,Area 1,C-Cold Area 1,29,C,-22.97274222222218,0.6936426243256429,0.029010007757125016,-44.68149066666675,0.4514119331597213,0.5034055146436422,-215.47597555555552,0.6435959843690274,0.22757737509018564
C-Cold,Area 10,C-Cold Area 10,24,C,-17.63148000000009,0.6201736726385692,0.03159300072654737,-78.00914666666682,0.3917005496993377,0.3712944722314599,-443.0887833333335,0.5954996245783282,0.14399923950283416
C-Cold,Area 11,C-Cold Area 11,21,C,4.7453511111113285,0.6038185794729879,0.07181888253179355,0.5607386666667783,0.37023084820994095,0.38887768715189097,-66.80858833333316,0.5877750087194474,0.031102657019059628
C-Cold,Area 12,C-Cold Area 12,20,C,4.1683022222222155,0.6286234322815614,-0.00920737458023816,5.2804986666667775,0.41733717888174643,0.29392835137119616,-37.087919999999976,0.6455809381241194,-0.07647514460408959
C-Cold,Area 13,C-Cold Area 13,29,C,22.255888888888876,0.6854947623961075,0.0438988692490327,21.637005333333267,0.4269189850503942,0.5754903644335333,-366.79653333333334,0.6449848219069969,0.20101097936336454
C-Cold,Area 14,C-Cold Area 14,28,C,47.73773777777816,0.6737601647141493,0.05506624777299794,10.633997333333586,0.41707241629833475,0.46892907263477224,-314.6605955555553,0.6393081200834854,0.07311378747669181
C-Cold,Area 15,C-Cold Area 15,26,C,-33.42062222222238,0.6198048567872375,0.05972033726036337,-70.70095199999992,0.35534263065876814,0.5192248013142983,-333.2554677777779,0.5874896907815189,0.12799642147198578
C-Cold,Area 16,C-Cold Area 16,24,C,-4.208955555555601,0.6179550164302191,-0.013392938535013688,-52.640442666666644,0.38240820925686414,0.3771211624345105,-274.54382055555556,0.610078147724011,0.06600445674522105
C-Cold,Area 17,C-Cold Area 17,21,C,-24.859595555555764,0.5897185354982422,0.013650208399854416,-75.2158106666669,0.35736194404974453,0.29827218360508145,-256.65273944444476,0.5373873014805851,0.03817684851592388
C-Cold,Area 18,C-Cold Area 18,20,C,-16.536431111111355,0.6470259387180183,0.040693677904607733,-19.530066666666777,0.40712843741303467,0.45227689196511045,-118.2614044444446,0.6006087974171862,0.08701210802792939
C-Cold,Area 19,C-Cold Area 19,29,C,2.4815377777777834,0.6674826916342766,0.046020500090322755,-35.86401066666668,0.3939179819183777,0.5106159859894288,-195.99124055555546,0.6261228050627281,0.16570367982961307
C-Cold,Area 2,C-Cold Area 2,28,C,-27.1733955555555,0.6603887849983945,0.04919087905125328,-25.31834933333327,0.4090240620107853,0.4994927460365541,-383.5735877777777,0.6151911573123131,0.17201586425141913
C-Cold,Area 20,C-Cold Area 20,28,C,-33.18136444444446,0.6801590694422943,0.011827331403612034,-80.235088,0.3980106928203091,0.5191779913032565,-473.5445555555556,0.6486931499075137,0.0942962920023274
C-Cold,Area 21,C-Cold Area 21,26,C,15.263782222222492,0.6548480033436171,0.036082184728700346,-8.90733333333318,0.3866409739838389,0.4692677578286377,-368.50723999999985,0.622969219141055,0.08354904010440796
C-Cold,Area 22,C-Cold Area 22,24,C,-4.79113777777788,0.615569482621225,0.025647723558614798,23.559592000000073,0.3511748047323362,0.5654923108377437,-16.287642222222146,0.589046868063578,0.13402876802166927
C-Cold,Area 23,C-Cold Area 23,21,C,18.762488888889006,0.6412634257830054,0.03222859121071176,23.80269066666675,0.3963299699980264,0.5253640538718692,-380.94475055555546,0.6036527157564837,0.09395266442996904
C-Cold,Area 24,C-Cold Area 24,20,C,-3.5381555555551634,0.6558947980829162,0.04898195770444131,-15.947525333332887,0.3959561929765461,0.3967145507405966,-134.64419722222192,0.643459902405342,-0.02460444691171761
C-Cold,Area 3,C-Cold Area 3,26,C,-9.101964444444457,0.5874070132097493,0.02432136100998452,-27.95602133333324,0.3749875411024748,0.25213664152898324,-338.6061005555556,0.5995800301818145,-0.10597326459017603
C-Cold,Area 4,C-Cold Area 4,24,C,0.322208888888983,0.6367718482134413,0.045605522062748656,-0.13298666666649903,0.4078924643087986,0.543012293687652,-185.04283333333325,0.6152923494491648,0.22782956684428124
C-Cold,Area 5,C-Cold Area 5,21,C,-7.458480000000256,0.6408881829452817,0.027933827542380853,27.179421333333156,0.4109959271687043,0.3732109603722771,-304.31452222222237,0.6148618823939118,-0.014147852723719621
C-Cold,Area 6,C-Cold Area 6,20,C,15.881933333333372,0.677645421665085,0.08982001528026459,29.156503999999938,0.4529632670398337,0.4868054141290533,-121.62904722222224,0.6502772376416052,0.04058180580306939
C-Cold,Area 7,C-Cold Area 7,29,C,1.7822222222221573,0.6942734748960332,0.010443808245208453,-1.5209279999999368,0.4424354802936085,0.5575639485959623,-0.31980666666665153,0.6445765013536991,0.2977332442788787
C-Cold,Area 8,C-Cold Area 8,28,C,-44.93352888888912,0.6344606282399263,0.01545517790309389,-81.98940800000011,0.3802419847785262,0.4286996614305239,-458.41482833333345,0.6003364010133033,0.06299696108271656
C-Cold,Area 9,C-Cold Area 9,26,C,-65.01408888888876,0.6165020541513622,0.02003289915185502,-132.89813333333316,0.3474734190479845,0.4976508516863175,-531.0929411111109,0.5663174905686943,0.15847223473375055
C-Warm,Area 1,C-Warm Area 1,38,C,13.369368888888939,0.6560401277761803,0.14794814723105568,-24.53902933333312,0.4521952197437396,0.5838896575598466,-252.5569899999999,0.5535882562949803,0.6106375718794997
C-Warm,Area 10,C-Warm Area 10,33,C,-36.55132888888911,0.6391916642781023,0.03384772237092381,-63.42499200000016,0.41188084826879834,0.408097622262907,-560.0949116666668,0.5919704842674578,0.21326438659746022
C-Warm,Area 11,C-Warm Area 11,32,C,16.13666666666678,0.6178823532514666,0.11119485533608206,-3.3841839999997556,0.39501788427615214,0.5745867284767916,-79.08318611111086,0.5650490170557863,0.34247292599789214
C-Warm,Area 12,C-Warm Area 12,31,C,6.088924444444921,0.6614068048541878,0.054177188963398334,7.048149333333665,0.43417032658427007,0.4949066850139179,41.253385555556,0.6130527127263394,0.26011418406151243
C-Warm,Area 13,C-Warm Area 13,38,C,-6.831546666666529,0.6518861818357373,0.08351901648285555,4.804181333333545,0.4339082061902447,0.4076014497188188,-333.9598577777776,0.5644648909248027,0.40873478331989427
C-Warm,Area 14,C-Warm Area 14,37,C,-88.73454666666657,0.6650804639927909,0.06561497735349837,-101.62886666666672,0.41448529234213827,0.597457325692313,-590.1819761111111,0.6067420561639434,0.31080043269949975
C-Warm,Area 15,C-Warm Area 15,34,C,-27.127639999999925,0.6272283812150239,0.04750486505793793,-8.123861333333188,0.3831028992090613,0.5139627710473962,-402.0694544444444,0.5664452248262052,0.3427190221245075
C-Warm,Area 16,C-Warm Area 16,33,C,-68.8987377777775,0.6300497172472543,0.1075339520491183,-90.15961066666661,0.40947954578583984,0.40526131664192183,-419.11677111111095,0.5802965738875258,0.2492313278689965
C-Warm,Area 17,C-Warm Area 17,32,C,-43.9622088888888,0.627388324527387,0.047095923335627565,-58.165437333333394,0.36779769753172503,0.408717046487651,-263.24504277777777,0.5769703595973276,0.232444893629864
C-Warm,Area 18,C-Warm Area 18,31,C,-12.153026666666443,0.6362496274805156,0.07779562257083375,-17.587999999999838,0.40968049428663944,0.5241399742576153,-89.68963111111084,0.5964416905497502,0.2948613555924964
C-Warm,Area 19,C-Warm Area 19,38,C,-30.467333333333308,0.6540717057265837,0.05644270638383056,-54.182333333333276,0.3931079946407527,0.5505590854474478,-208.60147666666668,0.5769315191249669,0.3786535171598971
C-Warm,Area 2,C-Warm Area 2,37,C,14.41279999999994,0.6051105968653885,0.15550104882587662,-19.092213333333348,0.40562166689839113,0.47289453936413867,-391.3454766666666,0.4966307617355473,0.5356985271778482
C-Warm,Area 20,C-Warm Area 20,37,C,0.07389333333331814,0.6656882329288054,0.03200756167701689,-39.64755199999995,0.41555030045239766,0.5822486368227245,-525.1651616666667,0.597348605908969,0.4126233550062948
C-Warm,Area 21,C-Warm Area 21,34,C,5.500786666666439,0.648786421137257,0.056283636486068496,-24.857792000000142,0.399244764857415,0.4475167685894598,-540.3094383333334,0.5957850757914875,0.2138558910109421
C-Warm,Area 22,C-Warm Area 22,33,C,-3.2645511111110364,0.6170847538186524,0.056802062658197594,9.96726400000019,0.35806846368671613,0.4981983651745593,77.06523333333341,0.511665477625145,0.3462575659067745
C-Warm,Area 23,C-Warm Area 23,32,C,-8.521928888888862,0.6462740094712732,0.08092818994480483,-70.93029866666664,0.3998781116465386,0.5146148024486885,-365.5825633333332,0.5865958692373519,0.30634388071436636
C-Warm,Area 24,C-Warm Area 24,31,C,-8.884324444444307,0.6466229778958115,0.0422600614413727,-10.756615999999777,0.3946091618489762,0.4741643961167413,-105.29311611111083,0.6176448994867024,0.17405181239139395
C-Warm,Area 3,C-Warm Area 3,34,C,-8.648048888888864,0.6392419470739347,0.08719632330408221,-46.218618666666735,0.4080714191072388,0.4592923976033044,-387.1120016666667,0.5811811984902819,0.3118964126557279
C-Warm,Area 4,C-Warm Area 4,33,C,14.593173333333349,0.6489252951565997,0.08241759912064073,8.335514666666713,0.42579638379936535,0.7025868310817623,-164.27968611111092,0.5750644405002834,0.5811646112811161
C-Warm,Area 5,C-Warm Area 5,32,C,-9.837626666666619,0.6532291911857366,0.10338415121414668,7.006093333333314,0.41591812249745963,0.657759802340393,-391.13845166666664,0.5962424621004372,0.3644287387700852
C-Warm,Area 6,C-Warm Area 6,31,C,8.182057777777663,0.6812423965038735,0.12837627726025772,-6.3769440000000275,0.45200709495550284,0.542138040686135,23.15955444444436,0.6350220471870849,0.396996543917149
