Date,SDR,Run,Plate,Light_Level,Light_Value,IntervalStart,IntervalStop,Mean_T_internal_C,N_points
20230624,641,1,Plate01,1,100,6,24,29.095479452054793,73
20230624,641,1,Plate01,2,500,26,42,29.103384615384616,65
20230624,641,1,Plate01,3,0,46,63,28.65612244897959,49
20230624,710,1,Plate02,1,100,6,24,29.045342465753425,73
20230624,710,1,Plate02,2,500,26,42,28.955846153846153,65
20230624,710,1,Plate02,3,0,46,63,28.464489795918368,49
20230624,641,2,Plate03,1,100,2,22,31.482222222222223,81
20230624,641,2,Plate03,2,500,25,44,33.308181818181815,77
20230624,641,2,Plate03,3,0,46,65,33.589795918367344,49
20230624,710,2,Plate04,1,100,2,22,31.338024691358026,81
20230624,710,2,Plate04,2,500,25,44,33.80077922077922,77
20230624,710,2,Plate04,3,0,46,65,34.253750000000004,48
20230624,641,3,Plate05,1,100,2,21,29.584415584415584,77
20230624,641,3,Plate05,2,500,23,41,31.27082191780822,73
20230624,641,3,Plate05,3,0,44,62,32.13813559322034,59
20230624,710,3,Plate06,1,100,2,21,29.504935064935065,77
20230624,710,3,Plate06,2,500,23,42,31.142857142857142,77
20230624,710,3,Plate06,3,0,44,62,31.94220338983051,59
20230624,641,4,Plate07,1,100,2,18,26.289846153846153,65
20230624,641,4,Plate07,2,500,21,40,26.782857142857143,77
20230624,641,4,Plate07,3,0,43,59,26.389787234042554,47
20230624,710,4,Plate08,1,100,2,18,26.16323076923077,65
20230624,710,4,Plate08,2,500,21,40,26.7487012987013,77
20230624,710,4,Plate08,3,0,43,59,26.365744680851066,47
