"PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
"Montipora_capitata_HIv3___TS.g41028.t3","Montipora_capitata_HIv3___RNAseq.g42741.t1","Montipora_capitata_HIv3___RNAseq.g3322.t1","Montipora_capitata_HIv3___RNAseq.g9273.t1","Montipora_capitata_HIv3___RNAseq.g25510.t2","Montipora_capitata_HIv3___RNAseq.g31021.t1","Montipora_capitata_HIv3___RNAseq.g27113.t1","Montipora_capitata_HIv3___RNAseq.g43050.t1","Montipora_capitata_HIv3___RNAseq.g8991.t1","Montipora_capitata_HIv3___RNAseq.g41515.t1"
"Montipora_capitata_HIv3___RNAseq.g37035.t1","Montipora_capitata_HIv3___RNAseq.g47262.t1","Montipora_capitata_HIv3___RNAseq.42580_t","Montipora_capitata_HIv3___TS.g34848.t2","Montipora_capitata_HIv3___RNAseq.g44290.t1","Montipora_capitata_HIv3___RNAseq.g46064.t1","Montipora_capitata_HIv3___RNAseq.g41140.t1","Montipora_capitata_HIv3___RNAseq.g11428.t1","Montipora_capitata_HIv3___RNAseq.g10497.t1","Montipora_capitata_HIv3___RNAseq.g17239.t1b"
"Montipora_capitata_HIv3___RNAseq.g24595.t1","Montipora_capitata_HIv3___RNAseq.g39630.t1","Montipora_capitata_HIv3___RNAseq.g15258.t1a","Montipora_capitata_HIv3___RNAseq.g6163.t1","Montipora_capitata_HIv3___RNAseq.g3294.t1","Montipora_capitata_HIv3___RNAseq.g22559.t1","Montipora_capitata_HIv3___RNAseq.g42302.t1","Montipora_capitata_HIv3___TS.g6974.t1","Montipora_capitata_HIv3___RNAseq.g96.t2","Montipora_capitata_HIv3___RNAseq.21371_t"
"Montipora_capitata_HIv3___RNAseq.g26807.t1","Montipora_capitata_HIv3___RNAseq.g47319.t1","Montipora_capitata_HIv3___RNAseq.g26039.t1","Montipora_capitata_HIv3___TS.g10224.t1","Montipora_capitata_HIv3___RNAseq.g34921.t1","Montipora_capitata_HIv3___RNAseq.g39090.t1","Montipora_capitata_HIv3___RNAseq.g14183.t1","Montipora_capitata_HIv3___RNAseq.g19496.t1","Montipora_capitata_HIv3___TS.g20805.t1","Montipora_capitata_HIv3___RNAseq.g11956.t1"
"Montipora_capitata_HIv3___RNAseq.g44150.t1","Montipora_capitata_HIv3___RNAseq.g13018.t1b","Montipora_capitata_HIv3___TS.g18951.t1","Montipora_capitata_HIv3___RNAseq.g348.t1","Montipora_capitata_HIv3___RNAseq.g24304.t1","Montipora_capitata_HIv3___RNAseq.g33279.t1","Montipora_capitata_HIv3___TS.g2461.t1","Montipora_capitata_HIv3___RNAseq.g33736.t1","Montipora_capitata_HIv3___RNAseq.g35070.t1","Montipora_capitata_HIv3___RNAseq.g50079.t2"
"Montipora_capitata_HIv3___RNAseq.g12058.t1","Montipora_capitata_HIv3___RNAseq.g6908.t1","Montipora_capitata_HIv3___TS.g25276.t1","Montipora_capitata_HIv3___RNAseq.g6314.t1","Montipora_capitata_HIv3___RNAseq.g28615.t1","Montipora_capitata_HIv3___RNAseq.g46461.t1","Montipora_capitata_HIv3___RNAseq.g18963.t1","Montipora_capitata_HIv3___TS.g1427.t1","Montipora_capitata_HIv3___TS.g2140.t1","Montipora_capitata_HIv3___RNAseq.g43886.t1"
"Montipora_capitata_HIv3___RNAseq.g10406.t1","Montipora_capitata_HIv3___TS.g28893.t1","Montipora_capitata_HIv3___RNAseq.g47196.t1","Montipora_capitata_HIv3___RNAseq.g14950.t1","Montipora_capitata_HIv3___TS.g49506.t1","Montipora_capitata_HIv3___TS.g42652.t1","Montipora_capitata_HIv3___RNAseq.g40982.t1a","Montipora_capitata_HIv3___RNAseq.g27510.t1","Montipora_capitata_HIv3___RNAseq.g34629.t1","Montipora_capitata_HIv3___RNAseq.g13170.t1"
"Montipora_capitata_HIv3___RNAseq.g6616.t1","Montipora_capitata_HIv3___RNAseq.g19139.t1","Montipora_capitata_HIv3___TS.g21917.t1","Montipora_capitata_HIv3___RNAseq.g50084.t1","Montipora_capitata_HIv3___RNAseq.g35114.t1","Montipora_capitata_HIv3___RNAseq.g5472.t1","Montipora_capitata_HIv3___RNAseq.g16621.t1","Montipora_capitata_HIv3___RNAseq.g29050.t1","Montipora_capitata_HIv3___TS.g29173.t1","Montipora_capitata_HIv3___RNAseq.g26903.t1"
"Montipora_capitata_HIv3___RNAseq.g25752.t1","Montipora_capitata_HIv3___RNAseq.g38867.t1","Montipora_capitata_HIv3___RNAseq.g24391.t1","Montipora_capitata_HIv3___RNAseq.g15094.t1","Montipora_capitata_HIv3___RNAseq.g41209.t2","Montipora_capitata_HIv3___RNAseq.g1934.t1","Montipora_capitata_HIv3___RNAseq.g18528.t1","Montipora_capitata_HIv3___RNAseq.g10743.t1","Montipora_capitata_HIv3___TS.g7810.t1","Montipora_capitata_HIv3___RNAseq.g9177.t2"
"Montipora_capitata_HIv3___RNAseq.g5036.t1","Montipora_capitata_HIv3___RNAseq.g42740.t1","Montipora_capitata_HIv3___RNAseq.g41164.t1","Montipora_capitata_HIv3___RNAseq.g23474.t1","Montipora_capitata_HIv3___TS.g4646.t1","Montipora_capitata_HIv3___RNAseq.g12548.t1","Montipora_capitata_HIv3___RNAseq.g10554.t1","Montipora_capitata_HIv3___TS.g43060.t1","Montipora_capitata_HIv3___RNAseq.g14701.t1","Montipora_capitata_HIv3___RNAseq.g21825.t1a"
"Montipora_capitata_HIv3___RNAseq.g26806.t1","Montipora_capitata_HIv3___RNAseq.g1339.t1","Montipora_capitata_HIv3___RNAseq.g40385.t1","Montipora_capitata_HIv3___TS.g21536.t2","Montipora_capitata_HIv3___RNAseq.g19091.t1","Montipora_capitata_HIv3___TS.g37126.t1","Montipora_capitata_HIv3___RNAseq.g8051.t1","Montipora_capitata_HIv3___RNAseq.g48662.t1","Montipora_capitata_HIv3___RNAseq.g33523.t1","Montipora_capitata_HIv3___RNAseq.g20415.t1"
"Montipora_capitata_HIv3___RNAseq.g19168.t1","Montipora_capitata_HIv3___TS.g30527.t1a","Montipora_capitata_HIv3___RNAseq.g28848.t1","Montipora_capitata_HIv3___RNAseq.g4594.t1","Montipora_capitata_HIv3___RNAseq.g24085.t1","Montipora_capitata_HIv3___RNAseq.g18432.t1","Montipora_capitata_HIv3___RNAseq.g3815.t1","Montipora_capitata_HIv3___RNAseq.g36747.t1","Montipora_capitata_HIv3___RNAseq.g36108.t1","Montipora_capitata_HIv3___RNAseq.g48824.t1"
"Montipora_capitata_HIv3___RNAseq.g43146.t1","Montipora_capitata_HIv3___RNAseq.g41091.t1c","Montipora_capitata_HIv3___RNAseq.g9226.t1","Montipora_capitata_HIv3___RNAseq.g45008.t1","Montipora_capitata_HIv3___RNAseq.g50024.t2","Montipora_capitata_HIv3___RNAseq.g1922.t1","Montipora_capitata_HIv3___RNAseq.g22682.t1","Montipora_capitata_HIv3___RNAseq.g9998.t1","Montipora_capitata_HIv3___TS.g15341.t1","Montipora_capitata_HIv3___RNAseq.g45539.t1"
"Montipora_capitata_HIv3___TS.g29771.t2","Montipora_capitata_HIv3___RNAseq.g22788.t1","Montipora_capitata_HIv3___RNAseq.g46088.t1","Montipora_capitata_HIv3___RNAseq.g44456.t1","Montipora_capitata_HIv3___RNAseq.g11783.t1","Montipora_capitata_HIv3___RNAseq.g13912.t1","Montipora_capitata_HIv3___RNAseq.g26869.t1","Montipora_capitata_HIv3___RNAseq.g21966.t1","Montipora_capitata_HIv3___TS.g9966.t1","Montipora_capitata_HIv3___RNAseq.g27199.t1"
"Montipora_capitata_HIv3___RNAseq.g20224.t1","Montipora_capitata_HIv3___TS.g46351.t1","Montipora_capitata_HIv3___RNAseq.g8929.t1b","Montipora_capitata_HIv3___RNAseq.g28827.t1","Montipora_capitata_HIv3___RNAseq.g49867.t1","Montipora_capitata_HIv3___RNAseq.g30688.t1","Montipora_capitata_HIv3___RNAseq.g9093.t1","Montipora_capitata_HIv3___RNAseq.g24864.t1","Montipora_capitata_HIv3___RNAseq.g35181.t1","Montipora_capitata_HIv3___TS.g21529.t1b"
"Montipora_capitata_HIv3___RNAseq.g46692.t1","Montipora_capitata_HIv3___TS.g37860.t1","Montipora_capitata_HIv3___TS.g617.t1b","Montipora_capitata_HIv3___RNAseq.g39022.t1","Montipora_capitata_HIv3___RNAseq.g31010.t1","Montipora_capitata_HIv3___RNAseq.g26511.t1","Montipora_capitata_HIv3___TS.g50790.t1","Montipora_capitata_HIv3___RNAseq.g30413.t1","Montipora_capitata_HIv3___TS.g9050.t1a","Montipora_capitata_HIv3___RNAseq.g44249.t1"
"Montipora_capitata_HIv3___RNAseq.g8791.t1","Montipora_capitata_HIv3___RNAseq.g41096.t1","Montipora_capitata_HIv3___TS.g18949.t1","Montipora_capitata_HIv3___TS.g32274.t1","Montipora_capitata_HIv3___RNAseq.g28047.t1","Montipora_capitata_HIv3___RNAseq.g46919.t1","Montipora_capitata_HIv3___RNAseq.g44029.t1","Montipora_capitata_HIv3___RNAseq.g2896.t1","Montipora_capitata_HIv3___RNAseq.g40877.t1","Montipora_capitata_HIv3___RNAseq.g30291.t1"
"Montipora_capitata_HIv3___RNAseq.g49697.t1b","Montipora_capitata_HIv3___TS.g46764.t1a","Montipora_capitata_HIv3___RNAseq.g3556.t1","Montipora_capitata_HIv3___RNAseq.g25774.t1","Montipora_capitata_HIv3___RNAseq.g49363.t1","Montipora_capitata_HIv3___RNAseq.g41914.t1","Montipora_capitata_HIv3___RNAseq.g42611.t1","Montipora_capitata_HIv3___RNAseq.g18455.t1","Montipora_capitata_HIv3___TS.g11198.t1","Montipora_capitata_HIv3___RNAseq.g39887.t1"
"Montipora_capitata_HIv3___RNAseq.g33151.t1","Montipora_capitata_HIv3___RNAseq.g39743.t1","Montipora_capitata_HIv3___RNAseq.g41650.t1","Montipora_capitata_HIv3___RNAseq.g44664.t1","Montipora_capitata_HIv3___RNAseq.g3826.t1","Montipora_capitata_HIv3___RNAseq.g44788.t1","Montipora_capitata_HIv3___RNAseq.g48269.t1","Montipora_capitata_HIv3___RNAseq.g23033.t1","Montipora_capitata_HIv3___TS.g14223.t1","Montipora_capitata_HIv3___RNAseq.g20416.t1"
"Montipora_capitata_HIv3___RNAseq.g41225.t1","Montipora_capitata_HIv3___RNAseq.g15370.t1","Montipora_capitata_HIv3___RNAseq.g33299.t1","Montipora_capitata_HIv3___RNAseq.g15619.t1","Montipora_capitata_HIv3___RNAseq.g7090.t2","Montipora_capitata_HIv3___RNAseq.g38810.t1","Montipora_capitata_HIv3___RNAseq.g29505.t1","Montipora_capitata_HIv3___RNAseq.g10846.t1","Montipora_capitata_HIv3___RNAseq.g28314.t1","Montipora_capitata_HIv3___RNAseq.g8815.t1"
"Montipora_capitata_HIv3___RNAseq.g18811.t1","Montipora_capitata_HIv3___RNAseq.g31249.t1","Montipora_capitata_HIv3___RNAseq.g19184.t1","Montipora_capitata_HIv3___RNAseq.g11520.t1","Montipora_capitata_HIv3___RNAseq.g11141.t1","Montipora_capitata_HIv3___RNAseq.g41244.t1","Montipora_capitata_HIv3___TS.g4709.t1a","Montipora_capitata_HIv3___RNAseq.g5522.t1","Montipora_capitata_HIv3___RNAseq.g1201.t1","Montipora_capitata_HIv3___TS.g26705.t1"
"Montipora_capitata_HIv3___RNAseq.g27824.t3","Montipora_capitata_HIv3___RNAseq.g566.t1","Montipora_capitata_HIv3___RNAseq.g26906.t1","Montipora_capitata_HIv3___TS.g26545.t2","Montipora_capitata_HIv3___RNAseq.g32875.t1","Montipora_capitata_HIv3___RNAseq.g44821.t1","Montipora_capitata_HIv3___RNAseq.g5672.t1","Montipora_capitata_HIv3___RNAseq.g7757.t5c","Montipora_capitata_HIv3___RNAseq.g39634.t1","Montipora_capitata_HIv3___TS.g4242.t1a"
"Montipora_capitata_HIv3___RNAseq.g15043.t1","Montipora_capitata_HIv3___TS.g33909.t1","Montipora_capitata_HIv3___RNAseq.g29063.t1","Montipora_capitata_HIv3___RNAseq.40163_t","Montipora_capitata_HIv3___RNAseq.g2354.t1","Montipora_capitata_HIv3___RNAseq.g464.t1","Montipora_capitata_HIv3___RNAseq.g29100.t1","Montipora_capitata_HIv3___RNAseq.g19693.t1","Montipora_capitata_HIv3___RNAseq.g41268.t1","Montipora_capitata_HIv3___RNAseq.g43651.t1"
"Montipora_capitata_HIv3___RNAseq.g970.t1","Montipora_capitata_HIv3___RNAseq.g19048.t1","Montipora_capitata_HIv3___RNAseq.g42232.t1","Montipora_capitata_HIv3___RNAseq.g38150.t1","Montipora_capitata_HIv3___RNAseq.g45448.t1","Montipora_capitata_HIv3___TS.g14976.t1","Montipora_capitata_HIv3___RNAseq.g28121.t1","Montipora_capitata_HIv3___TS.g38794.t1","Montipora_capitata_HIv3___TS.g18883.t1","Montipora_capitata_HIv3___TS.g50066.t2a"
"Montipora_capitata_HIv3___RNAseq.g43337.t1","Montipora_capitata_HIv3___RNAseq.g20956.t1","Montipora_capitata_HIv3___RNAseq.g429.t1","Montipora_capitata_HIv3___RNAseq.g19833.t1","Montipora_capitata_HIv3___RNAseq.g20459.t1","Montipora_capitata_HIv3___RNAseq.g46830.t1","Montipora_capitata_HIv3___RNAseq.g17230.t1b","Montipora_capitata_HIv3___RNAseq.g3083.t1","Montipora_capitata_HIv3___TS.g42630.t1","Montipora_capitata_HIv3___TS.g25891.t1"
"Montipora_capitata_HIv3___RNAseq.g23342.t1","Montipora_capitata_HIv3___RNAseq.g8202.t1","Montipora_capitata_HIv3___RNAseq.g33844.t1","Montipora_capitata_HIv3___RNAseq.g43848.t1","Montipora_capitata_HIv3___RNAseq.g20460.t1b","Montipora_capitata_HIv3___RNAseq.g15023.t1","Montipora_capitata_HIv3___TS.g30260.t1","Montipora_capitata_HIv3___TS.g3433.t1a","Montipora_capitata_HIv3___RNAseq.g811.t1","Montipora_capitata_HIv3___RNAseq.g14427.t1"
"Montipora_capitata_HIv3___RNAseq.g49731.t1","Montipora_capitata_HIv3___RNAseq.g27563.t1","Montipora_capitata_HIv3___RNAseq.g38927.t1","Montipora_capitata_HIv3___RNAseq.g3219.t1","Montipora_capitata_HIv3___RNAseq.g26563.t2","Montipora_capitata_HIv3___RNAseq.g38357.t1","Montipora_capitata_HIv3___RNAseq.g17348.t1","Montipora_capitata_HIv3___RNAseq.g26775.t1","Montipora_capitata_HIv3___RNAseq.g4932.t1","Montipora_capitata_HIv3___RNAseq.g1901.t1"
"Montipora_capitata_HIv3___TS.g50787.t1","Montipora_capitata_HIv3___RNAseq.g28299.t3","Montipora_capitata_HIv3___RNAseq.g13236.t1","Montipora_capitata_HIv3___TS.g44259.t1","Montipora_capitata_HIv3___RNAseq.g33795.t1","Montipora_capitata_HIv3___TS.g48708.t1","Montipora_capitata_HIv3___RNAseq.g14691.t1","Montipora_capitata_HIv3___TS.g38864.t1","Montipora_capitata_HIv3___RNAseq.g46413.t1","Montipora_capitata_HIv3___RNAseq.g41999.t1"
