"PC1","PC2","PC3"
"Montipora_capitata_HIv3___TS.g41028.t3","Montipora_capitata_HIv3___RNAseq.g42741.t1","Montipora_capitata_HIv3___RNAseq.g3322.t1"
"Montipora_capitata_HIv3___RNAseq.g37035.t1","Montipora_capitata_HIv3___RNAseq.g47262.t1","Montipora_capitata_HIv3___RNAseq.42580_t"
"Montipora_capitata_HIv3___RNAseq.g24595.t1","Montipora_capitata_HIv3___RNAseq.g39630.t1","Montipora_capitata_HIv3___RNAseq.g15258.t1a"
"Montipora_capitata_HIv3___RNAseq.g26807.t1","Montipora_capitata_HIv3___RNAseq.g47319.t1","Montipora_capitata_HIv3___RNAseq.g26039.t1"
"Montipora_capitata_HIv3___RNAseq.g44150.t1","Montipora_capitata_HIv3___RNAseq.g13018.t1b","Montipora_capitata_HIv3___TS.g18951.t1"
"Montipora_capitata_HIv3___RNAseq.g12058.t1","Montipora_capitata_HIv3___RNAseq.g6908.t1","Montipora_capitata_HIv3___TS.g25276.t1"
"Montipora_capitata_HIv3___RNAseq.g10406.t1","Montipora_capitata_HIv3___TS.g28893.t1","Montipora_capitata_HIv3___RNAseq.g47196.t1"
"Montipora_capitata_HIv3___RNAseq.g6616.t1","Montipora_capitata_HIv3___RNAseq.g19139.t1","Montipora_capitata_HIv3___TS.g21917.t1"
"Montipora_capitata_HIv3___RNAseq.g25752.t1","Montipora_capitata_HIv3___RNAseq.g38867.t1","Montipora_capitata_HIv3___RNAseq.g24391.t1"
"Montipora_capitata_HIv3___RNAseq.g5036.t1","Montipora_capitata_HIv3___RNAseq.g42740.t1","Montipora_capitata_HIv3___RNAseq.g41164.t1"
"Montipora_capitata_HIv3___RNAseq.g26806.t1","Montipora_capitata_HIv3___RNAseq.g1339.t1","Montipora_capitata_HIv3___RNAseq.g40385.t1"
"Montipora_capitata_HIv3___RNAseq.g19168.t1","Montipora_capitata_HIv3___TS.g30527.t1a","Montipora_capitata_HIv3___RNAseq.g28848.t1"
"Montipora_capitata_HIv3___RNAseq.g43146.t1","Montipora_capitata_HIv3___RNAseq.g41091.t1c","Montipora_capitata_HIv3___RNAseq.g9226.t1"
"Montipora_capitata_HIv3___TS.g29771.t2","Montipora_capitata_HIv3___RNAseq.g22788.t1","Montipora_capitata_HIv3___RNAseq.g46088.t1"
"Montipora_capitata_HIv3___RNAseq.g20224.t1","Montipora_capitata_HIv3___TS.g46351.t1","Montipora_capitata_HIv3___RNAseq.g8929.t1b"
"Montipora_capitata_HIv3___RNAseq.g46692.t1","Montipora_capitata_HIv3___TS.g37860.t1","Montipora_capitata_HIv3___TS.g617.t1b"
