"","GO.ID","Term","Annotated","Significant","Expected","Rank in classicFisher","classicFisher","weightFisher","bh_adjust","bh_adjust_weight","ParentTerm","N_in_Parent"
"1","GO:0009059","macromolecule biosynthetic process",3740,936,911.59,1525,0.11201,2.7e-07,0.631883298360656,0.00163457,"macromolecule biosynthetic process",3
"2","GO:0000082","G1/S transition of mitotic cell cycle",219,76,53.38,124,0.00033,3.8e-07,0.0228950806451613,0.00163457,"G1/S transition of mitotic cell cycle",17
"3","GO:0036258","multivesicular body assembly",25,17,6.09,34,4.9e-06,4.9e-06,0.00120442,0.0103236,"multivesicular body assembly",3
"4","GO:0033045","regulation of sister chromatid segregati...",107,43,26.08,99,2e-04,6e-06,0.017379797979798,0.0103236,"G1/S transition of mitotic cell cycle",17
"5","GO:0019725","cellular homeostasis",696,174,169.64,3001,0.35907,1.1e-05,1,0.0157721666666667,"cellular homeostasis",3
"6","GO:0006272","leading strand elongation",7,7,1.71,64,5.1e-05,5.1e-05,0.006855515625,0.054844125,"leading strand elongation",31
"7","GO:0044703","multi-organism reproductive process",1302,360,317.35,217,0.00172,6.3e-05,0.0681896774193548,0.0573533333333333,"multi-organism reproductive process",6
"8","GO:0006888","endoplasmic reticulum to Golgi vesicle-m...",152,62,37.05,33,4.9e-06,7.1e-05,0.00120442,0.0573533333333333,"endoplasmic reticulum to Golgi vesicle-mediated transport",10
"9","GO:0031297","replication fork processing",29,17,7.07,78,8.4e-05,8.4e-05,0.00926476923076923,0.0573533333333333,"leading strand elongation",31
"10","GO:0051984","positive regulation of chromosome segreg...",39,24,9.51,20,8.5e-07,8.5e-05,0.0003656275,0.0573533333333333,"G1/S transition of mitotic cell cycle",17
"11","GO:1900038","negative regulation of cellular response...",9,8,2.19,79,8.7e-05,8.7e-05,0.00947418987341772,0.0573533333333333,"negative regulation of cellular response to hypoxia",8
"12","GO:0032509","endosome transport via multivesicular bo...",32,17,7.8,133,0.00043,9.8e-05,0.0278142105263158,0.0573533333333333,"endosome transport via multivesicular body sorting pathway",3
"13","GO:0000381","regulation of alternative mRNA splicing,...",63,29,15.36,90,0.00014,0.00014,0.0133824444444444,0.0708482352941176,"regulation of alternative mRNA splicing, via spliceosome",4
"14","GO:0034404","nucleobase-containing small molecule bio...",101,41,24.62,101,0.00022,0.00014,0.0180253333333333,0.0708482352941176,"nucleobase-containing small molecule biosynthetic process",5
"15","GO:1901570","fatty acid derivative biosynthetic proce...",100,41,24.37,94,0.00017,0.00018,0.0155586170212766,0.08603,"fatty acid derivative biosynthetic process",8
"16","GO:0006986","response to unfolded protein",124,57,30.22,13,1.1e-07,2e-04,7.27946153846154e-05,0.0903315,"response to unfolded protein",12
"17","GO:0030174","regulation of DNA-templated DNA replicat...",6,6,1.46,100,0.00021,0.00021,0.0180253333333333,0.0903315,"leading strand elongation",31
"18","GO:0006270","DNA replication initiation",32,21,7.8,21,9e-07,0.00028,0.0003687,0.104732173913043,"leading strand elongation",31
"19","GO:0006297","nucleotide-excision repair, DNA gap fill...",21,13,5.12,112,0.00028,0.00028,0.0215075,0.104732173913043,"leading strand elongation",31
"20","GO:0006376","mRNA splice site recognition",25,17,6.09,35,4.9e-06,0.00031,0.00120442,0.105883076923077,"mRNA splice site recognition",9
"21","GO:0033567","DNA replication, Okazaki fragment proces...",8,7,1.95,120,0.00032,0.00032,0.0223817886178862,0.105883076923077,"leading strand elongation",31
"22","GO:0030970","retrograde protein transport, ER to cyto...",30,18,7.31,58,3.4e-05,0.00048,0.00495766101694915,0.138758064516129,"retrograde protein transport, ER to cytosol",25
"23","GO:0006606","protein import into nucleus",154,52,37.54,361,0.00512,5e-04,0.121856191780822,0.138758064516129,"protein import into nucleus",14
"24","GO:0006997","nucleus organization",128,37,31.2,1655,0.13636,0.00063,0.708824821752266,0.1693715625,"nucleus organization",6
"25","GO:0006306","DNA methylation",49,23,11.94,137,0.00047,0.00067,0.0293000724637681,0.17466696969697,"leading strand elongation",31
"26","GO:0002218","activation of innate immune response",129,43,31.44,550,0.01305,0.00078,0.204125727272727,0.180453170731707,"negative regulation of cellular response to hypoxia",8
"27","GO:0010324","membrane invagination",82,29,19.99,607,0.01644,0.00085,0.233003822075783,0.180453170731707,"membrane invagination",5
"28","GO:1901142","insulin metabolic process",12,7,2.92,525,0.01229,0.00086,0.197901100746269,0.180453170731707,"insulin metabolic process",1
"29","GO:0034031","ribonucleoside bisphosphate catabolic pr...",5,5,1.22,163,0.00086,0.00086,0.0437524,0.180453170731707,"retrograde protein transport, ER to cytosol",25
"30","GO:0034034","purine nucleoside bisphosphate catabolic...",5,5,1.22,164,0.00086,0.00086,0.0437524,0.180453170731707,"retrograde protein transport, ER to cytosol",25
"31","GO:0051598","meiotic recombination checkpoint signali...",5,5,1.22,166,0.00086,0.00086,0.0437524,0.180453170731707,"G1/S transition of mitotic cell cycle",17
"32","GO:0090110","COPII-coated vesicle cargo loading",11,8,2.68,182,0.00098,0.00098,0.0463238461538462,0.200736666666667,"endoplasmic reticulum to Golgi vesicle-mediated transport",10
"33","GO:0000395","mRNA 5'-splice site recognition",7,6,1.71,196,0.00116,0.00116,0.0501481407035176,0.212329361702128,"mRNA splice site recognition",9
"34","GO:0006268","DNA unwinding involved in DNA replicatio...",7,6,1.71,197,0.00116,0.00116,0.0501481407035176,0.212329361702128,"DNA unwinding involved in DNA replication",6
