"","GO.ID","Term","Annotated","Significant","Expected","Rank in classicFisher","classicFisher","weightFisher","bh_adjust","bh_adjust_weight","ParentTerm","N_in_Parent"
"1","GO:0051289","protein homotetramerization",68,7,1.29,21,0.00028,0.00028,0.106795862068966,0.60221,"protein homotetramerization",4
"2","GO:0007155","cell adhesion",490,17,9.27,333,0.01113,0.00042,0.279776232686981,0.60221,"cell adhesion",1
"3","GO:0090251","protein localization involved in establi...",10,3,0.19,48,0.00072,0.00072,0.129045,0.693702222222222,"protein localization involved in establishment of planar polarity",4
"4","GO:0007419","ventral cord development",43,5,0.81,67,0.00123,0.00123,0.157935671641791,0.693702222222222,"ventral cord development",5
"5","GO:0042421","norepinephrine biosynthetic process",12,3,0.23,69,0.00129,0.00129,0.160287473684211,0.693702222222222,"norepinephrine biosynthetic process",3
"6","GO:0050919","negative chemotaxis",24,4,0.45,58,0.00098,0.00163,0.142897288135593,0.693702222222222,"negative chemotaxis",2
"7","GO:0000098","sulfur amino acid catabolic process",14,3,0.26,106,0.00208,0.00208,0.163457,0.693702222222222,"sulfur amino acid catabolic process",3
"8","GO:0001525","angiogenesis",269,11,5.09,377,0.01303,0.00275,0.29733976127321,0.693702222222222,"ventral cord development",5
"9","GO:0007623","circadian rhythm",222,10,4.2,314,0.00939,0.00442,0.257268057324841,0.693702222222222,"circadian rhythm",1
"10","GO:0040011","locomotion",1415,37,26.77,515,0.02198,0.00446,0.367172699029126,0.693702222222222,"negative chemotaxis",2
"11","GO:0006897","endocytosis",490,16,9.27,525,0.02286,0.00467,0.3745992,0.693702222222222,"endocytosis",1
"12","GO:0006589","octopamine biosynthetic process",6,2,0.11,210,0.00508,0.00508,0.192525286343612,0.693702222222222,"norepinephrine biosynthetic process",3
"13","GO:1903475","mitotic actomyosin contractile ring asse...",6,2,0.11,220,0.00508,0.00508,0.192525286343612,0.693702222222222,"protein homotetramerization",4
"14","GO:0090090","negative regulation of canonical Wnt sig...",113,7,2.14,233,0.0055,0.0055,0.201222711864407,0.730593230769231,"negative regulation of canonical Wnt signaling pathway",4
"15","GO:0010888","negative regulation of lipid storage",27,4,0.51,77,0.00154,0.00589,0.160287473684211,0.767752575757576,"negative regulation of lipid storage",2
"16","GO:0009410","response to xenobiotic stimulus",295,14,5.58,72,0.00137,0.00688,0.160287473684211,0.77427,"response to xenobiotic stimulus",6
"17","GO:0039532","negative regulation of cytoplasmic patte...",13,3,0.25,84,0.00165,0.00694,0.160287473684211,0.77427,"negative regulation of canonical Wnt signaling pathway",4
"18","GO:0030241","skeletal muscle myosin thick filament as...",7,2,0.13,258,0.00702,0.00702,0.227041578947368,0.77427,"protein homotetramerization",4
"19","GO:0046416","D-amino acid metabolic process",7,2,0.13,262,0.00702,0.00702,0.227041578947368,0.77427,"D-amino acid metabolic process",4
"20","GO:0070593","dendrite self-avoidance",22,3,0.42,280,0.00786,0.00786,0.239785744680851,0.84524475,"ventral cord development",5
"21","GO:1901570","fatty acid derivative biosynthetic proce...",100,6,1.89,342,0.01156,0.00849,0.279776232686981,0.901721851851852,"fatty acid derivative biosynthetic process",1
"22","GO:0071276","cellular response to cadmium ion",23,3,0.44,292,0.00892,0.00892,0.255891150159744,0.920619885057471,"response to xenobiotic stimulus",6
"23","GO:0030950","establishment or maintenance of actin cy...",8,2,0.15,303,0.00924,0.00924,0.255891150159744,0.920619885057471,"establishment or maintenance of actin cytoskeleton polarity",2
"24","GO:0071896","protein localization to adherens junctio...",8,2,0.15,304,0.00924,0.00924,0.255891150159744,0.920619885057471,"protein localization involved in establishment of planar polarity",4
"25","GO:0007367","segment polarity determination",44,4,0.83,311,0.00931,0.00931,0.255891150159744,0.920619885057471,"segment polarity determination",2
"26","GO:0051591","response to cAMP",73,6,1.38,126,0.0025,0.00976,0.169350393700787,0.94343011235955,"response to xenobiotic stimulus",6
"27","GO:0030207","chondroitin sulfate catabolic process",24,3,0.45,321,0.01005,0.01005,0.266560646153846,0.950111538461538,"sulfur amino acid catabolic process",3
"28","GO:0001816","cytokine production",300,13,5.68,191,0.00445,0.01034,0.192525286343612,0.966902391304348,"cytokine production",2
"29","GO:0097164","ammonium ion metabolic process",142,8,2.69,231,0.00544,0.01171,0.201222711864407,1,"ammonium ion metabolic process",1
"30","GO:0015811","L-cystine transport",9,2,0.17,351,0.01174,0.01174,0.279776232686981,1,"L-cystine transport",1
