"gene","loading","abs_loading","rank","cum_abs","cum_abs_prop","var_contrib","cum_var","selected_elbow","selected_25_var"
"Montipora_capitata_HIv3___RNAseq.g42599.t1",0.0571352091762483,0.0571352091762483,1,0.0571352091762483,0.000539250098670517,0.00326443212761365,0.00326443212761364,TRUE,TRUE
"Montipora_capitata_HIv3___TS.g9947.t1",0.0566890743991744,0.0566890743991744,2,0.113824283575423,0.001074289514891,0.00321365115623513,0.00647808328384876,TRUE,TRUE
"Montipora_capitata_HIv3___TS.g50787.t1",0.0505274874645072,0.0505274874645072,3,0.16435177103993,0.00155117501148135,0.00255302698947594,0.0090311102733247,TRUE,TRUE
"Montipora_capitata_HIv3___TS.g35289.t2",0.049368644905192,0.049368644905192,4,0.213720415945122,0.00201712318984947,0.00243726309977494,0.0114683733730996,TRUE,TRUE
"Montipora_capitata_HIv3___RNAseq.g23607.t1",0.0409494495481136,0.0409494495481136,5,0.254669865493236,0.00240360982440796,0.0016768574182935,0.0131452307913931,TRUE,TRUE
"Montipora_capitata_HIv3___TS.g11315.t1",0.0407840827295404,0.0407840827295404,6,0.295453948222776,0.00278853570379433,0.00166334140408999,0.0148085721954831,TRUE,TRUE
"Montipora_capitata_HIv3___RNAseq.g24505.t1",0.0404585357028171,0.0404585357028171,7,0.335912483925593,0.00317038902479133,0.00163689311121613,0.0164454653066992,TRUE,TRUE
"Montipora_capitata_HIv3___RNAseq.g42280.t1",0.0401189298527454,0.0401189298527454,8,0.376031413778338,0.00354903709825707,0.00160952853252951,0.0180549938392287,TRUE,TRUE
"Montipora_capitata_HIv3___RNAseq.g611.t1",0.039718550798688,0.039718550798688,9,0.415749964577026,0.00392390633818883,0.00157756327754796,0.0196325571167767,TRUE,TRUE
"Montipora_capitata_HIv3___RNAseq.g37572.t1",0.0395142863976861,0.0395142863976861,10,0.455264250974712,0.00429684770212288,0.00156137882951836,0.021193935946295,TRUE,TRUE
"Montipora_capitata_HIv3___RNAseq.g14844.t1",0.0387395913923553,0.0387395913923553,11,0.494003842367068,0.00466247738619984,0.00150075594124665,0.0226946918875417,TRUE,TRUE
"Montipora_capitata_HIv3___RNAseq.g14846.t1",0.0386177156858807,0.0386177156858807,12,0.532621558052949,0.00502695679030603,0.00149132796479552,0.0241860198523372,TRUE,TRUE
"Montipora_capitata_HIv3___RNAseq.g14847.t1",0.0385611364210924,0.0385611364210924,13,0.571182694474041,0.00539090219139446,0.0014869612420861,0.0256729810944233,TRUE,TRUE
"Montipora_capitata_HIv3___RNAseq.g30709.t1",0.0383550197594926,0.0383550197594926,14,0.609537714233534,0.00575290223459049,0.00147110754075107,0.0271440886351744,TRUE,TRUE
"Montipora_capitata_HIv3___RNAseq.g43337.t1",0.0377872011109459,0.0377872011109459,15,0.64732491534448,0.00610954312593129,0.00142787256779907,0.0285719612029734,TRUE,TRUE
"Montipora_capitata_HIv3___RNAseq.g24626.t1",0.0374154637972064,0.0374154637972064,16,0.684740379141686,0.00646267550849084,0.00139991693116006,0.0299718781341335,TRUE,TRUE
"Montipora_capitata_HIv3___TS.g41058.t2",-0.0370444211286624,0.0370444211286624,17,0.721784800270348,0.00681230593842768,0.00137228913675769,0.0313441672708912,TRUE,TRUE
"Montipora_capitata_HIv3___RNAseq.g16012.t1",0.0369823476154505,0.0369823476154505,18,0.758767147885799,0.0071613505098614,0.00136769403515001,0.0327118613060412,TRUE,TRUE
"Montipora_capitata_HIv3___RNAseq.g40839.t1",0.0368460566923555,0.0368460566923555,19,0.795613204578154,0.00750910874849286,0.00135763189377627,0.0340694931998175,TRUE,TRUE
"Montipora_capitata_HIv3___RNAseq.g18634.t1",0.0366898425582645,0.0366898425582645,20,0.832303047136419,0.00785539261626899,0.00134614454695024,0.0354156377467677,TRUE,TRUE
"Montipora_capitata_HIv3___RNAseq.g33131.t1",0.0364647064149681,0.0364647064149681,21,0.868767753551387,0.00819955161762323,0.00132967481392981,0.0367453125606975,TRUE,TRUE
"Montipora_capitata_HIv3___RNAseq.g24504.t1",0.0364244494484049,0.0364244494484049,22,0.905192202999792,0.00854333066809421,0.0013267405176194,0.0380720530783169,TRUE,TRUE
"Montipora_capitata_HIv3___RNAseq.g5100.t1",0.0356632136720351,0.0356632136720351,23,0.940855416671827,0.00887992506879428,0.00127186480941723,0.0393439178877341,TRUE,TRUE
"Montipora_capitata_HIv3___RNAseq.g3971.t1",0.0353097456088399,0.0353097456088399,24,0.976165162280667,0.00921318338845601,0.00124677813496099,0.0405906960226951,TRUE,TRUE
"Montipora_capitata_HIv3___RNAseq.g11984.t1",0.0352355354746718,0.0352355354746718,25,1.01140069775534,0.00954574130248784,0.00124154296018685,0.041832238982882,TRUE,TRUE
"Montipora_capitata_HIv3___TS.g30067.t1",0.0351764288540424,0.0351764288540424,26,1.04657712660938,0.00987774135996385,0.0012373811469235,0.0430696201298055,TRUE,TRUE
"Montipora_capitata_HIv3___RNAseq.g6390.t1",0.0348733430161603,0.0348733430161603,27,1.08145046962554,0.0102068808508936,0.00121615005312277,0.0442857701829282,TRUE,TRUE
"Montipora_capitata_HIv3___TS.g7042.t1",0.0342761224261535,0.0342761224261535,28,1.11572659205169,0.0105303836903307,0.00117485256857266,0.0454606227515009,TRUE,TRUE
"Montipora_capitata_HIv3___RNAseq.g37645.t1",0.0342667231620346,0.0342667231620346,29,1.14999331521373,0.0108537978181978,0.00117420831626352,0.0466348310677644,TRUE,TRUE
"Montipora_capitata_HIv3___RNAseq.g12058.t1",-0.0338762980510548,0.0338762980510548,30,1.18386961326478,0.0111735270592385,0.0011476035696439,0.0477824346374083,TRUE,TRUE
"Montipora_capitata_HIv3___TS.g47954.t1",0.0334156748412043,0.0334156748412043,31,1.21728528810599,0.0114889088739733,0.00111660732509309,0.0488990419625014,TRUE,TRUE
"Montipora_capitata_HIv3___RNAseq.g49664.t1b",-0.0332630613021628,0.0332630613021628,32,1.25054834940815,0.0118028503007728,0.00110643124719144,0.0500054732096928,TRUE,TRUE
