GOterm,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,bh_adjust
GO:0008150,0,1,4,4,biological_process,BP,0
GO:0009987,0,1,4,4,cellular process,BP,0
GO:0051179,2.76180077663273e-11,1,3,3,localization,BP,3.21714550205603e-10
GO:0032501,2.8101572156513514e-11,1,3,3,multicellular organismal process,BP,3.21714550205603e-10
GO:0032502,2.8101572156513514e-11,1,3,3,developmental process,BP,3.21714550205603e-10
GO:0050896,2.8101572156513514e-11,1,3,3,response to stimulus,BP,3.21714550205603e-10
GO:0006810,9.674569629557614e-8,1,2,2,transport,BP,5.534978809514784e-7
GO:0016043,9.674569629557614e-8,1,2,2,cellular component organization,BP,5.534978809514784e-7
GO:0051234,9.674569629557614e-8,1,2,2,establishment of localization,BP,5.534978809514784e-7
GO:0071840,9.674569629557614e-8,1,2,2,cellular component organization or biogenesis,BP,5.534978809514784e-7
GO:0006807,9.851534163659944e-8,1,2,2,nitrogen compound metabolic process,BP,5.534978809514784e-7
GO:0008152,9.851534163659944e-8,1,2,2,metabolic process,BP,5.534978809514784e-7
GO:0009058,9.851534163659944e-8,1,2,2,biosynthetic process,BP,5.534978809514784e-7
GO:0034641,9.851534163659944e-8,1,2,2,cellular nitrogen compound metabolic process,BP,5.534978809514784e-7
GO:0044237,9.851534163659944e-8,1,2,2,cellular metabolic process,BP,5.534978809514784e-7
GO:0044238,9.851534163659944e-8,1,2,2,primary metabolic process,BP,5.534978809514784e-7
GO:0044249,9.851534163659944e-8,1,2,2,cellular biosynthetic process,BP,5.534978809514784e-7
GO:0071704,9.851534163659944e-8,1,2,2,organic substance metabolic process,BP,5.534978809514784e-7
GO:0065007,1.0981503333931574e-7,1,2,2,biological regulation,BP,5.534978809514784e-7
GO:0065008,1.0981503333931574e-7,1,2,2,regulation of biological quality,BP,5.534978809514784e-7
GO:0001655,1.1133330278750356e-7,1,2,2,urogenital system development,BP,5.534978809514784e-7
GO:0001822,1.1133330278750356e-7,1,2,2,kidney development,BP,5.534978809514784e-7
GO:0007275,1.1133330278750356e-7,1,2,2,multicellular organism development,BP,5.534978809514784e-7
GO:0009888,1.1133330278750356e-7,1,2,2,tissue development,BP,5.534978809514784e-7
GO:0042221,1.1133330278750356e-7,1,2,2,response to chemical,BP,5.534978809514784e-7
GO:0048513,1.1133330278750356e-7,1,2,2,animal organ development,BP,5.534978809514784e-7
GO:0048731,1.1133330278750356e-7,1,2,2,system development,BP,5.534978809514784e-7
GO:0048856,1.1133330278750356e-7,1,2,2,anatomical structure development,BP,5.534978809514784e-7
GO:0060429,1.1133330278750356e-7,1,2,2,epithelium development,BP,5.534978809514784e-7
GO:0072001,1.1133330278750356e-7,1,2,2,renal system development,BP,5.534978809514784e-7
GO:0006950,1.1169987356550918e-7,1,2,2,response to stress,BP,5.534978809514784e-7
GO:0006897,3.3006806295202135e-4,1,1,1,endocytosis,BP,3.784425224993134e-4
GO:0006996,3.3006806295202135e-4,1,1,1,organelle organization,BP,3.784425224993134e-4
GO:0007032,3.3006806295202135e-4,1,1,1,endosome organization,BP,3.784425224993134e-4
GO:0010256,3.3006806295202135e-4,1,1,1,endomembrane system organization,BP,3.784425224993134e-4
GO:0016050,3.3006806295202135e-4,1,1,1,vesicle organization,BP,3.784425224993134e-4
GO:0016192,3.3006806295202135e-4,1,1,1,vesicle-mediated transport,BP,3.784425224993134e-4
GO:0032535,3.3006806295202135e-4,1,1,1,regulation of cellular component size,BP,3.784425224993134e-4
GO:0090066,3.3006806295202135e-4,1,1,1,regulation of anatomical structure size,BP,3.784425224993134e-4
GO:0097494,3.3006806295202135e-4,1,1,1,regulation of vesicle size,BP,3.784425224993134e-4
GO:0098657,3.3006806295202135e-4,1,1,1,import into cell,BP,3.784425224993134e-4
GO:0000096,3.34948960590618e-4,1,1,1,sulfur amino acid metabolic process,BP,3.784425224993134e-4
GO:0000098,3.34948960590618e-4,1,1,1,sulfur amino acid catabolic process,BP,3.784425224993134e-4
GO:0001889,3.34948960590618e-4,1,1,1,liver development,BP,3.784425224993134e-4
GO:0006082,3.34948960590618e-4,1,1,1,organic acid metabolic process,BP,3.784425224993134e-4
GO:0006403,3.34948960590618e-4,1,1,1,RNA localization,BP,3.784425224993134e-4
GO:0006520,3.34948960590618e-4,1,1,1,cellular amino acid metabolic process,BP,3.784425224993134e-4
GO:0006534,3.34948960590618e-4,1,1,1,cysteine metabolic process,BP,3.784425224993134e-4
GO:0006790,3.34948960590618e-4,1,1,1,sulfur compound metabolic process,BP,3.784425224993134e-4
GO:0006839,3.34948960590618e-4,1,1,1,mitochondrial transport,BP,3.784425224993134e-4
GO:0007399,3.34948960590618e-4,1,1,1,nervous system development,BP,3.784425224993134e-4
GO:0007417,3.34948960590618e-4,1,1,1,central nervous system development,BP,3.784425224993134e-4
GO:0009056,3.34948960590618e-4,1,1,1,catabolic process,BP,3.784425224993134e-4
GO:0009063,3.34948960590618e-4,1,1,1,cellular amino acid catabolic process,BP,3.784425224993134e-4
GO:0009069,3.34948960590618e-4,1,1,1,serine family amino acid metabolic process,BP,3.784425224993134e-4
GO:0009092,3.34948960590618e-4,1,1,1,homoserine metabolic process,BP,3.784425224993134e-4
GO:0009403,3.34948960590618e-4,1,1,1,toxin biosynthetic process,BP,3.784425224993134e-4
GO:0009404,3.34948960590618e-4,1,1,1,toxin metabolic process,BP,3.784425224993134e-4
GO:0009439,3.34948960590618e-4,1,1,1,cyanate metabolic process,BP,3.784425224993134e-4
GO:0009440,3.34948960590618e-4,1,1,1,cyanate catabolic process,BP,3.784425224993134e-4
GO:0009636,3.34948960590618e-4,1,1,1,response to toxic substance,BP,3.784425224993134e-4
GO:0015931,3.34948960590618e-4,1,1,1,nucleobase-containing compound transport,BP,3.784425224993134e-4
GO:0016054,3.34948960590618e-4,1,1,1,organic acid catabolic process,BP,3.784425224993134e-4
GO:0016226,3.34948960590618e-4,1,1,1,iron-sulfur cluster assembly,BP,3.784425224993134e-4
GO:0019346,3.34948960590618e-4,1,1,1,transsulfuration,BP,3.784425224993134e-4
GO:0019748,3.34948960590618e-4,1,1,1,secondary metabolic process,BP,3.784425224993134e-4
GO:0019752,3.34948960590618e-4,1,1,1,carboxylic acid metabolic process,BP,3.784425224993134e-4
GO:0021510,3.34948960590618e-4,1,1,1,spinal cord development,BP,3.784425224993134e-4
GO:0022607,3.34948960590618e-4,1,1,1,cellular component assembly,BP,3.784425224993134e-4
GO:0030154,3.34948960590618e-4,1,1,1,cell differentiation,BP,3.784425224993134e-4
GO:0030855,3.34948960590618e-4,1,1,1,epithelial cell differentiation,BP,3.784425224993134e-4
GO:0031163,3.34948960590618e-4,1,1,1,metallo-sulfur cluster assembly,BP,3.784425224993134e-4
GO:0033036,3.34948960590618e-4,1,1,1,macromolecule localization,BP,3.784425224993134e-4
GO:0035927,3.34948960590618e-4,1,1,1,RNA import into mitochondrion,BP,3.784425224993134e-4
GO:0035928,3.34948960590618e-4,1,1,1,rRNA import into mitochondrion,BP,3.784425224993134e-4
GO:0043436,3.34948960590618e-4,1,1,1,oxoacid metabolic process,BP,3.784425224993134e-4
GO:0044085,3.34948960590618e-4,1,1,1,cellular component biogenesis,BP,3.784425224993134e-4
GO:0044248,3.34948960590618e-4,1,1,1,cellular catabolic process,BP,3.784425224993134e-4
GO:0044270,3.34948960590618e-4,1,1,1,cellular nitrogen compound catabolic process,BP,3.784425224993134e-4
GO:0044272,3.34948960590618e-4,1,1,1,sulfur compound biosynthetic process,BP,3.784425224993134e-4
GO:0044273,3.34948960590618e-4,1,1,1,sulfur compound catabolic process,BP,3.784425224993134e-4
GO:0044281,3.34948960590618e-4,1,1,1,small molecule metabolic process,BP,3.784425224993134e-4
GO:0044282,3.34948960590618e-4,1,1,1,small molecule catabolic process,BP,3.784425224993134e-4
GO:0044550,3.34948960590618e-4,1,1,1,secondary metabolite biosynthetic process,BP,3.784425224993134e-4
GO:0046395,3.34948960590618e-4,1,1,1,carboxylic acid catabolic process,BP,3.784425224993134e-4
GO:0048732,3.34948960590618e-4,1,1,1,gland development,BP,3.784425224993134e-4
GO:0048869,3.34948960590618e-4,1,1,1,cellular developmental process,BP,3.784425224993134e-4
GO:0050657,3.34948960590618e-4,1,1,1,nucleic acid transport,BP,3.784425224993134e-4
GO:0050658,3.34948960590618e-4,1,1,1,RNA transport,BP,3.784425224993134e-4
GO:0050667,3.34948960590618e-4,1,1,1,homocysteine metabolic process,BP,3.784425224993134e-4
GO:0051029,3.34948960590618e-4,1,1,1,rRNA transport,BP,3.784425224993134e-4
GO:0051236,3.34948960590618e-4,1,1,1,establishment of RNA localization,BP,3.784425224993134e-4
GO:0055085,3.34948960590618e-4,1,1,1,transmembrane transport,BP,3.784425224993134e-4
GO:0061008,3.34948960590618e-4,1,1,1,hepaticobiliary system development,BP,3.784425224993134e-4
GO:0070813,3.34948960590618e-4,1,1,1,hydrogen sulfide metabolic process,BP,3.784425224993134e-4
GO:0070814,3.34948960590618e-4,1,1,1,hydrogen sulfide biosynthetic process,BP,3.784425224993134e-4
