GOterm,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,bh_adjust
GO:0003008,0,1,5,5,system process,BP,0
GO:0006066,0,1,5,5,alcohol metabolic process,BP,0
GO:0006082,0,1,5,5,organic acid metabolic process,BP,0
GO:0006139,0,1,5,5,nucleobase-containing compound metabolic process,BP,0
GO:0006355,0,1,5,5,regulation of DNA-templated transcription,BP,0
GO:0006725,0,1,9,9,cellular aromatic compound metabolic process,BP,0
GO:0006807,0,1,13,13,nitrogen compound metabolic process,BP,0
GO:0006810,0,1,5,5,transport,BP,0
GO:0006950,0,1,8,8,response to stress,BP,0
GO:0006996,0,1,5,5,organelle organization,BP,0
GO:0007154,0,1,9,9,cell communication,BP,0
GO:0007165,0,1,9,9,signal transduction,BP,0
GO:0007166,0,1,7,7,cell surface receptor signaling pathway,BP,0
GO:0007275,0,1,9,9,multicellular organism development,BP,0
GO:0007399,0,1,5,5,nervous system development,BP,0
GO:0008150,0,1,21,21,biological_process,BP,0
GO:0008152,0,1,16,16,metabolic process,BP,0
GO:0008283,0,1,6,6,cell population proliferation,BP,0
GO:0009056,0,1,6,6,catabolic process,BP,0
GO:0009058,0,1,9,9,biosynthetic process,BP,0
GO:0009605,0,1,6,6,response to external stimulus,BP,0
GO:0009628,0,1,6,6,response to abiotic stimulus,BP,0
GO:0009653,0,1,7,7,anatomical structure morphogenesis,BP,0
GO:0009719,0,1,7,7,response to endogenous stimulus,BP,0
GO:0009725,0,1,6,6,response to hormone,BP,0
GO:0009790,0,1,5,5,embryo development,BP,0
GO:0009792,0,1,5,5,embryo development ending in birth or egg hatching,BP,0
GO:0009887,0,1,6,6,animal organ morphogenesis,BP,0
GO:0009888,0,1,5,5,tissue development,BP,0
GO:0009889,0,1,7,7,regulation of biosynthetic process,BP,0
GO:0009891,0,1,5,5,positive regulation of biosynthetic process,BP,0
GO:0009892,0,1,5,5,negative regulation of metabolic process,BP,0
GO:0009893,0,1,7,7,positive regulation of metabolic process,BP,0
GO:0009987,0,1,20,20,cellular process,BP,0
GO:0010033,0,1,11,11,response to organic substance,BP,0
GO:0010468,0,1,8,8,regulation of gene expression,BP,0
GO:0010556,0,1,7,7,regulation of macromolecule biosynthetic process,BP,0
GO:0010557,0,1,5,5,positive regulation of macromolecule biosynthetic process,BP,0
GO:0010604,0,1,7,7,positive regulation of macromolecule metabolic process,BP,0
