GOterm,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,bh_adjust
GO:0006807,0,1,5,5,nitrogen compound metabolic process,BP,0
GO:0006810,0,1,5,5,transport,BP,0
GO:0006950,0,1,5,5,response to stress,BP,0
GO:0006996,0,1,5,5,organelle organization,BP,0
GO:0007154,0,1,5,5,cell communication,BP,0
GO:0007165,0,1,5,5,signal transduction,BP,0
GO:0007275,0,1,8,8,multicellular organism development,BP,0
GO:0008150,0,1,16,16,biological_process,BP,0
GO:0008152,0,1,6,6,metabolic process,BP,0
GO:0009605,0,1,6,6,response to external stimulus,BP,0
GO:0009628,0,1,5,5,response to abiotic stimulus,BP,0
GO:0009653,0,1,6,6,anatomical structure morphogenesis,BP,0
GO:0009893,0,1,6,6,positive regulation of metabolic process,BP,0
GO:0009966,0,1,5,5,regulation of signal transduction,BP,0
GO:0009987,0,1,14,14,cellular process,BP,0
GO:0010033,0,1,5,5,response to organic substance,BP,0
GO:0010468,0,1,6,6,regulation of gene expression,BP,0
GO:0010604,0,1,6,6,positive regulation of macromolecule metabolic process,BP,0
GO:0010646,0,1,5,5,regulation of cell communication,BP,0
GO:0016043,0,1,9,9,cellular component organization,BP,0
GO:0019222,0,1,8,8,regulation of metabolic process,BP,0
GO:0022607,0,1,7,7,cellular component assembly,BP,0
GO:0023051,0,1,5,5,regulation of signaling,BP,0
GO:0023052,0,1,5,5,signaling,BP,0
GO:0030154,0,1,6,6,cell differentiation,BP,0
GO:0031323,0,1,7,7,regulation of cellular metabolic process,BP,0
GO:0031325,0,1,5,5,positive regulation of cellular metabolic process,BP,0
GO:0032268,0,1,5,5,regulation of cellular protein metabolic process,BP,0
GO:0032501,0,1,9,9,multicellular organismal process,BP,0
GO:0032502,0,1,10,10,developmental process,BP,0
GO:0032879,0,1,5,5,regulation of localization,BP,0
GO:0042221,0,1,8,8,response to chemical,BP,0
GO:0044085,0,1,7,7,cellular component biogenesis,BP,0
GO:0044237,0,1,6,6,cellular metabolic process,BP,0
GO:0045595,0,1,5,5,regulation of cell differentiation,BP,0
GO:0048513,0,1,6,6,animal organ development,BP,0
GO:0048518,0,1,9,9,positive regulation of biological process,BP,0
GO:0048519,0,1,8,8,negative regulation of biological process,BP,0
GO:0048522,0,1,7,7,positive regulation of cellular process,BP,0
GO:0048523,0,1,8,8,negative regulation of cellular process,BP,0
GO:0048583,0,1,7,7,regulation of response to stimulus,BP,0
GO:0048646,0,1,5,5,anatomical structure formation involved in morphogenesis,BP,0
GO:0048731,0,1,7,7,system development,BP,0
GO:0048856,0,1,8,8,anatomical structure development,BP,0
GO:0048869,0,1,6,6,cellular developmental process,BP,0
GO:0050789,0,1,12,12,regulation of biological process,BP,0
GO:0050793,0,1,5,5,regulation of developmental process,BP,0
GO:0050794,0,1,11,11,regulation of cellular process,BP,0
GO:0050896,0,1,13,13,response to stimulus,BP,0
GO:0051128,0,1,8,8,regulation of cellular component organization,BP,0
GO:0051171,0,1,7,7,regulation of nitrogen compound metabolic process,BP,0
GO:0051173,0,1,5,5,positive regulation of nitrogen compound metabolic process,BP,0
GO:0051179,0,1,6,6,localization,BP,0
GO:0051234,0,1,5,5,establishment of localization,BP,0
GO:0051246,0,1,5,5,regulation of protein metabolic process,BP,0
GO:0051716,0,1,9,9,cellular response to stimulus,BP,0
GO:0060255,0,1,8,8,regulation of macromolecule metabolic process,BP,0
GO:0065007,0,1,12,12,biological regulation,BP,0
GO:0065008,0,1,7,7,regulation of biological quality,BP,0
GO:0065009,0,1,5,5,regulation of molecular function,BP,0
GO:0070887,0,1,5,5,cellular response to chemical stimulus,BP,0
GO:0071704,0,1,6,6,organic substance metabolic process,BP,0
GO:0071840,0,1,9,9,cellular component organization or biogenesis,BP,0
GO:0080090,0,1,7,7,regulation of primary metabolic process,BP,0
GO:1901564,0,1,5,5,organonitrogen compound metabolic process,BP,0
GO:0044238,6.517630240820475e-12,1,4,4,primary metabolic process,BP,8.86292847079318e-11
GO:0010628,6.521345470655274e-12,1,4,4,positive regulation of gene expression,BP,8.86292847079318e-11
GO:0033993,6.6656513452294894e-12,1,4,4,response to lipid,BP,8.86292847079318e-11
GO:0045596,7.172286396142912e-12,1,4,4,negative regulation of cell differentiation,BP,8.86292847079318e-11
GO:0051093,7.172286396142912e-12,1,4,4,negative regulation of developmental process,BP,8.86292847079318e-11
GO:0051129,7.191880928791185e-12,1,4,4,negative regulation of cellular component organization,BP,8.86292847079318e-11
GO:0060284,7.191880928797939e-12,1,4,4,regulation of cell development,BP,8.86292847079318e-11
GO:0034641,7.290390261550878e-12,1,4,4,cellular nitrogen compound metabolic process,BP,8.86292847079318e-11
GO:1901360,7.290390261552308e-12,1,4,4,organic cyclic compound metabolic process,BP,8.86292847079318e-11
GO:0051247,7.825023395309632e-12,1,4,4,positive regulation of protein metabolic process,BP,8.86292847079318e-11
GO:0007399,7.93285310054143e-12,1,4,4,nervous system development,BP,8.86292847079318e-11
GO:0022008,7.93285310054143e-12,1,4,4,neurogenesis,BP,8.86292847079318e-11
GO:0030182,7.93285310054143e-12,1,4,4,neuron differentiation,BP,8.86292847079318e-11
GO:0031344,7.93285310054143e-12,1,4,4,regulation of cell projection organization,BP,8.86292847079318e-11
GO:0048468,7.93285310054143e-12,1,4,4,cell development,BP,8.86292847079318e-11
GO:0048666,7.93285310054143e-12,1,4,4,neuron development,BP,8.86292847079318e-11
GO:0048699,7.93285310054143e-12,1,4,4,generation of neurons,BP,8.86292847079318e-11
GO:0120035,7.93285310054143e-12,1,4,4,regulation of plasma membrane bounded cell projection organization,BP,8.86292847079318e-11
GO:0051239,8.001697867313605e-12,1,4,4,regulation of multicellular organismal process,BP,8.86292847079318e-11
GO:2000026,8.001697867313605e-12,1,4,4,regulation of multicellular organismal development,BP,8.86292847079318e-11
GO:0050790,8.372706089072037e-12,1,4,4,regulation of catalytic activity,BP,8.86292847079318e-11
GO:0051726,8.381279748659248e-12,1,4,4,regulation of cell cycle,BP,8.86292847079318e-11
GO:0009892,8.415039518473033e-12,1,4,4,negative regulation of metabolic process,BP,8.86292847079318e-11
GO:0010605,8.415039518473033e-12,1,4,4,negative regulation of macromolecule metabolic process,BP,8.86292847079318e-11
GO:0010941,8.415039518473033e-12,1,4,4,regulation of cell death,BP,8.86292847079318e-11
GO:0031324,8.415039518473033e-12,1,4,4,negative regulation of cellular metabolic process,BP,8.86292847079318e-11
GO:0042981,8.415039518473033e-12,1,4,4,regulation of apoptotic process,BP,8.86292847079318e-11
GO:0043066,8.415039518473033e-12,1,4,4,negative regulation of apoptotic process,BP,8.86292847079318e-11
GO:0043067,8.415039518473033e-12,1,4,4,regulation of programmed cell death,BP,8.86292847079318e-11
GO:0043069,8.415039518473033e-12,1,4,4,negative regulation of programmed cell death,BP,8.86292847079318e-11
GO:0051172,8.415039518473033e-12,1,4,4,negative regulation of nitrogen compound metabolic process,BP,8.86292847079318e-11
GO:0060548,8.415039518473033e-12,1,4,4,negative regulation of cell death,BP,8.86292847079318e-11
GO:0009790,8.415039518480633e-12,1,4,4,embryo development,BP,8.86292847079318e-11
GO:0009887,8.415039518480633e-12,1,4,4,animal organ morphogenesis,BP,8.86292847079318e-11
GO:0009888,8.415039518480633e-12,1,4,4,tissue development,BP,8.86292847079318e-11
GO:0010647,8.415039518480633e-12,1,4,4,positive regulation of cell communication,BP,8.86292847079318e-11
GO:0023056,8.415039518480633e-12,1,4,4,positive regulation of signaling,BP,8.86292847079318e-11
GO:0043933,8.415039518480633e-12,1,4,4,protein-containing complex organization,BP,8.86292847079318e-11
GO:0048584,8.415039518480633e-12,1,4,4,positive regulation of response to stimulus,BP,8.86292847079318e-11
GO:0060429,8.415039518480633e-12,1,4,4,epithelium development,BP,8.86292847079318e-11
GO:0065003,8.415039518480633e-12,1,4,4,protein-containing complex assembly,BP,8.86292847079318e-11
GO:0007166,8.437126754729341e-12,1,4,4,cell surface receptor signaling pathway,BP,8.86292847079318e-11
GO:0009889,8.710432681064218e-12,1,4,4,regulation of biosynthetic process,BP,8.86292847079318e-11
GO:0010556,8.710432681064218e-12,1,4,4,regulation of macromolecule biosynthetic process,BP,8.86292847079318e-11
GO:0019219,8.710432681064218e-12,1,4,4,regulation of nucleobase-containing compound metabolic process,BP,8.86292847079318e-11
GO:0031326,8.710432681064218e-12,1,4,4,regulation of cellular biosynthetic process,BP,8.86292847079318e-11
GO:2000112,8.710432681064218e-12,1,4,4,regulation of cellular macromolecule biosynthetic process,BP,8.86292847079318e-11
GO:0042127,8.710432681070365e-12,1,4,4,regulation of cell population proliferation,BP,8.86292847079318e-11
GO:0035239,8.745204563211486e-12,1,4,4,tube morphogenesis,BP,8.86292847079318e-11
GO:0035295,8.745204563211486e-12,1,4,4,tube development,BP,8.86292847079318e-11
GO:0009607,3.970748074188221e-9,1,3,3,response to biotic stimulus,BP,3.224013538447592e-8
GO:0043207,3.970748074188221e-9,1,3,3,response to external biotic stimulus,BP,3.224013538447592e-8
GO:0051707,3.970748074188221e-9,1,3,3,response to other organism,BP,3.224013538447592e-8
GO:0009719,4.056956809231276e-9,1,3,3,response to endogenous stimulus,BP,3.224013538447592e-8
GO:0009725,4.056956809231276e-9,1,3,3,response to hormone,BP,3.224013538447592e-8
GO:0014070,4.056956809231276e-9,1,3,3,response to organic cyclic compound,BP,3.224013538447592e-8
GO:0010721,4.371691023229454e-9,1,3,3,negative regulation of cell development,BP,3.224013538447592e-8
GO:0034330,4.387823040939687e-9,1,3,3,cell junction organization,BP,3.224013538447592e-8
GO:0045216,4.387823040939687e-9,1,3,3,cell-cell junction organization,BP,3.224013538447592e-8
GO:0046483,4.432575799920121e-9,1,3,3,heterocycle metabolic process,BP,3.224013538447592e-8
GO:0007568,4.444828309760537e-9,1,3,3,aging,BP,3.224013538447592e-8
GO:0009056,4.4448283098906905e-9,1,3,3,catabolic process,BP,3.224013538447592e-8
GO:0044248,4.4448283098906905e-9,1,3,3,cellular catabolic process,BP,3.224013538447592e-8
GO:1901565,4.4448283098906905e-9,1,3,3,organonitrogen compound catabolic process,BP,3.224013538447592e-8
GO:1901575,4.4448283098906905e-9,1,3,3,organic substance catabolic process,BP,3.224013538447592e-8
GO:0009058,4.45135930463317e-9,1,3,3,biosynthetic process,BP,3.224013538447592e-8
GO:0044249,4.45135930463317e-9,1,3,3,cellular biosynthetic process,BP,3.224013538447592e-8
GO:1901576,4.45135930463317e-9,1,3,3,organic substance biosynthetic process,BP,3.224013538447592e-8
GO:0051276,4.481247612987028e-9,1,3,3,chromosome organization,BP,3.224013538447592e-8
GO:0000003,4.4961085294240535e-9,1,3,3,reproduction,BP,3.224013538447592e-8
GO:0022414,4.4961085294240535e-9,1,3,3,reproductive process,BP,3.224013538447592e-8
GO:0051130,4.72455122606737e-9,1,3,3,positive regulation of cellular component organization,BP,3.224013538447592e-8
GO:0019538,4.766191279468938e-9,1,3,3,protein metabolic process,BP,3.224013538447592e-8
GO:0036211,4.766191279468938e-9,1,3,3,protein modification process,BP,3.224013538447592e-8
GO:0043170,4.766191279468938e-9,1,3,3,macromolecule metabolic process,BP,3.224013538447592e-8
GO:0043412,4.766191279468938e-9,1,3,3,macromolecule modification,BP,3.224013538447592e-8
GO:0044260,4.766191279468938e-9,1,3,3,cellular macromolecule metabolic process,BP,3.224013538447592e-8
GO:0022603,4.781674840534533e-9,1,3,3,regulation of anatomical structure morphogenesis,BP,3.224013538447592e-8
GO:0051241,4.8704441183560395e-9,1,3,3,negative regulation of multicellular organismal process,BP,3.224013538447592e-8
GO:1901700,4.8704441183560395e-9,1,3,3,response to oxygen-containing compound,BP,3.224013538447592e-8
GO:0010975,4.883489813255849e-9,1,3,3,regulation of neuron projection development,BP,3.224013538447592e-8
GO:0040011,4.883489813255849e-9,1,3,3,locomotion,BP,3.224013538447592e-8
GO:0045664,4.883489813255849e-9,1,3,3,regulation of neuron differentiation,BP,3.224013538447592e-8
GO:0050767,4.883489813255849e-9,1,3,3,regulation of neurogenesis,BP,3.224013538447592e-8
GO:0051960,4.883489813255849e-9,1,3,3,regulation of nervous system development,BP,3.224013538447592e-8
GO:0042592,5.0770598463261466e-9,1,3,3,homeostatic process,BP,3.224013538447592e-8
GO:0007346,5.1234895858636566e-9,1,3,3,regulation of mitotic cell cycle,BP,3.224013538447592e-8
GO:0009967,5.1234895858636566e-9,1,3,3,positive regulation of signal transduction,BP,3.224013538447592e-8
GO:0001655,5.1369827669006964e-9,1,3,3,urogenital system development,BP,3.224013538447592e-8
GO:0007389,5.1369827669006964e-9,1,3,3,pattern specification process,BP,3.224013538447592e-8
GO:0009792,5.1369827669006964e-9,1,3,3,embryo development ending in birth or egg hatching,BP,3.224013538447592e-8
GO:0072001,5.1369827669006964e-9,1,3,3,renal system development,BP,3.224013538447592e-8
GO:0030111,5.141419196342077e-9,1,3,3,regulation of Wnt signaling pathway,BP,3.224013538447592e-8
GO:0060828,5.141419196342077e-9,1,3,3,regulation of canonical Wnt signaling pathway,BP,3.224013538447592e-8
GO:0000902,5.265798367650723e-9,1,3,3,cell morphogenesis,BP,3.224013538447592e-8
GO:0000904,5.265798367650723e-9,1,3,3,cell morphogenesis involved in differentiation,BP,3.224013538447592e-8
GO:0002376,5.265798367650723e-9,1,3,3,immune system process,BP,3.224013538447592e-8
GO:0002520,5.265798367650723e-9,1,3,3,immune system development,BP,3.224013538447592e-8
GO:0030030,5.265798367650723e-9,1,3,3,cell projection organization,BP,3.224013538447592e-8
GO:0031175,5.265798367650723e-9,1,3,3,neuron projection development,BP,3.224013538447592e-8
GO:0032989,5.265798367650723e-9,1,3,3,cellular component morphogenesis,BP,3.224013538447592e-8
GO:0044093,5.265798367650723e-9,1,3,3,positive regulation of molecular function,BP,3.224013538447592e-8
GO:0048534,5.265798367650723e-9,1,3,3,hematopoietic or lymphoid organ development,BP,3.224013538447592e-8
GO:0048667,5.265798367650723e-9,1,3,3,cell morphogenesis involved in neuron differentiation,BP,3.224013538447592e-8
GO:0120036,5.265798367650723e-9,1,3,3,plasma membrane bounded cell projection organization,BP,3.224013538447592e-8
GO:0008285,5.2894250570426224e-9,1,3,3,negative regulation of cell population proliferation,BP,3.224013538447592e-8
GO:0009891,5.2894250570426224e-9,1,3,3,positive regulation of biosynthetic process,BP,3.224013538447592e-8
GO:0010557,5.2894250570426224e-9,1,3,3,positive regulation of macromolecule biosynthetic process,BP,3.224013538447592e-8
GO:0031328,5.2894250570426224e-9,1,3,3,positive regulation of cellular biosynthetic process,BP,3.224013538447592e-8
GO:0045935,5.2894250570426224e-9,1,3,3,positive regulation of nucleobase-containing compound metabolic process,BP,3.224013538447592e-8
GO:0008283,5.303207669775918e-9,1,3,3,cell population proliferation,BP,3.224013538447592e-8
GO:0031399,5.303207669775918e-9,1,3,3,regulation of protein modification process,BP,3.224013538447592e-8
GO:0031401,5.303207669775918e-9,1,3,3,positive regulation of protein modification process,BP,3.224013538447592e-8
GO:0031647,5.307739205798638e-9,1,3,3,regulation of protein stability,BP,3.224013538447592e-8
GO:0006725,5.307739205803371e-9,1,3,3,cellular aromatic compound metabolic process,BP,3.224013538447592e-8
GO:0071310,5.310553667381408e-9,1,3,3,cellular response to organic substance,BP,3.224013538447592e-8
GO:0000122,5.3105536674031145e-9,1,3,3,negative regulation of transcription by RNA polymerase II,BP,3.224013538447592e-8
GO:0006355,5.3105536674031145e-9,1,3,3,regulation of DNA-templated transcription,BP,3.224013538447592e-8
GO:0006357,5.3105536674031145e-9,1,3,3,regulation of transcription by RNA polymerase II,BP,3.224013538447592e-8
GO:0009890,5.3105536674031145e-9,1,3,3,negative regulation of biosynthetic process,BP,3.224013538447592e-8
GO:0010558,5.3105536674031145e-9,1,3,3,negative regulation of macromolecule biosynthetic process,BP,3.224013538447592e-8
GO:0010629,5.3105536674031145e-9,1,3,3,negative regulation of gene expression,BP,3.224013538447592e-8
GO:0031327,5.3105536674031145e-9,1,3,3,negative regulation of cellular biosynthetic process,BP,3.224013538447592e-8
GO:0045892,5.3105536674031145e-9,1,3,3,negative regulation of DNA-templated transcription,BP,3.224013538447592e-8
GO:0045934,5.3105536674031145e-9,1,3,3,negative regulation of nucleobase-containing compound metabolic process,BP,3.224013538447592e-8
GO:0051252,5.3105536674031145e-9,1,3,3,regulation of RNA metabolic process,BP,3.224013538447592e-8
GO:0051253,5.3105536674031145e-9,1,3,3,negative regulation of RNA metabolic process,BP,3.224013538447592e-8
GO:1902679,5.3105536674031145e-9,1,3,3,negative regulation of RNA biosynthetic process,BP,3.224013538447592e-8
GO:1903506,5.3105536674031145e-9,1,3,3,regulation of nucleic acid-templated transcription,BP,3.224013538447592e-8
GO:1903507,5.3105536674031145e-9,1,3,3,negative regulation of nucleic acid-templated transcription,BP,3.224013538447592e-8
