GOterm,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,bh_adjust
GO:0006139,0,1,6,6,nucleobase-containing compound metabolic process,BP,0
GO:0006725,0,1,10,10,cellular aromatic compound metabolic process,BP,0
GO:0006807,0,1,12,12,nitrogen compound metabolic process,BP,0
GO:0006810,0,1,6,6,transport,BP,0
GO:0006950,0,1,7,7,response to stress,BP,0
GO:0007154,0,1,5,5,cell communication,BP,0
GO:0007165,0,1,5,5,signal transduction,BP,0
GO:0007275,0,1,5,5,multicellular organism development,BP,0
GO:0008150,0,1,13,13,biological_process,BP,0
GO:0008152,0,1,12,12,metabolic process,BP,0
GO:0009058,0,1,8,8,biosynthetic process,BP,0
GO:0009059,0,1,5,5,macromolecule biosynthetic process,BP,0
GO:0009653,0,1,5,5,anatomical structure morphogenesis,BP,0
GO:0009987,0,1,12,12,cellular process,BP,0
GO:0010033,0,1,5,5,response to organic substance,BP,0
GO:0010467,0,1,5,5,gene expression,BP,0
GO:0016043,0,1,6,6,cellular component organization,BP,0
GO:0019222,0,1,5,5,regulation of metabolic process,BP,0
GO:0019438,0,1,6,6,aromatic compound biosynthetic process,BP,0
GO:0019538,0,1,5,5,protein metabolic process,BP,0
GO:0023052,0,1,5,5,signaling,BP,0
GO:0030154,0,1,5,5,cell differentiation,BP,0
GO:0032501,0,1,8,8,multicellular organismal process,BP,0
GO:0032502,0,1,6,6,developmental process,BP,0
GO:0033554,0,1,5,5,cellular response to stress,BP,0
GO:0034641,0,1,11,11,cellular nitrogen compound metabolic process,BP,0
GO:0034645,0,1,5,5,cellular macromolecule biosynthetic process,BP,0
GO:0042221,0,1,5,5,response to chemical,BP,0
GO:0043170,0,1,9,9,macromolecule metabolic process,BP,0
GO:0044237,0,1,12,12,cellular metabolic process,BP,0
GO:0044238,0,1,9,9,primary metabolic process,BP,0
GO:0044249,0,1,8,8,cellular biosynthetic process,BP,0
GO:0044260,0,1,9,9,cellular macromolecule metabolic process,BP,0
GO:0044271,0,1,8,8,cellular nitrogen compound biosynthetic process,BP,0
GO:0044281,0,1,5,5,small molecule metabolic process,BP,0
GO:0046483,0,1,8,8,heterocycle metabolic process,BP,0
GO:0048513,0,1,5,5,animal organ development,BP,0
GO:0048518,0,1,5,5,positive regulation of biological process,BP,0
GO:0048731,0,1,5,5,system development,BP,0
GO:0048856,0,1,6,6,anatomical structure development,BP,0
GO:0048869,0,1,5,5,cellular developmental process,BP,0
GO:0050789,0,1,8,8,regulation of biological process,BP,0
GO:0050794,0,1,7,7,regulation of cellular process,BP,0
GO:0050896,0,1,8,8,response to stimulus,BP,0
GO:0051171,0,1,5,5,regulation of nitrogen compound metabolic process,BP,0
GO:0051179,0,1,7,7,localization,BP,0
GO:0051234,0,1,6,6,establishment of localization,BP,0
GO:0051716,0,1,8,8,cellular response to stimulus,BP,0
GO:0060255,0,1,5,5,regulation of macromolecule metabolic process,BP,0
GO:0065007,0,1,11,11,biological regulation,BP,0
GO:0065008,0,1,7,7,regulation of biological quality,BP,0
GO:0070887,0,1,5,5,cellular response to chemical stimulus,BP,0
GO:0071310,0,1,5,5,cellular response to organic substance,BP,0
GO:0071704,0,1,12,12,organic substance metabolic process,BP,0
GO:0071840,0,1,6,6,cellular component organization or biogenesis,BP,0
GO:0080090,0,1,5,5,regulation of primary metabolic process,BP,0
GO:0090304,0,1,5,5,nucleic acid metabolic process,BP,0
GO:1901360,0,1,10,10,organic cyclic compound metabolic process,BP,0
GO:1901362,0,1,6,6,organic cyclic compound biosynthetic process,BP,0
GO:1901564,0,1,8,8,organonitrogen compound metabolic process,BP,0
GO:1901576,0,1,8,8,organic substance biosynthetic process,BP,0
GO:0009887,2.869141966850832e-11,1,4,4,animal organ morphogenesis,BP,3.534894326199432e-10
GO:0000003,4.018435025762721e-11,1,4,4,reproduction,BP,4.765788829619526e-10
GO:0022414,4.018435025762721e-11,1,4,4,reproductive process,BP,4.765788829619526e-10
GO:0032504,4.018435025762721e-11,1,4,4,multicellular organism reproduction,BP,4.765788829619526e-10
GO:0048609,4.018435025762721e-11,1,4,4,multicellular organismal reproductive process,BP,4.765788829619526e-10
GO:0006066,4.495397994192026e-11,1,4,4,alcohol metabolic process,BP,5.166788371886728e-10
GO:1901615,4.495397994192026e-11,1,4,4,organic hydroxy compound metabolic process,BP,5.166788371886728e-10
GO:0006996,4.8042430209569714e-11,1,4,4,organelle organization,BP,5.166788371886728e-10
GO:0031323,4.80424302181354e-11,1,4,4,regulation of cellular metabolic process,BP,5.166788371886728e-10
GO:0048519,4.804421001798718e-11,1,4,4,negative regulation of biological process,BP,5.166788371886728e-10
GO:0048523,4.804421001798718e-11,1,4,4,negative regulation of cellular process,BP,5.166788371886728e-10
GO:0016070,4.804421023503813e-11,1,4,4,RNA metabolic process,BP,5.166788371886728e-10
GO:0018130,4.804421023503813e-11,1,4,4,heterocycle biosynthetic process,BP,5.166788371886728e-10
GO:0032774,4.804421023503813e-11,1,4,4,RNA biosynthetic process,BP,5.166788371886728e-10
GO:0034654,4.804421023503813e-11,1,4,4,nucleobase-containing compound biosynthetic process,BP,5.166788371886728e-10
GO:0051641,4.974762868461028e-11,1,4,4,cellular localization,BP,5.201331613136458e-10
GO:0051649,4.974762868461028e-11,1,4,4,establishment of localization in cell,BP,5.201331613136458e-10
GO:0009889,5.0412952673486e-11,1,4,4,regulation of biosynthetic process,BP,5.201331613136458e-10
GO:0010556,5.0412952673486e-11,1,4,4,regulation of macromolecule biosynthetic process,BP,5.201331613136458e-10
GO:0048522,5.041479814151177e-11,1,4,4,positive regulation of cellular process,BP,5.201331613136458e-10
GO:1901566,7.461626367250048e-11,1,4,4,organonitrogen compound biosynthetic process,BP,7.455998515671667e-10
GO:0009605,9.622859263101992e-9,1,3,3,response to external stimulus,BP,8.913436791880604e-8
GO:0009790,9.622859263101992e-9,1,3,3,embryo development,BP,8.913436791880604e-8
GO:0022607,9.622859263101992e-9,1,3,3,cellular component assembly,BP,8.913436791880604e-8
GO:0043933,9.622859263101992e-9,1,3,3,protein-containing complex organization,BP,8.913436791880604e-8
GO:0044085,9.622859263101992e-9,1,3,3,cellular component biogenesis,BP,8.913436791880604e-8
GO:0065003,9.622859263101992e-9,1,3,3,protein-containing complex assembly,BP,8.913436791880604e-8
