GOterm,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,bh_adjust
GO:0006807,0,1,4,4,nitrogen compound metabolic process,BP,0
GO:0006950,0,1,4,4,response to stress,BP,0
GO:0008150,0,1,7,7,biological_process,BP,0
GO:0008152,0,1,5,5,metabolic process,BP,0
GO:0009889,0,1,4,4,regulation of biosynthetic process,BP,0
GO:0009891,0,1,4,4,positive regulation of biosynthetic process,BP,0
GO:0009893,0,1,4,4,positive regulation of metabolic process,BP,0
GO:0009987,0,1,7,7,cellular process,BP,0
GO:0010556,0,1,4,4,regulation of macromolecule biosynthetic process,BP,0
GO:0010557,0,1,4,4,positive regulation of macromolecule biosynthetic process,BP,0
GO:0010604,0,1,4,4,positive regulation of macromolecule metabolic process,BP,0
GO:0019222,0,1,4,4,regulation of metabolic process,BP,0
GO:0044237,0,1,4,4,cellular metabolic process,BP,0
GO:0044238,0,1,4,4,primary metabolic process,BP,0
GO:0048518,0,1,6,6,positive regulation of biological process,BP,0
GO:0048522,0,1,5,5,positive regulation of cellular process,BP,0
GO:0050789,0,1,7,7,regulation of biological process,BP,0
GO:0050794,0,1,7,7,regulation of cellular process,BP,0
GO:0050896,0,1,5,5,response to stimulus,BP,0
GO:0051716,0,1,5,5,cellular response to stimulus,BP,0
GO:0060255,0,1,4,4,regulation of macromolecule metabolic process,BP,0
GO:0065007,0,1,7,7,biological regulation,BP,0
GO:0071704,0,1,4,4,organic substance metabolic process,BP,0
GO:0006810,7.301760653746954e-11,1,3,3,transport,BP,5.324713540498e-10
GO:0033036,7.301760653746954e-11,1,3,3,macromolecule localization,BP,5.324713540498e-10
GO:0033554,7.301760653746954e-11,1,3,3,cellular response to stress,BP,5.324713540498e-10
GO:0051179,7.301760653746954e-11,1,3,3,localization,BP,5.324713540498e-10
GO:0051234,7.301760653746954e-11,1,3,3,establishment of localization,BP,5.324713540498e-10
GO:0007275,7.359258854040526e-11,1,3,3,multicellular organism development,BP,5.324713540498e-10
GO:0032501,7.359258854040526e-11,1,3,3,multicellular organismal process,BP,5.324713540498e-10
GO:0032502,7.359258854040526e-11,1,3,3,developmental process,BP,5.324713540498e-10
GO:0048731,7.359258854040526e-11,1,3,3,system development,BP,5.324713540498e-10
GO:0048856,7.359258854040526e-11,1,3,3,anatomical structure development,BP,5.324713540498e-10
GO:0007154,7.359827773433836e-11,1,3,3,cell communication,BP,5.324713540498e-10
GO:0007165,7.359827773433836e-11,1,3,3,signal transduction,BP,5.324713540498e-10
GO:0023052,7.359827773433836e-11,1,3,3,signaling,BP,5.324713540498e-10
GO:0048583,7.359827773433836e-11,1,3,3,regulation of response to stimulus,BP,5.324713540498e-10
GO:1901564,7.373425677980198e-11,1,3,3,organonitrogen compound metabolic process,BP,5.324713540498e-10
GO:0034641,7.373930272922831e-11,1,3,3,cellular nitrogen compound metabolic process,BP,5.324713540498e-10
GO:0006355,7.375344000641858e-11,1,3,3,regulation of DNA-templated transcription,BP,5.324713540498e-10
GO:0010468,7.375344000641858e-11,1,3,3,regulation of gene expression,BP,5.324713540498e-10
GO:0010628,7.375344000641858e-11,1,3,3,positive regulation of gene expression,BP,5.324713540498e-10
GO:0019219,7.375344000641858e-11,1,3,3,regulation of nucleobase-containing compound metabolic process,BP,5.324713540498e-10
GO:0031323,7.375344000641858e-11,1,3,3,regulation of cellular metabolic process,BP,5.324713540498e-10
GO:0031325,7.375344000641858e-11,1,3,3,positive regulation of cellular metabolic process,BP,5.324713540498e-10
GO:0031326,7.375344000641858e-11,1,3,3,regulation of cellular biosynthetic process,BP,5.324713540498e-10
GO:0031328,7.375344000641858e-11,1,3,3,positive regulation of cellular biosynthetic process,BP,5.324713540498e-10
GO:0043170,7.375344000641858e-11,1,3,3,macromolecule metabolic process,BP,5.324713540498e-10
GO:0044260,7.375344000641858e-11,1,3,3,cellular macromolecule metabolic process,BP,5.324713540498e-10
GO:0045893,7.375344000641858e-11,1,3,3,positive regulation of DNA-templated transcription,BP,5.324713540498e-10
GO:0045935,7.375344000641858e-11,1,3,3,positive regulation of nucleobase-containing compound metabolic process,BP,5.324713540498e-10
GO:0051171,7.375344000641858e-11,1,3,3,regulation of nitrogen compound metabolic process,BP,5.324713540498e-10
GO:0051173,7.375344000641858e-11,1,3,3,positive regulation of nitrogen compound metabolic process,BP,5.324713540498e-10
GO:0051252,7.375344000641858e-11,1,3,3,regulation of RNA metabolic process,BP,5.324713540498e-10
GO:0051254,7.375344000641858e-11,1,3,3,positive regulation of RNA metabolic process,BP,5.324713540498e-10
GO:0080090,7.375344000641858e-11,1,3,3,regulation of primary metabolic process,BP,5.324713540498e-10
GO:1902680,7.375344000641858e-11,1,3,3,positive regulation of RNA biosynthetic process,BP,5.324713540498e-10
GO:1903506,7.375344000641858e-11,1,3,3,regulation of nucleic acid-templated transcription,BP,5.324713540498e-10
GO:1903508,7.375344000641858e-11,1,3,3,positive regulation of nucleic acid-templated transcription,BP,5.324713540498e-10
GO:2000112,7.375344000641858e-11,1,3,3,regulation of cellular macromolecule biosynthetic process,BP,5.324713540498e-10
GO:2001141,7.375344000641858e-11,1,3,3,regulation of RNA biosynthetic process,BP,5.324713540498e-10
GO:0050790,7.375913748610226e-11,1,3,3,regulation of catalytic activity,BP,5.324713540498e-10
GO:0065009,7.375913748610226e-11,1,3,3,regulation of molecular function,BP,5.324713540498e-10
GO:0051239,7.383032632346392e-11,1,3,3,regulation of multicellular organismal process,BP,5.324713540498e-10
GO:0042221,7.383602776157227e-11,1,3,3,response to chemical,BP,5.324713540498e-10
