GOterm,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,bh_adjust
GO:0000003,0,1,11,11,reproduction,BP,0
GO:0002376,0,1,9,9,immune system process,BP,0
GO:0002682,0,1,8,8,regulation of immune system process,BP,0
GO:0006082,0,1,12,12,organic acid metabolic process,BP,0
GO:0006139,0,1,13,13,nucleobase-containing compound metabolic process,BP,0
GO:0006355,0,1,13,13,regulation of DNA-templated transcription,BP,0
GO:0006357,0,1,10,10,regulation of transcription by RNA polymerase II,BP,0
GO:0006629,0,1,9,9,lipid metabolic process,BP,0
GO:0006811,0,1,9,9,ion transport,BP,0
GO:0006950,0,1,14,14,response to stress,BP,0
GO:0006996,0,1,10,10,organelle organization,BP,0
GO:0007154,0,1,15,15,cell communication,BP,0
GO:0007165,0,1,13,13,signal transduction,BP,0
GO:0007166,0,1,9,9,cell surface receptor signaling pathway,BP,0
GO:0007399,0,1,9,9,nervous system development,BP,0
GO:0008219,0,1,8,8,cell death,BP,0
GO:0009056,0,1,11,11,catabolic process,BP,0
GO:0009059,0,1,10,10,macromolecule biosynthetic process,BP,0
GO:0009605,0,1,13,13,response to external stimulus,BP,0
GO:0009628,0,1,8,8,response to abiotic stimulus,BP,0
GO:0009653,0,1,16,16,anatomical structure morphogenesis,BP,0
GO:0009719,0,1,9,9,response to endogenous stimulus,BP,0
GO:0009790,0,1,11,11,embryo development,BP,0
GO:0009792,0,1,9,9,embryo development ending in birth or egg hatching,BP,0
GO:0009887,0,1,10,10,animal organ morphogenesis,BP,0
GO:0009888,0,1,10,10,tissue development,BP,0
GO:0009891,0,1,8,8,positive regulation of biosynthetic process,BP,0
GO:0009892,0,1,9,9,negative regulation of metabolic process,BP,0
GO:0009893,0,1,13,13,positive regulation of metabolic process,BP,0
GO:0009966,0,1,10,10,regulation of signal transduction,BP,0
GO:0010467,0,1,9,9,gene expression,BP,0
GO:0010556,0,1,16,16,regulation of macromolecule biosynthetic process,BP,0
GO:0010557,0,1,8,8,positive regulation of macromolecule biosynthetic process,BP,0
GO:0010604,0,1,13,13,positive regulation of macromolecule metabolic process,BP,0
GO:0010605,0,1,8,8,negative regulation of macromolecule metabolic process,BP,0
GO:0010628,0,1,8,8,positive regulation of gene expression,BP,0
GO:0010646,0,1,12,12,regulation of cell communication,BP,0
GO:0012501,0,1,8,8,programmed cell death,BP,0
GO:0014070,0,1,9,9,response to organic cyclic compound,BP,0
GO:0016070,0,1,8,8,RNA metabolic process,BP,0
GO:0016192,0,1,8,8,vesicle-mediated transport,BP,0
GO:0018130,0,1,8,8,heterocycle biosynthetic process,BP,0
GO:0019438,0,1,10,10,aromatic compound biosynthetic process,BP,0
GO:0019752,0,1,9,9,carboxylic acid metabolic process,BP,0
GO:0022414,0,1,11,11,reproductive process,BP,0
GO:0022607,0,1,14,14,cellular component assembly,BP,0
GO:0023051,0,1,12,12,regulation of signaling,BP,0
GO:0023052,0,1,15,15,signaling,BP,0
GO:0030154,0,1,14,14,cell differentiation,BP,0
GO:0031324,0,1,9,9,negative regulation of cellular metabolic process,BP,0
GO:0031325,0,1,13,13,positive regulation of cellular metabolic process,BP,0
GO:0031326,0,1,16,16,regulation of cellular biosynthetic process,BP,0
GO:0031328,0,1,8,8,positive regulation of cellular biosynthetic process,BP,0
GO:0033554,0,1,9,9,cellular response to stress,BP,0
GO:0034220,0,1,8,8,ion transmembrane transport,BP,0
GO:0034645,0,1,10,10,cellular macromolecule biosynthetic process,BP,0
GO:0034654,0,1,8,8,nucleobase-containing compound biosynthetic process,BP,0
GO:0035239,0,1,8,8,tube morphogenesis,BP,0
GO:0035295,0,1,9,9,tube development,BP,0
GO:0036211,0,1,11,11,protein modification process,BP,0
GO:0042592,0,1,8,8,homeostatic process,BP,0
GO:0043412,0,1,11,11,macromolecule modification,BP,0
GO:0043436,0,1,11,11,oxoacid metabolic process,BP,0
GO:0043933,0,1,10,10,protein-containing complex organization,BP,0
GO:0044085,0,1,14,14,cellular component biogenesis,BP,0
GO:0044093,0,1,8,8,positive regulation of molecular function,BP,0
GO:0044248,0,1,10,10,cellular catabolic process,BP,0
GO:0044271,0,1,12,12,cellular nitrogen compound biosynthetic process,BP,0
GO:0045595,0,1,8,8,regulation of cell differentiation,BP,0
GO:0045893,0,1,8,8,positive regulation of DNA-templated transcription,BP,0
GO:0045935,0,1,10,10,positive regulation of nucleobase-containing compound metabolic process,BP,0
GO:0048468,0,1,8,8,cell development,BP,0
GO:0048513,0,1,16,16,animal organ development,BP,0
GO:0048523,0,1,15,15,negative regulation of cellular process,BP,0
GO:0048583,0,1,13,13,regulation of response to stimulus,BP,0
GO:0048646,0,1,11,11,anatomical structure formation involved in morphogenesis,BP,0
GO:0048869,0,1,14,14,cellular developmental process,BP,0
GO:0050793,0,1,13,13,regulation of developmental process,BP,0
GO:0051172,0,1,8,8,negative regulation of nitrogen compound metabolic process,BP,0
GO:0051173,0,1,13,13,positive regulation of nitrogen compound metabolic process,BP,0
GO:0051240,0,1,8,8,positive regulation of multicellular organismal process,BP,0
GO:0051246,0,1,10,10,regulation of protein metabolic process,BP,0
GO:0051252,0,1,15,15,regulation of RNA metabolic process,BP,0
GO:0051254,0,1,10,10,positive regulation of RNA metabolic process,BP,0
GO:0055085,0,1,8,8,transmembrane transport,BP,0
GO:0060429,0,1,9,9,epithelium development,BP,0
GO:0065003,0,1,10,10,protein-containing complex assembly,BP,0
GO:0065009,0,1,11,11,regulation of molecular function,BP,0
GO:0071310,0,1,16,16,cellular response to organic substance,BP,0
GO:0071407,0,1,8,8,cellular response to organic cyclic compound,BP,0
GO:0080134,0,1,8,8,regulation of response to stress,BP,0
GO:0090304,0,1,10,10,nucleic acid metabolic process,BP,0
GO:1901362,0,1,12,12,organic cyclic compound biosynthetic process,BP,0
GO:1901565,0,1,10,10,organonitrogen compound catabolic process,BP,0
GO:1901575,0,1,11,11,organic substance catabolic process,BP,0
GO:1901615,0,1,9,9,organic hydroxy compound metabolic process,BP,0
