gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,contrast
Montipora_capitata_HIv3___RNAseq.g4753.t1,4017.5468809234308,0.2698191809525163,0.05657938134296262,4.768860573376993,1.8527082617735646e-6,7.727557935654595e-5,30vs27
Montipora_capitata_HIv3___RNAseq.g4776.t1a,58.86939571544125,1.2989730769687797,0.4292538634966112,3.0261185453000228,0.0024771516249432425,0.025391370840873822,30vs27
Montipora_capitata_HIv3___RNAseq.g4589.t1,2206.992828229066,-0.3687772731165293,0.10353438576684659,-3.561882077969673,3.68205769050955e-4,0.005944181406759855,30vs27
Montipora_capitata_HIv3___RNAseq.g4594.t1,4724.1758046510895,0.29297298809613287,0.07714410265180505,3.797736677533027,1.460233261504456e-4,0.0028296865348490115,30vs27
Montipora_capitata_HIv3___RNAseq.g4604.t1,337.7221123107249,-0.640348794697007,0.170999708303111,-3.7447361814321707,1.805834308268672e-4,0.0033942709669796778,30vs27
Montipora_capitata_HIv3___RNAseq.g4607.t1,271.90791653989794,-1.2487441196548952,0.2275247340287059,-5.488388438231714,4.0561732075478726e-8,2.54681155017289e-6,30vs27
Montipora_capitata_HIv3___RNAseq.g4627.t1,924.4441241030046,-0.4894036445073236,0.12041479769557997,-4.064314800782063,4.817377168933686e-5,0.0011656189674776286,30vs27
Montipora_capitata_HIv3___TS.g26313.t3,2892.1228254783596,-0.24248990370243428,0.07622884109653043,-3.1810781879179224,0.0014672802328316878,0.016955023165399413,30vs27
Montipora_capitata_HIv3___RNAseq.g4638.t1,1277.1818651650499,0.2887183968637955,0.10284920652145933,2.8072010142689323,0.004997404653676156,0.042998297997592784,30vs27
Montipora_capitata_HIv3___RNAseq.g4639.t1,1193.9479986450403,0.49651041433671045,0.1324291578027608,3.7492529785337014,1.7736210199006575e-4,0.0033480919209719524,30vs27
Montipora_capitata_HIv3___RNAseq.g4640.t1,1035.9592012752282,0.3260521517782103,0.09486730598939024,3.4369285432715384,5.88350800360729e-4,0.008589440817419268,30vs27
Montipora_capitata_HIv3___RNAseq.g4642.t1,1901.834459678324,0.3799950576826748,0.10899890400894201,3.4862282436482195,4.898828374490308e-4,0.007501545058070036,30vs27
Montipora_capitata_HIv3___RNAseq.g4672.t1,99.2394980240183,1.1256772964480288,0.3147265823876481,3.5766832528354224,3.479813998669531e-4,0.005675920077159482,30vs27
Montipora_capitata_HIv3___RNAseq.g4673.t1,8236.0041571147,0.24577823355085957,0.04792416931062327,5.12848187222263,2.920880177814821e-7,1.4799595386335259e-5,30vs27
Montipora_capitata_HIv3___RNAseq.g4676.t1,2968.277345611223,-0.5233641281439873,0.09368370096501753,-5.586501416499513,2.3168965947315834e-8,1.5851471182807113e-6,30vs27
Montipora_capitata_HIv3___TS.g26369.t1,836.6835408334208,0.4129501305005008,0.1254403040639017,3.2920051779381536,9.947578020448383e-4,0.012870138239454564,30vs27
Montipora_capitata_HIv3___RNAseq.g4719.t1,298.66047048633305,-0.7514943191918116,0.2106016482580318,-3.5683211665612005,3.59275947830658e-4,0.005838400792298206,30vs27
Montipora_capitata_HIv3___RNAseq.g4796.t2,5235.5761255333455,0.2607318691470804,0.0653188129758745,3.9916810681079236,6.560656744462378e-5,0.0015102442161562671,30vs27
Montipora_capitata_HIv3___TS.g26523.t2,4434.190869250725,0.38886501170804816,0.06702534315791402,5.801760847264426,6.562211216254913e-9,5.273248444328145e-7,30vs27
