"","GO.ID","Term","Annotated","Significant","Expected","Rank in classicFisher","classicFisher","weightFisher","bh_adjust","bh_adjust_weight","ParentTerm","N_in_Parent"
"1","GO:0044703","multi-organism reproductive process",1302,726,665.77,89,0.00016,1.2e-05,0.0149617391304348,0.051618,"multi-organism reproductive process",11
"2","GO:0009059","macromolecule biosynthetic process",3740,1925,1912.42,2918,0.29874,1.2e-05,0.873499601216627,0.051618,"macromolecule biosynthetic process",2
"3","GO:0050709","negative regulation of protein secretion",60,34,30.68,2484,0.23275,7e-05,0.797768036117381,0.0817285,"negative regulation of protein secretion",9
"4","GO:0000082","G1/S transition of mitotic cell cycle",219,133,111.98,223,0.0024,7.1e-05,0.0925012831858407,0.0817285,"G1/S transition of mitotic cell cycle",13
"5","GO:0002792","negative regulation of peptide secretion",73,37,37.33,4667,0.57743,7.1e-05,1,0.0817285,"negative regulation of protein secretion",9
"6","GO:0019725","cellular homeostasis",696,341,355.89,6781,0.8884,7.6e-05,1,0.0817285,"cellular homeostasis",2
"7","GO:0006297","nucleotide-excision repair, DNA gap fill...",21,19,10.74,91,0.00016,0.00016,0.0149617391304348,0.152942222222222,"nucleotide-excision repair, DNA gap filling",14
"8","GO:0008089","anterograde axonal transport",34,30,17.39,28,5.3e-06,0.00028,0.00160193793103448,0.218985454545455,"anterograde axonal transport",5
"9","GO:0000381","regulation of alternative mRNA splicing,...",63,46,32.21,124,0.00031,0.00031,0.0215075,0.222244166666667,"regulation of alternative mRNA splicing, via spliceosome",6
"10","GO:0006986","response to unfolded protein",124,81,63.41,166,0.00091,0.00034,0.0471610240963855,0.225001538461538,"response to unfolded protein",10
"11","GO:0007283","spermatogenesis",448,285,229.08,5,3e-08,0.00038,4.58826666666667e-05,0.23351,"multi-organism reproductive process",11
"12","GO:1901673","regulation of mitotic spindle assembly",19,17,9.72,139,0.00051,0.00051,0.0313395,0.292502,"regulation of mitotic spindle assembly",7
"13","GO:0030261","chromosome condensation",71,51,36.31,120,0.00029,0.00104,0.0206187603305785,0.535297777777778,"chromosome condensation",7
"14","GO:0035735","intraciliary transport involved in ciliu...",30,24,15.34,172,0.00106,0.00106,0.0527120231213873,0.535297777777778,"intraciliary transport involved in cilium assembly",5
"15","GO:0061077","chaperone-mediated protein folding",58,45,29.66,56,3e-05,0.00112,0.0044498275862069,0.535297777777778,"chaperone-mediated protein folding",6
"16","GO:0045842","positive regulation of mitotic metaphase...",14,13,7.16,179,0.00119,0.00119,0.0571931284916201,0.538819473684211,"G1/S transition of mitotic cell cycle",13
"17","GO:0071103","DNA conformation change",214,136,109.43,86,0.00014,0.00134,0.0140048837209302,0.576401,"chromosome condensation",7
"18","GO:0006284","base-excision repair",43,35,21.99,63,3.7e-05,0.00178,0.00505255555555555,0.665797391304348,"nucleotide-excision repair, DNA gap filling",14
"19","GO:0006890","retrograde vesicle-mediated transport, G...",68,47,34.77,210,0.00193,0.00193,0.0790656666666667,0.68824,"retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum",12
"20","GO:0031331","positive regulation of cellular cataboli...",388,213,198.4,1210,0.07125,0.00205,0.506581611570248,0.68824,"positive regulation of cellular catabolic process",9
"21","GO:0007088","regulation of mitotic nuclear division",168,108,85.91,126,0.00035,0.00213,0.0237090551181102,0.68824,"G1/S transition of mitotic cell cycle",13
"22","GO:0065008","regulation of biological quality",2668,1390,1364.26,1569,0.119,0.00216,0.621161386554622,0.68824,"regulation of biological quality",3
"23","GO:0042464","dosage compensation by hypoactivation of...",9,9,4.6,219,0.00238,0.00238,0.0925012831858407,0.731255,"dosage compensation by hypoactivation of X chromosome",5
"24","GO:0062033","positive regulation of mitotic sister ch...",22,18,11.25,243,0.00297,0.00297,0.105147777777778,0.7984659375,"positive regulation of mitotic sister chromatid segregation",11
"25","GO:0010558","negative regulation of macromolecule bio...",1355,691,692.87,4612,0.55584,0.00308,1,0.802946666666667,"negative regulation of macromolecule biosynthetic process",4
"26","GO:0031329","regulation of cellular catabolic process",717,413,366.63,93,0.00017,0.00318,0.0157259139784946,0.804633529411765,"positive regulation of cellular catabolic process",9
"27","GO:0048477","oogenesis",590,335,301.69,228,0.00251,0.00332,0.0947084649122807,0.816056,"multi-organism reproductive process",11
"28","GO:0047496","vesicle transport along microtubule",33,27,16.87,110,0.00026,0.00392,0.0201511711711712,0.835207916666667,"anterograde axonal transport",5
"29","GO:0000915","actomyosin contractile ring assembly",18,17,9.2,82,1e-04,0.00394,0.0104914634146341,0.835207916666667,"actomyosin contractile ring assembly",4
"30","GO:1900244","positive regulation of synaptic vesicle ...",12,11,6.14,269,0.00396,0.00396,0.125249558823529,0.835207916666667,"retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum",12
"31","GO:0008630","intrinsic apoptotic signaling pathway in...",80,52,40.91,385,0.00828,0.00433,0.185020363636364,0.835207916666667,"intrinsic apoptotic signaling pathway in response to DNA damage",5
"32","GO:0048515","spermatid differentiation",190,128,97.15,23,3.4e-06,0.00459,0.00127174782608696,0.835207916666667,"multi-organism reproductive process",11
"33","GO:0009132","nucleoside diphosphate metabolic process",82,48,41.93,1521,0.10794,0.00464,0.610524536489152,0.835207916666667,"nucleoside diphosphate metabolic process",19
"34","GO:0006997","nucleus organization",128,76,65.45,839,0.03639,0.00466,0.373138462455304,0.835207916666667,"nucleus organization",3
"35","GO:0005984","disaccharide metabolic process",8,8,4.09,286,0.00466,0.00466,0.139201319444444,0.835207916666667,"disaccharide metabolic process",3
"36","GO:0071896","protein localization to adherens junctio...",8,8,4.09,287,0.00466,0.00466,0.139201319444444,0.835207916666667,"protein localization to adherens junction",10
"37","GO:0032387","negative regulation of intracellular tra...",85,53,43.46,669,0.02394,0.00467,0.307781955223881,0.835207916666667,"negative regulation of protein secretion",9
"38","GO:0042276","error-prone translesion synthesis",18,15,9.2,293,0.00493,0.00493,0.14309367003367,0.835207916666667,"error-prone translesion synthesis",12
"39","GO:0007080","mitotic metaphase chromosome alignment",47,34,24.03,227,0.00246,0.00497,0.0932307488986784,0.835207916666667,"G1/S transition of mitotic cell cycle",13
"40","GO:0031145","anaphase-promoting complex-dependent cat...",32,24,16.36,298,0.00502,0.00502,0.144438327759197,0.835207916666667,"positive regulation of cellular catabolic process",9
"41","GO:0045184","establishment of protein localization",1222,649,624.86,1213,0.07183,0.0053,0.509442283594394,0.835207916666667,"protein localization to adherens junction",10
"42","GO:0006606","protein import into nucleus",154,91,78.75,692,0.02766,0.00558,0.342653579545455,0.835207916666667,"protein localization to adherens junction",10
"43","GO:0006979","response to oxidative stress",431,250,220.39,211,0.00196,0.00576,0.0799141232227488,0.835207916666667,"nucleotide-excision repair, DNA gap filling",14
"44","GO:0051345","positive regulation of hydrolase activit...",466,243,238.28,3150,0.34404,0.00602,0.937855402985075,0.835207916666667,"positive regulation of hydrolase activity",8
"45","GO:0070301","cellular response to hydrogen peroxide",47,33,24.03,320,0.00609,0.00609,0.163215794392523,0.835207916666667,"nucleotide-excision repair, DNA gap filling",14
"46","GO:0008283","cell population proliferation",1294,653,661.68,5459,0.71029,0.00619,1,0.835207916666667,"cell population proliferation",1
"47","GO:0033045","regulation of sister chromatid segregati...",107,78,54.71,22,3.1e-06,0.00688,0.00121224090909091,0.835207916666667,"positive regulation of mitotic sister chromatid segregation",11
"48","GO:0051726","regulation of cell cycle",961,540,491.4,136,0.00048,0.00698,0.0303635294117647,0.835207916666667,"G1/S transition of mitotic cell cycle",13
"49","GO:0007062","sister chromatid cohesion",55,44,28.12,33,8.7e-06,0.00699,0.00226806363636364,0.835207916666667,"chromosome condensation",7
"50","GO:0051383","kinetochore organization",22,20,11.25,77,8.9e-05,0.0071,0.00994372727272727,0.835207916666667,"chromosome condensation",7
"51","GO:0034501","protein localization to kinetochore",23,18,11.76,339,0.00713,0.00713,0.176716894586895,0.835207916666667,"protein localization to adherens junction",10
"52","GO:0032790","ribosome disassembly",16,14,8.18,235,0.00273,0.00714,0.0999412340425532,0.835207916666667,"ribosome disassembly",4
"53","GO:0006071","glycerol metabolic process",11,10,5.62,341,0.00716,0.00716,0.176716894586895,0.835207916666667,"nucleoside diphosphate metabolic process",19
"54","GO:0045899","positive regulation of RNA polymerase II...",11,10,5.62,343,0.00716,0.00716,0.176716894586895,0.835207916666667,"dosage compensation by hypoactivation of X chromosome",5
"55","GO:0046599","regulation of centriole replication",11,10,5.62,344,0.00716,0.00716,0.176716894586895,0.835207916666667,"regulation of mitotic spindle assembly",7
"56","GO:0051382","kinetochore assembly",11,10,5.62,345,0.00716,0.00716,0.176716894586895,0.835207916666667,"chromosome condensation",7
"57","GO:0046500","S-adenosylmethionine metabolic process",17,13,8.69,724,0.03026,0.00717,0.356124186046512,0.835207916666667,"S-adenosylmethionine metabolic process",2
"58","GO:0016310","phosphorylation",1309,695,669.35,1124,0.06522,0.00718,0.498897528888889,0.835207916666667,"phosphorylation",1
"59","GO:0032880","regulation of protein localization",674,365,344.64,1040,0.05534,0.00745,0.457399693779904,0.835207916666667,"negative regulation of protein secretion",9
"60","GO:0006261","DNA-templated DNA replication",158,119,80.79,1,2.8e-10,0.00748,2.40884e-06,0.835207916666667,"error-prone translesion synthesis",12
"61","GO:0040026","positive regulation of vulval developmen...",31,23,15.85,353,0.0075,0.0075,0.182266949152542,0.835207916666667,"positive regulation of vulval development",5
"62","GO:1902275","regulation of chromatin organization",173,95,88.46,2061,0.17678,0.00751,0.737864672806592,0.835207916666667,"dosage compensation by hypoactivation of X chromosome",5
"63","GO:0042176","regulation of protein catabolic process",308,188,157.49,102,0.00023,0.00761,0.0192105825242718,0.835207916666667,"positive regulation of cellular catabolic process",9
"64","GO:0000244","spliceosomal tri-snRNP complex assembly",14,12,7.16,365,0.0081,0.0081,0.183515691906005,0.835207916666667,"regulation of alternative mRNA splicing, via spliceosome",6
"65","GO:0010457","centriole-centriole cohesion",14,12,7.16,366,0.0081,0.0081,0.183515691906005,0.835207916666667,"anterograde axonal transport",5
"66","GO:0040016","embryonic cleavage",14,12,7.16,367,0.0081,0.0081,0.183515691906005,0.835207916666667,"actomyosin contractile ring assembly",4
"67","GO:0048490","anterograde synaptic vesicle transport",14,12,7.16,368,0.0081,0.0081,0.183515691906005,0.835207916666667,"anterograde axonal transport",5
"68","GO:1902236","negative regulation of endoplasmic retic...",14,12,7.16,369,0.0081,0.0081,0.183515691906005,0.835207916666667,"negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway",11
"69","GO:0072329","monocarboxylic acid catabolic process",105,60,53.69,1716,0.1268,0.00814,0.633072338108883,0.835207916666667,"nucleoside diphosphate metabolic process",19
"70","GO:0051085","chaperone cofactor-dependent protein ref...",17,14,8.69,378,0.00816,0.00816,0.183515691906005,0.835207916666667,"chaperone-mediated protein folding",6
"71","GO:0007286","spermatid development",172,113,87.95,70,6.8e-05,0.00818,0.0083572,0.835207916666667,"multi-organism reproductive process",11
"72","GO:0007059","chromosome segregation",382,250,195.33,2,5.3e-09,0.00839,1.54854e-05,0.835207916666667,"G1/S transition of mitotic cell cycle",13
"73","GO:0061063","positive regulation of nematode larval d...",50,35,25.57,305,0.00516,0.00841,0.145545836065574,0.835207916666667,"positive regulation of vulval development",5
"74","GO:0006282","regulation of DNA repair",84,48,42.95,1921,0.15927,0.00909,0.693435571212884,0.835207916666667,"negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway",11
"75","GO:0000050","urea cycle",7,7,3.58,391,0.00912,0.00912,0.19657855,0.835207916666667,"urea cycle",2
"76","GO:0006272","leading strand elongation",7,7,3.58,392,0.00912,0.00912,0.19657855,0.835207916666667,"error-prone translesion synthesis",12
"77","GO:0051103","DNA ligation involved in DNA repair",7,7,3.58,394,0.00912,0.00912,0.19657855,0.835207916666667,"nucleotide-excision repair, DNA gap filling",14
"78","GO:1902969","mitotic DNA replication",15,10,7.67,2030,0.17239,0.00914,0.722392191914272,0.835207916666667,"error-prone translesion synthesis",12
"79","GO:0070372","regulation of ERK1 and ERK2 cascade",113,59,57.78,3824,0.44617,0.00915,1,0.835207916666667,"negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway",11
"80","GO:0034205","amyloid-beta formation",20,11,10.23,3840,0.4522,0.00916,1,0.835207916666667,"urea cycle",2
"81","GO:0045047","protein targeting to ER",78,24,39.88,8481,0.99992,0.00941,1,0.835207916666667,"protein localization to adherens junction",10
"82","GO:0007368","determination of left/right symmetry",165,92,84.37,1752,0.13105,0.00945,0.643506364155251,0.835207916666667,"determination of left/right symmetry",3
"83","GO:0009411","response to UV",145,93,74.14,168,0.00098,0.00955,0.0501841666666667,0.835207916666667,"response to UV",1
"84","GO:0043488","regulation of mRNA stability",141,82,72.1,1038,0.05486,0.00972,0.454245024061598,0.835207916666667,"positive regulation of cellular catabolic process",9
"85","GO:0034404","nucleobase-containing small molecule bio...",101,66,51.65,230,0.0026,0.01027,0.0972513043478261,0.835207916666667,"nucleoside diphosphate metabolic process",19
"86","GO:0031325","positive regulation of cellular metaboli...",2092,1120,1069.73,318,0.00607,0.01043,0.163215794392523,0.835207916666667,"positive regulation of cellular metabolic process",3
"87","GO:0097237","cellular response to toxic substance",172,101,87.95,686,0.02632,0.01074,0.330074285714286,0.835207916666667,"cellular response to toxic substance",3
"88","GO:0016322","neuron remodeling",57,40,29.15,232,0.00266,0.01173,0.0986378448275862,0.835207916666667,"neuron remodeling",2
"89","GO:1905952","regulation of lipid localization",124,72,63.41,1208,0.07124,0.01224,0.506581611570248,0.835207916666667,"protein localization to adherens junction",10
"90","GO:0032481","positive regulation of type I interferon...",42,29,21.48,510,0.0141,0.01227,0.237847647058823,0.835207916666667,"positive regulation of cellular metabolic process",3
"91","GO:0006935","chemotaxis",461,239,235.73,3533,0.39542,0.01262,0.962863928672516,0.835207916666667,"chemotaxis",4
"92","GO:0000266","mitochondrial fission",27,22,13.81,177,0.0011,0.01276,0.0534649717514124,0.835207916666667,"ribosome disassembly",4
"93","GO:0007077","mitotic nuclear membrane disassembly",10,9,5.11,460,0.01286,0.01286,0.234843234714004,0.835207916666667,"nucleus organization",3
"94","GO:0032876","negative regulation of DNA endoreduplica...",10,9,5.11,461,0.01286,0.01286,0.234843234714004,0.835207916666667,"error-prone translesion synthesis",12
"95","GO:2000310","regulation of NMDA receptor activity",10,9,5.11,464,0.01286,0.01286,0.234843234714004,0.835207916666667,"positive regulation of hydrolase activity",8
"96","GO:0051101","regulation of DNA binding",88,48,45,2893,0.29618,0.01288,0.873499601216627,0.835207916666667,"positive regulation of hydrolase activity",8
"97","GO:0042572","retinol metabolic process",27,20,13.81,468,0.0129,0.0129,0.234843234714004,0.835207916666667,"retinol metabolic process",4
"98","GO:0043162","ubiquitin-dependent protein catabolic pr...",21,17,10.74,290,0.00482,0.01331,0.142008424657534,0.835207916666667,"positive regulation of cellular catabolic process",9
"99","GO:1902117","positive regulation of organelle assembl...",70,41,35.79,1748,0.12913,0.01334,0.635529399313501,0.835207916666667,"positive regulation of mitotic sister chromatid segregation",11
"100","GO:0019896","axonal transport of mitochondrion",16,13,8.18,475,0.01336,0.01336,0.234843234714004,0.835207916666667,"anterograde axonal transport",5
"101","GO:0034975","protein folding in endoplasmic reticulum",16,13,8.18,476,0.01336,0.01336,0.234843234714004,0.835207916666667,"chaperone-mediated protein folding",6
"102","GO:0048026","positive regulation of mRNA splicing, vi...",16,13,8.18,479,0.01336,0.01336,0.234843234714004,0.835207916666667,"regulation of alternative mRNA splicing, via spliceosome",6
"103","GO:0032509","endosome transport via multivesicular bo...",32,21,16.36,1201,0.07055,0.01377,0.50299396023198,0.835207916666667,"retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum",12
"104","GO:0019388","galactose catabolic process",13,11,6.65,488,0.01378,0.01378,0.234843234714004,0.835207916666667,"disaccharide metabolic process",3
"105","GO:0031573","mitotic intra-S DNA damage checkpoint si...",13,11,6.65,489,0.01378,0.01378,0.234843234714004,0.835207916666667,"G1/S transition of mitotic cell cycle",13
"106","GO:0034080","CENP-A containing chromatin assembly",13,11,6.65,490,0.01378,0.01378,0.234843234714004,0.835207916666667,"dosage compensation by hypoactivation of X chromosome",5
"107","GO:0002218","activation of innate immune response",129,69,65.96,3073,0.32652,0.01381,0.914107243735763,0.835207916666667,"negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway",11
"108","GO:0006303","double-strand break repair via nonhomolo...",62,38,31.7,1146,0.06922,0.01385,0.50299396023198,0.835207916666667,"nucleotide-excision repair, DNA gap filling",14
"109","GO:0014075","response to amine",38,20,19.43,3990,0.49155,0.01389,1,0.835207916666667,"response to unfolded protein",10
"110","GO:0007140","male meiotic nuclear division",110,68,56.25,520,0.01504,0.01393,0.248825230769231,0.835207916666667,"multi-organism reproductive process",11
"111","GO:0036297","interstrand cross-link repair",37,26,18.92,512,0.01417,0.01417,0.23809474609375,0.835207916666667,"nucleotide-excision repair, DNA gap filling",14
"112","GO:0080135","regulation of cellular response to stres...",517,300,264.36,153,0.00069,0.01474,0.0387978431372549,0.835207916666667,"negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway",11
"113","GO:0070507","regulation of microtubule cytoskeleton o...",162,101,82.84,224,0.00243,0.01553,0.0925012831858407,0.835207916666667,"regulation of mitotic spindle assembly",7
"114","GO:0051289","protein homotetramerization",68,44,34.77,527,0.01623,0.01623,0.262770806754221,0.835207916666667,"dosage compensation by hypoactivation of X chromosome",5
"115","GO:0031297","replication fork processing",29,21,14.83,528,0.01628,0.01628,0.262770806754221,0.835207916666667,"error-prone translesion synthesis",12
"116","GO:0009615","response to virus",164,87,83.86,3138,0.33878,0.01699,0.928784047163799,0.835207916666667,"chemotaxis",4
"117","GO:0033227","dsRNA transport",21,16,10.74,546,0.01714,0.01714,0.26658863084922,0.835207916666667,"dsRNA transport",2
"118","GO:0006576","biogenic amine metabolic process",97,60,49.6,608,0.02117,0.01766,0.299344975450082,0.835207916666667,"biogenic amine metabolic process",2
"119","GO:0033048","negative regulation of mitotic sister ch...",43,28,21.99,953,0.04512,0.01777,0.406302771966527,0.835207916666667,"positive regulation of mitotic sister chromatid segregation",11
"120","GO:0042775","mitochondrial ATP synthesis coupled elec...",59,36,30.17,1275,0.08136,0.01777,0.544537327394209,0.835207916666667,"mitochondrial ATP synthesis coupled electron transport",2
"121","GO:1902116","negative regulation of organelle assembl...",32,21,16.36,1202,0.07055,0.0178,0.50299396023198,0.835207916666667,"regulation of mitotic spindle assembly",7
"122","GO:0032488","Cdc42 protein signal transduction",12,10,6.14,655,0.02317,0.01782,0.302475735963581,0.835207916666667,"Cdc42 protein signal transduction",2
"123","GO:0061355","Wnt protein secretion",14,11,7.16,774,0.03457,0.01782,0.360644369747899,0.835207916666667,"Wnt protein secretion",3
"124","GO:0043330","response to exogenous dsRNA",25,16,12.78,1789,0.13803,0.01784,0.66044053948832,0.835207916666667,"response to unfolded protein",10
"125","GO:0030262","apoptotic nuclear changes",31,19,15.85,2020,0.17033,0.01784,0.722392191914272,0.835207916666667,"intrinsic apoptotic signaling pathway in response to DNA damage",5
"126","GO:0000727","double-strand break repair via break-ind...",6,6,3.07,557,0.01785,0.01785,0.26658863084922,0.835207916666667,"nucleotide-excision repair, DNA gap filling",14
"127","GO:0006589","octopamine biosynthetic process",6,6,3.07,560,0.01785,0.01785,0.26658863084922,0.835207916666667,"biogenic amine metabolic process",2
