"","Date","Plate","Temp.C"
"25","20230623","Plate07",13.3738333333333
"24","20230623","Plate08",14.5501666666667
"241","20230623","Plate09",23.4201724137931
"242","20230623","Plate10",23.0260344827586
"243","20230623","Plate11",29.2336585365854
"244","20230623","Plate12",28.8763414634146
"245","20230623","Plate13",27.2021538461538
"246","20230623","Plate14",26.7273846153846
"247","20230623","Plate15",32.2378823529412
"248","20230623","Plate16",32.0482352941176
"249","20230623","Plate17",34.4099090909091
"2410","20230623","Plate18",34.8182727272727
"2411","20230623","Plate19",36.1119
"2412","20230623","Plate20",36.4494
"2413","20230623","Plate21",28.0664285714286
"2414","20230623","Plate22",27.8977142857143
